source_file,NEWID,UCC,REF_YR,REF_MO,interview_year,interview_month,n_records
intrvw19/mtbi192.csv,03988424,220512,2019,06,2019,6,3
intrvw19/mtbi191x.csv,04077641,240322,2019,01,2019,1,1
intrvw19/mtbi193.csv,04014954,220611,2019,07,2019,7,1
intrvw19/mtbi193.csv,04035084,330511,2019,04,2019,8,1
intrvw19/mtbi193.csv,04035084,340410,2019,04,2019,8,1
intrvw19/mtbi193.csv,04035084,340914,2019,04,2019,8,1
intrvw19/mtbi193.csv,04039874,310316,2019,04,2019,9,1
intrvw19/mtbi193.csv,04039874,310316,2019,05,2019,9,1
intrvw19/mtbi193.csv,04039874,310316,2019,09,2019,9,1
intrvw19/mtbi193.csv,04039874,320232,2019,04,2019,9,1
intrvw19/mtbi193.csv,04039874,320232,2019,05,2019,9,1
intrvw19/mtbi193.csv,04039874,320232,2019,09,2019,9,1
intrvw19/mtbi193.csv,04039874,690118,2019,04,2019,9,1
intrvw19/mtbi193.csv,04039874,690118,2019,05,2019,9,1
intrvw19/mtbi193.csv,04039874,690118,2019,09,2019,9,1
intrvw19/mtbi193.csv,04076503,530110,2019,07,2019,7,1
intrvw19/mtbi193.csv,04175242,620121,2019,07,2019,7,1
intrvw19/mtbi193.csv,04188512,560210,2019,08,2019,8,1
intrvw19/mtbi193.csv,04193192,220512,2019,08,2019,8,1
intrvw19/mtbi193.csv,04216061,530110,2019,07,2019,7,1
intrvw19/mtbi193.csv,04218441,210310,2019,07,2019,7,1
intrvw19/mtbi193.csv,04220661,670310,2019,07,2019,7,1
intrvw19/mtbi194.csv,04091224,220611,2019,11,2019,11,1
intrvw19/mtbi194.csv,04091304,480110,2019,11,2019,11,1
intrvw19/mtbi194.csv,04187843,310400,2019,11,2019,11,1
intrvw19/mtbi194.csv,04188643,490311,2019,11,2019,11,1
intrvw19/mtbi194.csv,04188643,490312,2019,11,2019,11,1
intrvw19/mtbi194.csv,04188643,490318,2019,11,2019,11,1
intrvw19/mtbi194.csv,04214892,570230,2019,10,2019,10,1
intrvw19/mtbi194.csv,04226252,570230,2019,11,2019,11,1
intrvw19/mtbi194.csv,04227362,590230,2019,11,2019,11,1
intrvw19/mtbi194.csv,04227362,620215,2019,11,2019,11,1
intrvw19/mtbi194.csv,04234352,620221,2019,11,2019,11,1
intrvw19/mtbi194.csv,04237612,340620,2019,12,2019,12,1
intrvw19/mtbi194.csv,04278961,590230,2019,11,2019,11,1
intrvw19/mtbi194.csv,04282834,240312,2019,11,2019,11,1
intrvw19/mtbi201.csv,04177794,570230,2020,01,2020,1,1
intrvw19/mtbi201.csv,04187844,690113,2020,02,2020,2,1
intrvw19/mtbi201.csv,04190484,690113,2020,02,2020,2,1
intrvw19/mtbi201.csv,04201744,690120,2020,03,2020,3,1
intrvw19/mtbi201.csv,04214893,570230,2020,01,2020,1,1
intrvw19/mtbi201.csv,04281312,690113,2020,02,2020,2,1
intrvw19/mtbi201.csv,04290814,310210,2020,03,2020,3,1
intrvw19/mtbi201.csv,04297034,320232,2020,03,2020,3,1
intrvw19/mtbi201.csv,04320841,690113,2020,02,2020,2,1
