panel_id,interviews_observed,n_interviews_observed,n_interview_records,first_interview_month_index,last_interview_month_index,has_complete_interviews_1_4,interviews_exactly_three_months_apart,n_distinct_expected_reference_months,n_distinct_mtbi_reference_months,has_complete_12_month_mtbi_panel
0406947,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406948,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406952,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406956,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406958,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406961,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406966,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406971,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406972,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406976,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406981,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406983,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406984,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406987,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406989,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406991,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406992,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0406999,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407011,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407016,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407017,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407020,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407027,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407029,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407032,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407037,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407038,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407041,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407045,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407046,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407048,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407057,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407058,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407060,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407063,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407068,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407069,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407070,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407086,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407093,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407095,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407097,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407099,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407105,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407106,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407111,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407112,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407113,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407115,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407118,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407119,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407122,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407125,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407127,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407131,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407132,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407133,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407134,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407135,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407138,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
0407139,1234,4,4,24229,24238,TRUE,TRUE,12,12,TRUE
