source_zip,source_file,cex_year,cex_quarter,archive_year
raw/cex/intrvw00.zip,intrvw00/fmli001x.csv,2000,1,2000
raw/cex/intrvw00.zip,intrvw00/fmli002.csv,2000,2,2000
raw/cex/intrvw00.zip,intrvw00/fmli003.csv,2000,3,2000
raw/cex/intrvw00.zip,intrvw00/fmli004.csv,2000,4,2000
raw/cex/intrvw01.zip,intrvw01/intrvw01/fmli011x.csv,2001,1,2001
raw/cex/intrvw01.zip,intrvw01/intrvw01/fmli012.csv,2001,2,2001
raw/cex/intrvw01.zip,intrvw01/intrvw01/fmli013.csv,2001,3,2001
raw/cex/intrvw01.zip,intrvw01/intrvw01/fmli014.csv,2001,4,2001
raw/cex/intrvw02.zip,intrvw02/fmli021x.csv,2002,1,2002
raw/cex/intrvw02.zip,intrvw02/fmli022.csv,2002,2,2002
raw/cex/intrvw02.zip,intrvw02/fmli023.csv,2002,3,2002
raw/cex/intrvw02.zip,intrvw02/fmli024.csv,2002,4,2002
