qyear,interview,respstat_complete,inclass_complete,n_rows
20001,2,FALSE,FALSE,451
20001,2,TRUE,TRUE,1508
20001,3,FALSE,FALSE,495
20001,3,TRUE,TRUE,1473
20001,4,FALSE,FALSE,508
20001,4,TRUE,TRUE,1449
20001,5,FALSE,FALSE,493
20001,5,TRUE,TRUE,1483
20002,2,FALSE,FALSE,483
20002,2,TRUE,TRUE,1526
20002,3,FALSE,FALSE,461
20002,3,TRUE,TRUE,1470
20002,4,FALSE,FALSE,494
20002,4,TRUE,TRUE,1432
20002,5,FALSE,FALSE,517
20002,5,TRUE,TRUE,1426
20003,2,FALSE,FALSE,475
20003,2,TRUE,TRUE,1409
20003,3,FALSE,FALSE,492
20003,3,TRUE,TRUE,1460
20003,4,FALSE,FALSE,443
20003,4,TRUE,TRUE,1409
20003,5,FALSE,FALSE,485
20003,5,TRUE,TRUE,1451
20004,2,FALSE,FALSE,520
20004,2,TRUE,TRUE,1343
20004,3,FALSE,FALSE,516
20004,3,TRUE,TRUE,1440
20004,4,FALSE,FALSE,502
20004,4,TRUE,TRUE,1473
20004,5,FALSE,FALSE,465
20004,5,TRUE,TRUE,1458
20011,2,FALSE,FALSE,494
20011,2,TRUE,TRUE,1376
20011,3,FALSE,FALSE,548
20011,3,TRUE,TRUE,1331
20011,4,FALSE,FALSE,519
20011,4,TRUE,TRUE,1445
20011,5,FALSE,FALSE,495
20011,5,TRUE,TRUE,1504
20012,2,FALSE,FALSE,303
20012,2,TRUE,TRUE,1629
20012,3,FALSE,FALSE,487
20012,3,TRUE,TRUE,1364
20012,4,FALSE,FALSE,512
20012,4,TRUE,TRUE,1355
20012,5,FALSE,FALSE,342
20012,5,TRUE,TRUE,1587
20013,2,FALSE,FALSE,328
20013,2,TRUE,TRUE,1488
20013,3,FALSE,FALSE,307
20013,3,TRUE,TRUE,1584
20013,4,FALSE,FALSE,461
20013,4,TRUE,TRUE,1356
20013,5,FALSE,FALSE,348
20013,5,TRUE,TRUE,1526
20014,2,FALSE,FALSE,307
20014,2,TRUE,TRUE,1610
20014,3,FALSE,FALSE,338
20014,3,TRUE,TRUE,1540
20014,4,FALSE,FALSE,316
20014,4,TRUE,TRUE,1606
20014,5,FALSE,FALSE,336
20014,5,TRUE,TRUE,1571
20021,2,FALSE,FALSE,313
20021,2,TRUE,TRUE,1657
20021,3,FALSE,FALSE,330
20021,3,TRUE,TRUE,1569
20021,4,FALSE,FALSE,338
20021,4,TRUE,TRUE,1527
20021,5,FALSE,FALSE,315
20021,5,TRUE,TRUE,1642
20022,2,FALSE,FALSE,335
20022,2,TRUE,TRUE,1704
20022,3,FALSE,FALSE,329
20022,3,TRUE,TRUE,1619
20022,4,FALSE,FALSE,330
20022,4,TRUE,TRUE,1565
20022,5,FALSE,FALSE,368
20022,5,TRUE,TRUE,1528
20023,2,FALSE,FALSE,338
20023,2,TRUE,TRUE,1602
20023,3,FALSE,FALSE,342
20023,3,TRUE,TRUE,1681
20023,4,FALSE,FALSE,329
20023,4,TRUE,TRUE,1601
20023,5,FALSE,FALSE,362
20023,5,TRUE,TRUE,1578
20024,2,FALSE,FALSE,370
20024,2,TRUE,TRUE,1701
20024,3,FALSE,FALSE,364
20024,3,TRUE,TRUE,1599
20024,4,FALSE,FALSE,343
20024,4,TRUE,TRUE,1652
20024,5,FALSE,FALSE,332
20024,5,TRUE,TRUE,1663
