cohort_rule,age_rule,income_rule,debt_validity_rule,partial_panel_rule,full_panel_definition,n_households,n_complete_12_month_households,n_partial_panel_households,group,paper,replication,diff
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2817,2258,559,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Borrow,7,7.331559755919946,0.3315597559199457
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Borrow and save,29,29.349192557196112,0.34919255719611186
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2817,1995,822,Save,64,63.319247686884005,-0.6807523131159954
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
