cohort_rule,age_rule,income_rule,debt_validity_rule,partial_panel_rule,full_panel_definition,n_households,n_complete_12_month_households,n_partial_panel_households,household_gap,complete_12_month_gap,partial_panel_gap,mean_abs_share_diff,max_abs_share_diff,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,INCLASS complete at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
inferred first interview,age strictly between 25 and 64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2719,2185,534,-24,21,-45,0.6535126747343112,0.9802690121013669,7.462307367104068,29.5179616449975,63.01973098789863,45
