transaction_row_id,component_number,component_label,component_pi,component_amount,component_source,component_liquid_narrow,component_liquid_broad,payment_instrument
1,1,,1,2,single_method_pi,TRUE,TRUE,Cash
4,1,,4,1200,single_method_pi,TRUE,TRUE,Debit card
5,1,,1,3.95,single_method_pi,TRUE,TRUE,Cash
6,1,,1,36,single_method_pi,TRUE,TRUE,Cash
7,1,,1,4,single_method_pi,TRUE,TRUE,Cash
8,1,,1,31,single_method_pi,TRUE,TRUE,Cash
11,1,,3,25.7,single_method_pi,FALSE,FALSE,Credit card
13,1,,3,10,single_method_pi,FALSE,FALSE,Credit card
14,1,,1,2,single_method_pi,TRUE,TRUE,Cash
16,1,,3,30.18,single_method_pi,FALSE,FALSE,Credit card
20,1,,2,1106.59,single_method_pi,TRUE,TRUE,Check
27,1,,3,6.42,single_method_pi,FALSE,FALSE,Credit card
28,1,,1,5.48,single_method_pi,TRUE,TRUE,Cash
29,1,,3,17,single_method_pi,FALSE,FALSE,Credit card
30,1,,1,17,single_method_pi,TRUE,TRUE,Cash
69,1,,3,7.63,single_method_pi,FALSE,FALSE,Credit card
70,1,,5,12.57,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
71,1,,7,85.47,single_method_pi,FALSE,TRUE,Online banking bill payment
73,1,,5,5.98,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
75,1,,3,20,single_method_pi,FALSE,FALSE,Credit card
77,1,,1,5.5600000000000005,single_method_pi,TRUE,TRUE,Cash
79,1,,1,15,single_method_pi,TRUE,TRUE,Cash
80,1,,4,522,single_method_pi,TRUE,TRUE,Debit card
84,1,,3,30.56,single_method_pi,FALSE,FALSE,Credit card
85,1,,7,120,single_method_pi,FALSE,TRUE,Online banking bill payment
86,1,,3,5.99,single_method_pi,FALSE,FALSE,Credit card
87,1,,1,2,single_method_pi,TRUE,TRUE,Cash
88,1,,3,36.65,single_method_pi,FALSE,FALSE,Credit card
94,1,,4,14.96,single_method_pi,TRUE,TRUE,Debit card
95,1,,4,30.87,single_method_pi,TRUE,TRUE,Debit card
96,1,,2,127.07,single_method_pi,TRUE,TRUE,Check
98,1,,2,219,single_method_pi,TRUE,TRUE,Check
101,1,,5,7.4,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
102,1,,1,5,single_method_pi,TRUE,TRUE,Cash
103,1,,5,177,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
104,1,,3,3,single_method_pi,FALSE,FALSE,Credit card
108,1,,4,13.9,single_method_pi,TRUE,TRUE,Debit card
109,1,,1,2.69,single_method_pi,TRUE,TRUE,Cash
111,1,,6,86,single_method_pi,FALSE,TRUE,Bank account number payment
112,1,,6,68.3,single_method_pi,FALSE,TRUE,Bank account number payment
114,1,,1,6.86,single_method_pi,TRUE,TRUE,Cash
115,1,,1,19.33,single_method_pi,TRUE,TRUE,Cash
116,1,,1,2.28,single_method_pi,TRUE,TRUE,Cash
117,1,,6,120.65,single_method_pi,FALSE,TRUE,Bank account number payment
119,1,,3,101,single_method_pi,FALSE,FALSE,Credit card
121,1,,3,32,single_method_pi,FALSE,FALSE,Credit card
122,1,,3,56,single_method_pi,FALSE,FALSE,Credit card
125,1,,4,51.49,single_method_pi,TRUE,TRUE,Debit card
126,1,,13,1,single_method_pi,FALSE,FALSE,Other payment method
128,1,,4,14.38,single_method_pi,TRUE,TRUE,Debit card
130,1,,4,70.98,single_method_pi,TRUE,TRUE,Debit card
134,1,,13,1,single_method_pi,FALSE,FALSE,Other payment method
139,1,,1,4,single_method_pi,TRUE,TRUE,Cash
142,1,,1,1.6,single_method_pi,TRUE,TRUE,Cash
144,1,,4,11,single_method_pi,TRUE,TRUE,Debit card
145,1,,4,9,single_method_pi,TRUE,TRUE,Debit card
146,1,,3,32,single_method_pi,FALSE,FALSE,Credit card
151,1,,2,275.8,single_method_pi,TRUE,TRUE,Check
152,1,,1,5,single_method_pi,TRUE,TRUE,Cash
153,1,,1,3,single_method_pi,TRUE,TRUE,Cash
156,1,,4,3.25,single_method_pi,TRUE,TRUE,Debit card
157,1,,4,8.86,single_method_pi,TRUE,TRUE,Debit card
162,1,,3,94.09,single_method_pi,FALSE,FALSE,Credit card
164,1,,11,45.83,single_method_pi,FALSE,TRUE,Account-to-account transfer
165,1,,3,53,single_method_pi,FALSE,FALSE,Credit card
172,1,,3,27.58,single_method_pi,FALSE,FALSE,Credit card
188,1,,4,12,single_method_pi,TRUE,TRUE,Debit card
189,1,,4,33,single_method_pi,TRUE,TRUE,Debit card
192,1,,1,10,single_method_pi,TRUE,TRUE,Cash
198,1,,4,24.4,single_method_pi,TRUE,TRUE,Debit card
199,1,,3,55.93,single_method_pi,FALSE,FALSE,Credit card
204,1,,1,14.82,single_method_pi,TRUE,TRUE,Cash
205,1,,3,3.75,single_method_pi,FALSE,FALSE,Credit card
210,1,,1,25,single_method_pi,TRUE,TRUE,Cash
211,1,,1,10,single_method_pi,TRUE,TRUE,Cash
212,1,,1,11,single_method_pi,TRUE,TRUE,Cash
214,1,,1,1,single_method_pi,TRUE,TRUE,Cash
216,1,,4,113,single_method_pi,TRUE,TRUE,Debit card
217,1,,4,17,single_method_pi,TRUE,TRUE,Debit card
220,1,,1,6.13,single_method_pi,TRUE,TRUE,Cash
221,1,,1,2.99,single_method_pi,TRUE,TRUE,Cash
