transaction_row_id,id,diary_day,tran,transaction_date,diary_date,dow_weight,amnt,payment,pi,payment_instrument,multipi_breakdown,mixed_payment_method,ambiguous_payment_method,merch,tely_group,tely_category,category_rule,crosswalk_quality,pay010,pay011,pay016,pay020,pay030,pay040,pay041,pay042,pay050,count_eligible,dollar_eligible,liquid_narrow_count,liquid_broad_count,not_liquid_narrow_count,not_liquid_broad_count,liquid_narrow_amount,liquid_broad_amount,parsed_component_total,component_total_gap,component_total_matches
1,103316,2,1,2019-10-08,2019-10-08,0.9428282380104064,2,1,1,Cash,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,2,2,2,0,TRUE
4,105052,3,1,2019-10-25,2019-10-25,4.0012617111206055,1200,1,4,Debit card,,FALSE,FALSE,15,mortgage,mortgage_payment,merch15_pay010_loan_pay011_mortgage,followup_identified,2,1,,,,,,,,TRUE,TRUE,1,1,0,0,1200,1200,1200,0,TRUE
5,104565,1,1,2019-10-01,2019-10-01,0.5564930438995361,3.95,1,1,Cash,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,3.95,3.95,3.95,0,TRUE
6,104565,2,2,2019-10-02,2019-10-02,0.5420182943344116,36,1,1,Cash,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,36,36,36,0,TRUE
7,104565,3,1,2019-10-03,2019-10-03,0.5416682958602905,4,1,1,Cash,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,4,4,4,0,TRUE
8,104565,3,2,2019-10-03,2019-10-03,0.5416682958602905,31,1,1,Cash,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,31,31,31,0,TRUE
11,103476,2,1,2019-10-22,2019-10-22,0.5993635058403015,25.7,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,25.7,0,TRUE
13,102048,1,1,2019-10-24,2019-10-24,0.9312836527824402,10,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,10,0,TRUE
14,102048,1,2,2019-10-24,2019-10-24,0.9312836527824402,2,1,1,Cash,,FALSE,FALSE,21,public_transportation,public_transport_tolls,merch21_public_transport_tolls,combined_merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,2,2,2,0,TRUE
16,102048,1,4,2019-10-24,2019-10-24,0.9312836527824402,30.18,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,30.18,0,TRUE
