sample_scope,payment_pi,payment_type,n_consumers_count,mean_consumer_weighted_count_share,n_consumers_dollar,mean_consumer_weighted_dollar_share
full_unrestricted,1,Cash,2468,0.2930210415264007,2468,0.20662732113349982
full_unrestricted,2,Check,2468,0.06329857422824968,2468,0.09408669046062679
full_unrestricted,3,Credit card,2468,0.21615710433127555,2468,0.21255704761839286
full_unrestricted,4,Debit card,2468,0.27614529747974825,2468,0.2611182530272619
full_unrestricted,5,Prepaid/gift/EBT card,2468,0.018044949724149793,2468,0.01535646327218276
full_unrestricted,6,Bank account number payment,2468,0.061750410751693983,2468,0.1002286749845396
full_unrestricted,7,Online banking bill payment,2468,0.048388497437727676,2468,0.07843621293439454
full_unrestricted,8,Money order,2468,0.00227217709728741,2468,0.003213553023460945
full_unrestricted,10,Mobile payment app,2468,0.0014796574356467772,2468,0.0015416561103996265
full_unrestricted,11,Account-to-account transfer,2468,0.00826080097510561,2468,0.01441565540332021
full_unrestricted,13,Other payment method,2468,0.0069736895715778935,2468,0.006952412428639736
full_unrestricted,14,Deduction from income,2468,0.00420779944113667,2468,0.005466059603281218
liquid_consumption_goods,1,Cash,2104,0.2974796256977244,2105,0.23390131434950015
liquid_consumption_goods,2,Check,2104,0.06114893734095478,2105,0.08464135179595483
liquid_consumption_goods,3,Credit card,2104,0.22055455607698582,2105,0.22100055833377463
liquid_consumption_goods,4,Debit card,2104,0.29237375972803054,2105,0.29196819355811365
liquid_consumption_goods,5,Prepaid/gift/EBT card,2104,0.02229169867292555,2105,0.019609748867212406
liquid_consumption_goods,6,Bank account number payment,2104,0.04479651387779809,2105,0.06712541802720827
liquid_consumption_goods,7,Online banking bill payment,2104,0.04184944776163971,2105,0.05868290188893037
liquid_consumption_goods,8,Money order,2104,0.0026732180562283117,2105,0.0035927729435347912
liquid_consumption_goods,10,Mobile payment app,2104,0.0013382290153393203,2105,0.0013877934167166614
liquid_consumption_goods,11,Account-to-account transfer,2104,0.005339088462361323,2105,0.008452883804508735
liquid_consumption_goods,13,Other payment method,2104,0.007586161037184644,2105,0.00682939522293211
liquid_consumption_goods,14,Deduction from income,2104,0.0025687642728276497,2105,0.002807667791613198
