tely_group,tely_category,crosswalk_quality,n_transactions,n_respondents,n_mixed_payment_transactions,n_ambiguous_method_transactions,n_count_eligible,n_dollar_eligible,unweighted_count_denominator,unweighted_count_narrow_numerator,unweighted_count_broad_numerator,weighted_count_denominator,weighted_count_narrow_numerator,weighted_count_broad_numerator,unweighted_dollar_denominator,unweighted_dollar_narrow_numerator,unweighted_dollar_broad_numerator,weighted_dollar_denominator,weighted_dollar_narrow_numerator,weighted_dollar_broad_numerator,unweighted_count_share_narrow,unweighted_count_share_broad,weighted_count_share_narrow,weighted_count_share_broad,unweighted_dollar_share_narrow,unweighted_dollar_share_broad,weighted_dollar_share_narrow,weighted_dollar_share_broad
cash_contributions,cash_contributions,followup_identified,208,180,0,2,208,208,208,167,195,167.16026847064495,130.54715757071972,157.91013622283936,19491.940000000002,11687.86,17706.29,14670.360467901828,7597.437961072326,13312.664763802291,0.8028846153846154,0.9375,0.7809700161713077,0.9446630928962045,0.5996252810135881,0.9083903398019899,0.5178767064173523,0.9074531462897506
childcare,childcare,followup_identified,17,16,0,3,17,17,17,8,13,18.283140525221825,8.810115993022919,15.232560649514198,3797.2200000000003,1758.2,3321.2200000000003,4441.638003450632,1613.8762003779411,4140.7706799328325,0.47058823529411764,0.7647058823529411,0.4818710429353891,0.8331479281965091,0.46302294836748986,0.8746451351251705,0.3633515831601199,0.9322620791509663
food_alcohol_tobacco_proxy,food_fast_service_proxy,merchant_proxy,1505,914,3,57,1502,1505,1502,1097,1103,1468.9864248931408,1058.2052118778229,1062.130327820778,16248.62999999999,11435.330000000002,11515.730000000005,16360.488392968633,11501.675901268267,11539.091617153279,0.7303595206391478,0.7343541944074568,0.7203641871331795,0.7230361763881112,0.7037719487735279,0.7087200582449112,0.7030154372537819,0.7053023931799322
food_alcohol_tobacco_proxy,food_grocery_proxy,merchant_proxy,2030,1255,3,52,2027,2030,2027,1405,1419,1888.1202697604895,1346.367616161704,1352.1901624947786,76195.63000000012,47318.86000000004,48916.65000000004,71981.8639791826,47224.24595397008,47932.008734489216,0.6931425752343364,0.7000493339911199,0.7130730164411044,0.7161567958095729,0.6210180295116657,0.6419876048009572,0.6560575587154494,0.6658900740379732
food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merchant_proxy,801,580,0,12,801,801,801,486,486,714.6512913405895,445.5989537537098,445.5989537537098,25918.43,12410.919999999996,12410.919999999996,23760.63787296552,12650.124701263303,12650.124701263303,0.6067415730337079,0.6067415730337079,0.6235194131082115,0.6235194131082115,0.478845362161211,0.478845362161211,0.5323983627416171,0.5323983627416171
health_insurance,health_insurance,followup_identified,53,43,0,4,53,53,53,14,47,45.22823563218117,17.06720031797886,38.744255006313324,9352.699999999997,3679.52,8609.8,6600.096413928272,2598.6828498077393,5641.35185450554,0.2641509433962264,0.8867924528301887,0.3773571990908057,0.8566386564667513,0.3934179434815616,0.9205683920151402,0.39373407399378346,0.8547377948298633
household_operations,household_operations_bill_proxy,bill_reminder_merchant_proxy,22,20,0,0,22,22,22,16,18,21.81091159582138,15.100455701351166,18.067825436592102,2079.9300000000003,1422.94,1543.94,1894.2716594511269,1430.395962100625,1538.1900270992517,0.7272727272727273,0.8181818181818182,0.6923349184654973,0.828384698971207,0.6841287927959113,0.7423038275326572,0.755116593210864,0.8120218762840746
mortgage,mortgage_payment,followup_identified,108,92,1,6,107,108,107,21,101,102.97738225758076,19.892181545495987,98.41081967949867,109015.47999999997,19679.77,104984.22999999997,117927.51906961083,18674.271017445622,114608.0433446309,0.19626168224299065,0.9439252336448598,0.19317039440504527,0.9556547032176484,0.18052271108653567,0.9630213066988285,0.15835380210468503,0.9718515597447573
owned_dwelling_repairs_insurance_other,homeowners_renters_insurance,followup_identified,9,9,0,0,9,9,9,4,8,5.159886807203293,2.1662388294935226,4.531657010316849,1721.6899999999998,596.81,1258.79,984.179888817072,335.49660416960717,693.3723158383368,0.4444444444444444,0.8888888888888888,0.4198229361290281,0.8782473685257157,0.3466419622580139,0.7311362672722732,0.34088951418510993,0.7045178668218173
owned_dwelling_repairs_insurance_other,household_repairs,direct_merchant_match,27,26,0,0,27,27,27,17,21,18.782407522201538,12.571933954954147,14.825508803129196,7485.1,6107.31,6660.1,4605.046704461276,3859.3738438531755,4078.5863889059424,0.6296296296296297,0.7777777777777778,0.6693462454210746,0.7893295247483512,0.8159289789047575,0.8897810316495438,0.8380748538585487,0.8856775296013155
