tely_group,n_transactions,n_respondents,n_mixed_payment_transactions,n_ambiguous_method_transactions,n_count_eligible,n_dollar_eligible,unweighted_count_denominator,unweighted_count_narrow_numerator,unweighted_count_broad_numerator,weighted_count_denominator,weighted_count_narrow_numerator,weighted_count_broad_numerator,unweighted_dollar_denominator,unweighted_dollar_narrow_numerator,unweighted_dollar_broad_numerator,weighted_dollar_denominator,weighted_dollar_narrow_numerator,weighted_dollar_broad_numerator,unweighted_count_share_narrow,unweighted_count_share_broad,weighted_count_share_narrow,weighted_count_share_broad,unweighted_dollar_share_narrow,unweighted_dollar_share_broad,weighted_dollar_share_narrow,weighted_dollar_share_broad
cash_contributions,208,180,0,2,208,208,208,167,195,167.16026847064495,130.54715757071972,157.91013622283936,19491.940000000002,11687.86,17706.29,14670.360467901828,7597.437961072326,13312.664763802291,0.8028846153846154,0.9375,0.7809700161713077,0.9446630928962045,0.5996252810135881,0.9083903398019899,0.5178767064173523,0.9074531462897506
childcare,17,16,0,3,17,17,17,8,13,18.283140525221825,8.810115993022919,15.232560649514198,3797.2200000000003,1758.2,3321.2200000000003,4441.638003450632,1613.8762003779411,4140.7706799328325,0.47058823529411764,0.7647058823529411,0.4818710429353891,0.8331479281965091,0.46302294836748986,0.8746451351251705,0.3633515831601199,0.9322620791509663
food_alcohol_tobacco_proxy,4336,1836,6,121,4330,4336,4330,2988,3008,4071.75798599422,2850.1717817932367,2859.9194440692663,118362.69000000006,71165.10999999993,72843.29999999992,112102.99024511647,71376.04655650174,72121.2250529059,0.6900692840646652,0.6946882217090069,0.6999855569994781,0.7023795259705119,0.6012461359234054,0.6154245058134441,0.6367006482203189,0.6433479151199333
health_insurance,53,43,0,4,53,53,53,14,47,45.22823563218117,17.06720031797886,38.744255006313324,9352.699999999997,3679.52,8609.8,6600.096413928272,2598.6828498077393,5641.35185450554,0.2641509433962264,0.8867924528301887,0.3773571990908057,0.8566386564667513,0.3934179434815616,0.9205683920151402,0.39373407399378346,0.8547377948298633
household_operations,22,20,0,0,22,22,22,16,18,21.81091159582138,15.100455701351166,18.067825436592102,2079.9300000000003,1422.94,1543.94,1894.2716594511269,1430.395962100625,1538.1900270992517,0.7272727272727273,0.8181818181818182,0.6923349184654973,0.828384698971207,0.6841287927959113,0.7423038275326572,0.755116593210864,0.8120218762840746
mortgage,108,92,1,6,107,108,107,21,101,102.97738225758076,19.892181545495987,98.41081967949867,109015.47999999997,19679.77,104984.22999999997,117927.51906961083,18674.271017445622,114608.0433446309,0.19626168224299065,0.9439252336448598,0.19317039440504527,0.9556547032176484,0.18052271108653567,0.9630213066988285,0.15835380210468503,0.9718515597447573
owned_dwelling_repairs_insurance_other,36,35,0,0,36,36,36,21,29,23.94229432940483,14.73817278444767,19.357165813446045,9206.789999999999,6704.12,7918.89,5589.226593278348,4194.8704480227825,4771.95870474428,0.5833333333333334,0.8055555555555556,0.615570612476638,0.808492517347114,0.728171273592642,0.8601141114329751,0.7505278911160213,0.8537780004273003
property_taxes,8,7,0,1,8,8,8,4,7,4.86961804330349,1.8626632690429688,3.88775996863842,33317.39,23127.8,29417.39,22432.895423321726,12109.33181515336,18603.648932127955,0.5,0.875,0.38250705753081216,0.7983706184070674,0.694166019607178,0.8829440121209975,0.539802445767399,0.8293021734852469
public_transportation,207,135,0,45,207,207,207,77,85,210.56569623947144,83.48090496659279,92.23298005759716,8927.58,2191.38,2354.030000000001,5869.762648160308,1794.4647063824532,1998.9866575154663,0.3719806763285024,0.4106280193236715,0.3964601378927929,0.4380247196233842,0.24546181608005754,0.2636806390981656,0.30571333356125935,0.3405566421228268
rent,99,82,0,10,99,99,99,58,86,82.99027030169964,50.93488031625748,73.2488734871149,85819.07,64680.89,78172.29,45325.964842907786,30728.622726082205,41374.44782083809,0.5858585858585859,0.8686868686868687,0.6137452032761282,0.8826200134163772,0.753689011078773,0.9108964942174272,0.6779474597525386,0.9128200130815749
utilities,819,556,0,28,819,819,819,332,691,748.9108488410711,354.539780408144,632.5624048858881,87564.96000000004,35697.45000000001,77374.77000000002,79546.48269771242,38441.566933193055,71495.2932155443,0.4053724053724054,0.8437118437118437,0.47340718986350544,0.8446431319091844,0.40766820426800854,0.8836270809693739,0.4832591665841003,0.8987863547309345
