tely_group,weighted_count_share_narrow,weighted_count_share_broad,weighted_dollar_share_narrow,weighted_dollar_share_broad
cash_contributions,0.7809700161713077,0.9446630928962045,0.5178767064173523,0.9074531462897506
childcare,0.4818710429353891,0.8331479281965091,0.3633515831601199,0.9322620791509663
food_alcohol_tobacco_proxy,0.6999855569994781,0.7023795259705119,0.6367006482203189,0.6433479151199333
health_insurance,0.3773571990908057,0.8566386564667513,0.39373407399378346,0.8547377948298633
household_operations,0.6923349184654973,0.828384698971207,0.755116593210864,0.8120218762840746
mortgage,0.19317039440504527,0.9556547032176484,0.15835380210468503,0.9718515597447573
owned_dwelling_repairs_insurance_other,0.615570612476638,0.808492517347114,0.7505278911160213,0.8537780004273003
property_taxes,0.38250705753081216,0.7983706184070674,0.539802445767399,0.8293021734852469
public_transportation,0.3964601378927929,0.4380247196233842,0.30571333356125935,0.3405566421228268
rent,0.6137452032761282,0.8826200134163772,0.6779474597525386,0.9128200130815749
utilities,0.47340718986350544,0.8446431319091844,0.4832591665841003,0.8987863547309345
