ucc,n_2019_records,detail,component,exclusion_group,fred_series,present_in_2019_mtbi
200900,4781,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,TRUE
790310,0,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,FALSE
790320,0,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,FALSE
790420,17123,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,TRUE
190901,343,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
190902,131,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
190903,8081,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
190904,3319,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
790220,0,food_total,food,food_alcohol_tobacco,CPIUFDNS,FALSE
790230,0,food_total,food,food_alcohol_tobacco,CPIUFDNS,FALSE
790410,51452,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
790430,3697,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
800700,1177,food_total,food,food_alcohol_tobacco,CPIUFDNS,TRUE
580111,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
580112,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
580113,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
580114,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
580311,10670,health_insurance,health_insurance,other,CUUR0000SAM2,TRUE
580312,3635,health_insurance,health_insurance,other,CUUR0000SAM2,TRUE
580901,90867,health_insurance,health_insurance,other,CUUR0000SAM2,TRUE
580903,11547,health_insurance,health_insurance,other,CUUR0000SAM2,TRUE
580904,464,health_insurance,health_insurance,other,CUUR0000SAM2,TRUE
580905,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
580906,0,health_insurance,health_insurance,other,CUUR0000SAM2,FALSE
330511,1677,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340211,0,household_operations_total,household_operations,other,CUUR0000SAH3,FALSE
340212,0,household_operations_total,household_operations,other,CUUR0000SAH3,FALSE
340310,3788,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340410,7214,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340420,561,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340510,1486,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340520,271,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340530,1860,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340620,731,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340630,133,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340901,339,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340903,622,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340906,126,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340907,158,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340908,188,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340910,19,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340914,1677,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
340915,3632,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
670310,2413,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
690113,325,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
690114,49416,household_operations_total,household_operations,other,CUUR0000SAH3,TRUE
990900,0,household_operations_total,household_operations,other,CUUR0000SAH3,FALSE
220311,23488,mortgage_interest,mortgages,other,CUUR0000SEHC,TRUE
220313,939,mortgage_interest,mortgages,other,CUUR0000SEHC,TRUE
220321,0,mortgage_interest,mortgages,other,CUUR0000SEHC,FALSE
880110,2034,mortgage_interest,mortgages,other,CUUR0000SEHC,TRUE
210901,323,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
220121,7982,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
220901,195,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230112,307,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230113,1046,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230114,2007,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
