spec_id,measure,n_rows,n_positive,n_zero,n_positive_complete_controls,mean_liquid,p50_liquid,p95_liquid
current_compact_broad_food,benchmark,92649,92642,7,92642,6408.289375795646,5153.02247997412,15185.90941652023
current_compact_broad_food,excluding_food,92649,92562,87,92562,4897.630612306174,3711.72900256032,12617.713391569432
current_compact_broad_food,excluding_food_property_taxes,92649,92514,135,92514,4586.125208290367,3487.31559057521,11866.28485577278
prior_best_fit_broad_food,benchmark,92649,92635,14,92635,5352.364050815012,4319.675812571799,12416.373238531505
prior_best_fit_broad_food,excluding_food,92649,92420,229,92420,3841.705287325541,2888.445494928501,9819.773458705818
prior_best_fit_broad_food,excluding_food_property_taxes,92649,92338,311,92338,3530.1998833097314,2660.8017477445665,9104.75383578986
appendix_housop_interest_cashco,benchmark,92649,92627,22,92627,4817.230613584066,4045.309032037798,10622.932994855102
appendix_housop_interest_cashco,excluding_food,92649,92304,345,92304,3306.571850094595,2618.733777507893,7995.814953174739
appendix_housop_interest_cashco,excluding_food_property_taxes,92649,92202,447,92202,2995.0664460787852,2393.315412719087,7285.125172700356
appendix_housop_outlay_cashco,benchmark,92649,92627,22,92627,5159.127858588443,4228.302781272929,11707.86331851776
appendix_housop_outlay_cashco,excluding_food,92649,92304,345,92304,3648.4690950989725,2806.384533446678,9082.765283715275
appendix_housop_outlay_cashco,excluding_food_property_taxes,92649,92202,447,92202,3336.9636910831628,2592.896051531537,8317.363118066858
appendix_narrow_ops_interest_cashco,benchmark,92649,92627,22,92627,4749.070291922992,4011.3522597194756,10415.20134891157
appendix_narrow_ops_interest_cashco,excluding_food,92649,92271,378,92271,3238.4115284335185,2583.7971119659237,7808.110812791982
appendix_narrow_ops_interest_cashco,excluding_food_property_taxes,92649,92163,486,92163,2926.9061244177105,2356.4789750840037,7107.240563901137
appendix_decomposed_ops_interest_cashco,benchmark,92649,92627,22,92627,4817.406185416497,4045.4380077491624,10620.89521880974
appendix_decomposed_ops_interest_cashco,excluding_food,92649,92304,345,92304,3306.747421927026,2618.831544970938,7997.019825973573
appendix_decomposed_ops_interest_cashco,excluding_food_property_taxes,92649,92202,447,92202,2995.242017911217,2393.40605765007,7285.69043966515
appendix_housop_interest_cashco_houseq,benchmark,92649,92635,14,92635,5130.509343886548,4245.691243574141,11557.73067993025
appendix_housop_interest_cashco_houseq,excluding_food,92649,92420,229,92420,3619.8505803970766,2822.3115148502297,8905.446032720623
appendix_housop_interest_cashco_houseq,excluding_food_property_taxes,92649,92338,311,92338,3308.345176381269,2596.6925238977983,8188.134184337721
appendix_housop_interest_cashco_nonhealth_insurance,benchmark,92649,92639,10,92639,6089.586454821292,5016.93264213966,14095.233403232074
appendix_housop_interest_cashco_nonhealth_insurance,excluding_food,92649,92541,108,92541,4578.927691331821,3577.09846983419,11501.531082013971
appendix_housop_interest_cashco_nonhealth_insurance,excluding_food_property_taxes,92649,92484,165,92484,4267.4222873160115,3353.6466772148297,10728.771520547773
appendix_housop_interest_no_cashco,benchmark,92649,92626,23,92626,4600.800097327476,3896.615074666781,10001.811298621393
appendix_housop_interest_no_cashco,excluding_food,92649,92252,397,92252,3090.141333838004,2478.9769135516162,7416.273611583172
appendix_housop_interest_no_cashco,excluding_food_property_taxes,92649,92142,507,92142,2778.6359298221946,2248.9108884102484,6740.685878009128
