spec_id,note,measure,n_stage1,n_ar,n_households,rho,eta_sd_pct,paper_eta_sd_pct,diff_from_paper_pct,abs_diff_from_paper_pct
appendix_decomposed_ops_interest_cashco,"Uses OTHHEXP + DMSXCC + BBYDAY, which decomposes HOUSOP without double-counting.",benchmark,83142,55929,25942,-0.38797882984082044,20.206104380650018,19.6,0.6061043806500166,0.6061043806500166
appendix_decomposed_ops_interest_cashco,"Uses OTHHEXP + DMSXCC + BBYDAY, which decomposes HOUSOP without double-counting.",excluding_food,82886,55772,25841,-0.3869388151744365,25.834057943391837,27.5,-1.6659420566081629,1.6659420566081629
appendix_decomposed_ops_interest_cashco,"Uses OTHHEXP + DMSXCC + BBYDAY, which decomposes HOUSOP without double-counting.",excluding_food_property_taxes,82800,55690,25821,-0.3800614302171489,27.90680043015935,29.4,-1.4931995698406482,1.4931995698406482
appendix_housop_interest_cashco,"Appendix-consistent preferred first pass: HOUSOP once, no HOUSEQ, no non-health insurance, mortgage interest only, add CASHCO.",benchmark,83142,55929,25942,-0.388017223371129,20.204797357449948,19.6,0.6047973574499466,0.6047973574499466
appendix_housop_interest_cashco,"Appendix-consistent preferred first pass: HOUSOP once, no HOUSEQ, no non-health insurance, mortgage interest only, add CASHCO.",excluding_food,82886,55772,25841,-0.3869793495067947,25.832384650595465,27.5,-1.6676153494045352,1.6676153494045352
appendix_housop_interest_cashco,"Appendix-consistent preferred first pass: HOUSOP once, no HOUSEQ, no non-health insurance, mortgage interest only, add CASHCO.",excluding_food_property_taxes,82800,55690,25821,-0.3801042003797207,27.904772011141233,29.4,-1.4952279888587654,1.4952279888587654
appendix_housop_interest_cashco_houseq,"Adds HOUSEQ to preferred first pass, even though Appendix A.3 labels household furnishings/major appliances as durables.",benchmark,83152,55933,25947,-0.3924326717076247,21.02330982646178,19.6,1.4233098264617787,1.4233098264617787
appendix_housop_interest_cashco_houseq,"Adds HOUSEQ to preferred first pass, even though Appendix A.3 labels household furnishings/major appliances as durables.",excluding_food,82957,55814,25869,-0.38908678197677454,26.927238018228707,27.5,-0.5727619817712934,0.5727619817712934
appendix_housop_interest_cashco_houseq,"Adds HOUSEQ to preferred first pass, even though Appendix A.3 labels household furnishings/major appliances as durables.",excluding_food_property_taxes,82889,55750,25855,-0.3864429578932002,29.066754622870867,29.4,-0.33324537712913127,0.33324537712913127
appendix_housop_interest_cashco_nonhealth_insurance,Adds broad non-health insurance/pensions to preferred first pass as a literal broad-insurance sensitivity.,benchmark,83153,55936,25946,-0.39353722335700125,18.948202801837876,19.6,-0.6517971981621251,0.6517971981621251
