detail,component,exclusion_group,cq_var,pq_var,fred_series
food_total,food,food_alcohol_tobacco,FOODCQ,FOODPQ,CPIUFDNS
alcohol,alcohol,food_alcohol_tobacco,ALCBEVCQ,ALCBEVPQ,CUUR0000SAF116
tobacco,tobacco,food_alcohol_tobacco,TOBACCCQ,TOBACCPQ,CUUR0000SEGA
rent_excluding_as_pay,rents,other,RNTXRPCQ,RNTXRPPQ,CUUR0000SEHA
rent_as_pay,rents,other,RNTAPYCQ,RNTAPYPQ,CUUR0000SEHA
mortgage_interest,mortgages,other,MRTINTCQ,MRTINTPQ,CUUR0000SEHC
vacation_home_mortgage_principal,mortgages,other,MRTPRNOC,MRTPRNOP,CUUR0000SEHC
owned_dwelling_repairs_insurance_other,mortgages,other,MRPINSCQ,MRPINSPQ,CUUR0000SEHC
utilities,utilities,other,UTILCQ,UTILPQ,CUUR0000SAH2
household_furnishings_equipment,household_repairs_operations,other,HOUSEQCQ,HOUSEQPQ,CUUR0000SAH3
domestic_services,household_repairs_operations,other,DOMSRVCQ,DOMSRVPQ,CUUR0000SAH3
household_operations_total,household_repairs_operations,other,HOUSOPCQ,HOUSOPPQ,CUUR0000SAH3
childcare,household_repairs_operations,other,BBYDAYCQ,BBYDAYPQ,CUUR0000SEEB
property_taxes,property_taxes,property_taxes,PROPTXCQ,PROPTXPQ,CUUR0000SEHC
personal_insurance_pensions,nonhealth_insurance_pensions,other,PERINSCQ,PERINSPQ,CUUR0000SEHD
life_other_personal_insurance,nonhealth_insurance_pensions,other,LIFINSCQ,LIFINSPQ,CPIAUCNS
vehicle_insurance,nonhealth_insurance_pensions,other,VEHINSCQ,VEHINSPQ,CPIAUCNS
public_transportation,public_transportation,other,PUBTRACQ,PUBTRAPQ,CUUR0000SETG
health_insurance,health_insurance,other,HLTHINCQ,HLTHINPQ,CUUR0000SAM2
cash_contributions,cash_contributions,other,CASHCOCQ,CASHCOPQ,CPIAUCNS
