detail,component,exclusion_group,n_positive,mean_nominal,p50_nominal,p95_nominal,spec_id
alcohol,alcohol,food_alcohol_tobacco,40090,81.95368545046615,0,380,current_compact_food_only
childcare,household_repairs_operations,other,8183,71.00648683741946,0,440,current_compact_food_only
domestic_services,household_repairs_operations,other,30069,139.02142057334473,0,755,current_compact_food_only
food_total,food,food_alcohol_tobacco,92245,1338.4300315621501,1145,2975,current_compact_food_only
health_insurance,health_insurance,other,58778,270.71615992295915,144,1027.99992,current_compact_food_only
household_furnishings_equipment,household_repairs_operations,other,52871,311.7972347332414,27,1575,current_compact_food_only
household_operations_total,household_repairs_operations,other,50170,180.52324359572046,20,866,current_compact_food_only
life_other_personal_insurance,nonhealth_insurance_pensions,other,37015,106.1152090146686,0,478,current_compact_food_only
mortgage_interest,mortgages,other,38421,737.6635041684442,0,3311,current_compact_food_only
owned_dwelling_repairs_insurance_other,mortgages,other,36771,231.17026065688856,0,975.5999999999913,current_compact_food_only
personal_insurance_pensions,nonhealth_insurance_pensions,other,70309,947.8399643202458,459,3446.25,current_compact_food_only
property_taxes,property_taxes,property_taxes,60607,310.0624157799871,150,1050,current_compact_food_only
public_transportation,public_transportation,other,19637,107.94888234627494,0,600,current_compact_food_only
rent_as_pay,rents,other,664,7.161340111603794,0,0,current_compact_food_only
rent_excluding_as_pay,rents,other,29846,532.5177970889982,0,2475,current_compact_food_only
tobacco,tobacco,food_alcohol_tobacco,23159,78.0067350710751,0,442,current_compact_food_only
utilities,utilities,other,90737,666.2402168042959,614,1389,current_compact_food_only
vacation_home_mortgage_principal,mortgages,other,1327,10.727899113860463,0,0,current_compact_food_only
vehicle_insurance,nonhealth_insurance_pensions,other,51373,211.77754751806813,118,750,current_compact_food_only
alcohol,alcohol,food_alcohol_tobacco,40090,81.95368545046615,0,380,current_compact_broad_food
childcare,household_repairs_operations,other,8183,71.00648683741946,0,440,current_compact_broad_food
domestic_services,household_repairs_operations,other,30069,139.02142057334473,0,755,current_compact_broad_food
food_total,food,food_alcohol_tobacco,92245,1338.4300315621501,1145,2975,current_compact_broad_food
health_insurance,health_insurance,other,58778,270.71615992295915,144,1027.99992,current_compact_broad_food
household_furnishings_equipment,household_repairs_operations,other,52871,311.7972347332414,27,1575,current_compact_broad_food
household_operations_total,household_repairs_operations,other,50170,180.52324359572046,20,866,current_compact_broad_food
life_other_personal_insurance,nonhealth_insurance_pensions,other,37015,106.1152090146686,0,478,current_compact_broad_food
mortgage_interest,mortgages,other,38421,737.6635041684442,0,3311,current_compact_broad_food
owned_dwelling_repairs_insurance_other,mortgages,other,36771,231.17026065688856,0,975.5999999999913,current_compact_broad_food
personal_insurance_pensions,nonhealth_insurance_pensions,other,70309,947.8399643202458,459,3446.25,current_compact_broad_food
property_taxes,property_taxes,property_taxes,60607,310.0624157799871,150,1050,current_compact_broad_food
public_transportation,public_transportation,other,19637,107.94888234627494,0,600,current_compact_broad_food
rent_as_pay,rents,other,664,7.161340111603794,0,0,current_compact_broad_food
rent_excluding_as_pay,rents,other,29846,532.5177970889982,0,2475,current_compact_broad_food
tobacco,tobacco,food_alcohol_tobacco,23159,78.0067350710751,0,442,current_compact_broad_food
utilities,utilities,other,90737,666.2402168042959,614,1389,current_compact_broad_food
vacation_home_mortgage_principal,mortgages,other,1327,10.727899113860463,0,0,current_compact_broad_food
vehicle_insurance,nonhealth_insurance_pensions,other,51373,211.77754751806813,118,750,current_compact_broad_food
alcohol,alcohol,food_alcohol_tobacco,40090,81.95368545046615,0,380,drop_nonhealth_insurance_add_cashco_food_only
cash_contributions,cash_contributions,other,33107,216.67745195295544,0,1068.6000399999912,drop_nonhealth_insurance_add_cashco_food_only
childcare,household_repairs_operations,other,8183,71.00648683741946,0,440,drop_nonhealth_insurance_add_cashco_food_only
domestic_services,household_repairs_operations,other,30069,139.02142057334473,0,755,drop_nonhealth_insurance_add_cashco_food_only
food_total,food,food_alcohol_tobacco,92245,1338.4300315621501,1145,2975,drop_nonhealth_insurance_add_cashco_food_only
health_insurance,health_insurance,other,58778,270.71615992295915,144,1027.99992,drop_nonhealth_insurance_add_cashco_food_only
household_furnishings_equipment,household_repairs_operations,other,52871,311.7972347332414,27,1575,drop_nonhealth_insurance_add_cashco_food_only
household_operations_total,household_repairs_operations,other,50170,180.52324359572046,20,866,drop_nonhealth_insurance_add_cashco_food_only
mortgage_interest,mortgages,other,38421,737.6635041684442,0,3311,drop_nonhealth_insurance_add_cashco_food_only
owned_dwelling_repairs_insurance_other,mortgages,other,36771,231.17026065688856,0,975.5999999999913,drop_nonhealth_insurance_add_cashco_food_only
property_taxes,property_taxes,property_taxes,60607,310.0624157799871,150,1050,drop_nonhealth_insurance_add_cashco_food_only
public_transportation,public_transportation,other,19637,107.94888234627494,0,600,drop_nonhealth_insurance_add_cashco_food_only
rent_as_pay,rents,other,664,7.161340111603794,0,0,drop_nonhealth_insurance_add_cashco_food_only
rent_excluding_as_pay,rents,other,29846,532.5177970889982,0,2475,drop_nonhealth_insurance_add_cashco_food_only
tobacco,tobacco,food_alcohol_tobacco,23159,78.0067350710751,0,442,drop_nonhealth_insurance_add_cashco_food_only
utilities,utilities,other,90737,666.2402168042959,614,1389,drop_nonhealth_insurance_add_cashco_food_only
vacation_home_mortgage_principal,mortgages,other,1327,10.727899113860463,0,0,drop_nonhealth_insurance_add_cashco_food_only
alcohol,alcohol,food_alcohol_tobacco,40090,81.95368545046615,0,380,drop_nonhealth_insurance_add_cashco_broad_food
cash_contributions,cash_contributions,other,33107,216.67745195295544,0,1068.6000399999912,drop_nonhealth_insurance_add_cashco_broad_food
childcare,household_repairs_operations,other,8183,71.00648683741946,0,440,drop_nonhealth_insurance_add_cashco_broad_food
domestic_services,household_repairs_operations,other,30069,139.02142057334473,0,755,drop_nonhealth_insurance_add_cashco_broad_food
food_total,food,food_alcohol_tobacco,92245,1338.4300315621501,1145,2975,drop_nonhealth_insurance_add_cashco_broad_food
health_insurance,health_insurance,other,58778,270.71615992295915,144,1027.99992,drop_nonhealth_insurance_add_cashco_broad_food
household_furnishings_equipment,household_repairs_operations,other,52871,311.7972347332414,27,1575,drop_nonhealth_insurance_add_cashco_broad_food
household_operations_total,household_repairs_operations,other,50170,180.52324359572046,20,866,drop_nonhealth_insurance_add_cashco_broad_food
mortgage_interest,mortgages,other,38421,737.6635041684442,0,3311,drop_nonhealth_insurance_add_cashco_broad_food
owned_dwelling_repairs_insurance_other,mortgages,other,36771,231.17026065688856,0,975.5999999999913,drop_nonhealth_insurance_add_cashco_broad_food
property_taxes,property_taxes,property_taxes,60607,310.0624157799871,150,1050,drop_nonhealth_insurance_add_cashco_broad_food
public_transportation,public_transportation,other,19637,107.94888234627494,0,600,drop_nonhealth_insurance_add_cashco_broad_food
rent_as_pay,rents,other,664,7.161340111603794,0,0,drop_nonhealth_insurance_add_cashco_broad_food
rent_excluding_as_pay,rents,other,29846,532.5177970889982,0,2475,drop_nonhealth_insurance_add_cashco_broad_food
tobacco,tobacco,food_alcohol_tobacco,23159,78.0067350710751,0,442,drop_nonhealth_insurance_add_cashco_broad_food
utilities,utilities,other,90737,666.2402168042959,614,1389,drop_nonhealth_insurance_add_cashco_broad_food
vacation_home_mortgage_principal,mortgages,other,1327,10.727899113860463,0,0,drop_nonhealth_insurance_add_cashco_broad_food
