detail,component,exclusion_group,fred_series,ucc
food_total,food,food_alcohol_tobacco,CPIUFDNS,190904
food_total,food,food_alcohol_tobacco,CPIUFDNS,790220
food_total,food,food_alcohol_tobacco,CPIUFDNS,790230
food_total,food,food_alcohol_tobacco,CPIUFDNS,190901
food_total,food,food_alcohol_tobacco,CPIUFDNS,190902
food_total,food,food_alcohol_tobacco,CPIUFDNS,190903
food_total,food,food_alcohol_tobacco,CPIUFDNS,790410
food_total,food,food_alcohol_tobacco,CPIUFDNS,790430
food_total,food,food_alcohol_tobacco,CPIUFDNS,800700
alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,200900
alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,790310
alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,790320
alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,790420
tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,630110
tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,630210
rent_excluding_as_pay,rents,other,CUUR0000SEHA,210110
rent_excluding_as_pay,rents,other,CUUR0000SEHA,230121
rent_excluding_as_pay,rents,other,CUUR0000SEHA,230141
rent_excluding_as_pay,rents,other,CUUR0000SEHA,230150
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240111
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240121
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240211
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240221
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240311
rent_excluding_as_pay,rents,other,CUUR0000SEHA,240321
rent_excluding_as_pay,rents,other,CUUR0000SEHA,320611
rent_excluding_as_pay,rents,other,CUUR0000SEHA,320621
rent_excluding_as_pay,rents,other,CUUR0000SEHA,320631
rent_excluding_as_pay,rents,other,CUUR0000SEHA,350110
rent_excluding_as_pay,rents,other,CUUR0000SEHA,790690
rent_excluding_as_pay,rents,other,CUUR0000SEHA,990920
rent_as_pay,rents,other,CUUR0000SEHA,800710
mortgage_interest,mortgages,other,CUUR0000SEHC,220311
mortgage_interest,mortgages,other,CUUR0000SEHC,220313
mortgage_interest,mortgages,other,CUUR0000SEHC,220321
mortgage_interest,mortgages,other,CUUR0000SEHC,880110
vacation_home_mortgage_principal,mortgages,other,CUUR0000SEHC,830102
vacation_home_mortgage_principal,mortgages,other,CUUR0000SEHC,830202
vacation_home_mortgage_principal,mortgages,other,CUUR0000SEHC,830204
vacation_home_mortgage_principal,mortgages,other,CUUR0000SEHC,880320
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,210901
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,220121
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,220901
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230112
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230113
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230114
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230115
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230122
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230142
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230151
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,230901
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240112
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240122
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240212
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240213
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240222
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240312
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,240322
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,320612
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,320622
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,320632
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,340911
owned_dwelling_repairs_insurance_other,mortgages,other,CUUR0000SEHC,990930
utilities,utilities,other,CUUR0000SAH2,260211
utilities,utilities,other,CUUR0000SAH2,260212
utilities,utilities,other,CUUR0000SAH2,260213
utilities,utilities,other,CUUR0000SAH2,260214
utilities,utilities,other,CUUR0000SAH2,260111
utilities,utilities,other,CUUR0000SAH2,260112
utilities,utilities,other,CUUR0000SAH2,260113
utilities,utilities,other,CUUR0000SAH2,260114
utilities,utilities,other,CUUR0000SAH2,250111
utilities,utilities,other,CUUR0000SAH2,250112
utilities,utilities,other,CUUR0000SAH2,250113
utilities,utilities,other,CUUR0000SAH2,250114
utilities,utilities,other,CUUR0000SAH2,250211
utilities,utilities,other,CUUR0000SAH2,250212
utilities,utilities,other,CUUR0000SAH2,250213
utilities,utilities,other,CUUR0000SAH2,250214
utilities,utilities,other,CUUR0000SAH2,250221
utilities,utilities,other,CUUR0000SAH2,250222
utilities,utilities,other,CUUR0000SAH2,250223
utilities,utilities,other,CUUR0000SAH2,250224
