detail,table_good,component,exclusion_group,best_survey,in_cash_definition,n_positive,mean_nominal,p50_nominal,p95_nominal,spec_id
alcohol,Alcohol,alcohol,food_alcohol_tobacco,DS,TRUE,40090,81.95368545046615,0,380,table10_11_cash_goods_expense_mortgage
food_at_home,Food at home,food,food_alcohol_tobacco,IS,TRUE,91707,975.1703094733742,845,2145,table10_11_cash_goods_expense_mortgage
food_away,Food away,food,food_alcohol_tobacco,DS,TRUE,76509,363.2597220887442,210,1200,table10_11_cash_goods_expense_mortgage
health_insurance,Health insurance,health_insurance,other,IS,TRUE,58778,270.71615992295915,144,1027.99992,table10_11_cash_goods_expense_mortgage
household_furnishings_equipment,Other household ops,household_operations,other,IS,TRUE,52871,311.7972347332414,27,1575,table10_11_cash_goods_expense_mortgage
household_operations,Other household ops,household_operations,other,IS,TRUE,50170,180.52324359572046,20,866,table10_11_cash_goods_expense_mortgage
mortgage_interest,Mortgage,mortgage,other,IS,TRUE,38421,737.6635041684442,0,3311,table10_11_cash_goods_expense_mortgage
owned_dwelling_repairs_insurance_other,Repairs/maintenance,repairs_maintenance,other,IS,TRUE,36771,231.17026065688856,0,975.5999999999913,table10_11_cash_goods_expense_mortgage
property_taxes,Property tax,property_taxes,property_taxes,IS,TRUE,60607,310.0624157799871,150,1050,table10_11_cash_goods_expense_mortgage
public_transportation,Public transportation,public_transportation,other,IS,TRUE,19637,107.94888234627494,0,600,table10_11_cash_goods_expense_mortgage
rent,Rent,rent,other,IS,TRUE,29846,539.6791372006298,0,2505,table10_11_cash_goods_expense_mortgage
tobacco,Tobacco,tobacco,food_alcohol_tobacco,DS,TRUE,23159,78.0067350710751,0,442,table10_11_cash_goods_expense_mortgage
utilities,Utilities,utilities,other,IS,TRUE,90737,666.2402168042959,614,1389,table10_11_cash_goods_expense_mortgage
alcohol,Alcohol,alcohol,food_alcohol_tobacco,DS,TRUE,40090,81.95368545046615,0,380,table10_11_cash_goods_outlay_mortgage
food_at_home,Food at home,food,food_alcohol_tobacco,IS,TRUE,91707,975.1703094733742,845,2145,table10_11_cash_goods_outlay_mortgage
food_away,Food away,food,food_alcohol_tobacco,DS,TRUE,76509,363.2597220887442,210,1200,table10_11_cash_goods_outlay_mortgage
health_insurance,Health insurance,health_insurance,other,IS,TRUE,58778,270.71615992295915,144,1027.99992,table10_11_cash_goods_outlay_mortgage
household_furnishings_equipment,Other household ops,household_operations,other,IS,TRUE,52871,311.7972347332414,27,1575,table10_11_cash_goods_outlay_mortgage
household_operations,Other household ops,household_operations,other,IS,TRUE,50170,180.52324359572046,20,866,table10_11_cash_goods_outlay_mortgage
mortgage_interest,Mortgage,mortgage,other,IS,TRUE,38421,737.6635041684442,0,3311,table10_11_cash_goods_outlay_mortgage
owned_dwelling_repairs_insurance_other,Repairs/maintenance,repairs_maintenance,other,IS,TRUE,36771,231.17026065688856,0,975.5999999999913,table10_11_cash_goods_outlay_mortgage
