spec_id,measure,n_rows,n_positive,n_zero,n_positive_complete_controls,mean_liquid,p50_liquid,p95_liquid
table10_11_cash_goods_expense_mortgage,benchmark,92649,92635,14,92635,4913.039231155408,4095.390374224116,10945.322062399002
table10_11_cash_goods_expense_mortgage,excluding_food,92649,92399,250,92399,3403.4200641404855,2679.517385866223,8307.342970286441
table10_11_cash_goods_expense_mortgage,excluding_food_property_taxes,92649,92313,336,92313,3091.9146601246766,2451.2676277658297,7599.68579807049
table10_11_cash_goods_outlay_mortgage,benchmark,92649,92635,14,92635,5254.936476159783,4286.290261540271,12024.439850982986
table10_11_cash_goods_outlay_mortgage,excluding_food,92649,92399,250,92399,3745.3173091448607,2866.3338696440387,9388.180536715601
table10_11_cash_goods_outlay_mortgage,excluding_food_property_taxes,92649,92313,336,92313,3433.811905129052,2654.021734756427,8635.77267666094
table10_11_cash_goods_outlay_mortgage_add_cashco,benchmark,92649,92635,14,92635,5471.366992416374,4434.423273836271,12653.168972430049
table10_11_cash_goods_outlay_mortgage_add_cashco,excluding_food,92649,92420,229,92420,3961.747825401453,3008.0690872816344,9985.908224416185
table10_11_cash_goods_outlay_mortgage_add_cashco,excluding_food_property_taxes,92649,92338,311,92338,3650.2424213856434,2795.963500455669,9243.409555373439
table10_11_cash_goods_outlay_mortgage_is_best_only,benchmark,92649,92591,58,92591,4728.321013252683,3823.0645841148594,10916.568081579702
table10_11_cash_goods_outlay_mortgage_is_best_only,excluding_food,92649,92399,250,92399,3745.3173091448607,2866.3338696440387,9388.180536715601
table10_11_cash_goods_outlay_mortgage_is_best_only,excluding_food_property_taxes,92649,92313,336,92313,3433.811905129052,2654.021734756427,8635.77267666094
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,benchmark,92649,92626,12,92626,5886.768598336345,4812.764846560683,13592.592350573072
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,excluding_food,92649,92458,174,92458,4377.1494313214225,3375.295718320928,10887.30245730397
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,excluding_food_property_taxes,92649,92392,237,92392,4065.644027305615,3153.3760787858882,10151.07583676887
