detail,component,tely_group,exclusion_group,fred_series,liquid_payment_share,share_column,application_status,n_records,n_households,unweighted_nominal_sum,liquid_nominal_sum,unweighted_real_sum,liquid_real_sum,liquid_to_unweighted_real_ratio,n_negative_cost,n_topcoded_cost,n_published_integrated
alcohol,alcohol,food_alcohol_tobacco_proxy,food_alcohol_tobacco,CUUR0000SAF116,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,21904,4957,1350033.6666666842,868541.3447917615,1349991.8991733463,868514.4737619725,0.6433479151199339,0,0,4781
childcare_within_household_operations,childcare,childcare,other,CUUR0000SAH3,0.9322620791509664,weighted_dollar_share_broad,dcpc_share_applied,2413,577,1610416,1501329.7684579717,1610369.126073082,1501286.0696734148,0.9322620791509656,0,0,2413
food_total,food,food_alcohol_tobacco_proxy,food_alcohol_tobacco,CPIUFDNS,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,68200,11119,16031143.33331863,10313602.640479041,16031292.285028305,10313698.46825156,0.6433479151199538,0,0,16748
health_insurance,health_insurance,health_insurance,other,CUUR0000SAM2,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,117183,6448,10313356.333292661,8815215.449610505,10315312.315022161,8816887.30111399,0.8547377948289535,0,44,117183
household_operations_total,household_operations,NA,other,CUUR0000SAH3,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,74223,10458,6099890.999999954,6099890.999999954,6100406.98818715,6100406.98818715,1,6,236,72092
mortgage_interest,mortgages,mortgage,other,CUUR0000SEHC,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied,26461,4756,15006888.666667275,14584468.15761656,15011131.03974445,14588591.114508463,0.9718515597447492,0,0,26461
owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,20065,6046,9806754.333336059,8353422.02052515,9805365.530837262,8352239.034495226,0.8518029244527352,0,10,20065
property_taxes,property_taxes,property_taxes,property_taxes,CUUR0000SEHC,0.8293021734852469,weighted_dollar_share_broad,dcpc_share_applied,41379,7852,11862378.916666763,9837496.61829746,11865625.634670716,9840189.128594339,0.8293021734852176,0,1109,41379
public_transportation,public_transportation,public_transportation,other,CUUR0000SETG,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,20833,4237,4183112.666666778,1424586.803381475,4184307.92291132,1424993.855834666,0.340556642122838,0,18,13570
rent_as_pay,rents,rent,other,CUUR0000SEHA,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,819,225,538686.666666965,491723.9701138092,539142.1116796212,492139.70943622006,0.9128200130815756,0,0,819
rent_excluding_as_pay,rents,rent,other,CUUR0000SEHA,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,24758,4693,22999817.333356958,20994693.559107274,23007382.663408678,21001599.34378518,0.9128200130815607,0,667,24758
tobacco,tobacco,food_alcohol_tobacco_proxy,food_alcohol_tobacco,CUUR0000SEGA,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,11353,2442,1634774.333332327,1051728.6590408797,1635287.6937144909,1052058.928372491,0.6433479151199267,0,0,11353
utilities,utilities,utilities,other,CUUR0000SAH2,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,204512,12347,20482990.66666668,18409832.515284542,20485936.72929175,18412480.396166522,0.8987863547308285,0,543,204512
