component,tely_group,liquid_payment_share,share_column,application_status
food,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied
alcohol,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied
tobacco,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied
rents,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied
mortgages,mortgage,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied
owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied
utilities,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied
childcare,childcare,0.9322620791509664,weighted_dollar_share_broad,dcpc_share_applied
household_operations,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one
property_taxes,property_taxes,0.8293021734852469,weighted_dollar_share_broad,dcpc_share_applied
public_transportation,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied
health_insurance,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied
