ucc,n_2019_records,detail,component,exclusion_group,fred_series,tely_group,liquid_payment_share,share_column,application_status,present_in_2019_mtbi
200900,4781,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
790310,0,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,FALSE
790320,0,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,FALSE
790420,17123,alcohol,alcohol,food_alcohol_tobacco,CUUR0000SAF116,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
340211,0,childcare_within_household_operations,childcare,other,CUUR0000SAH3,childcare,0.9322620791509664,weighted_dollar_share_broad,dcpc_share_applied,FALSE
340212,0,childcare_within_household_operations,childcare,other,CUUR0000SAH3,childcare,0.9322620791509664,weighted_dollar_share_broad,dcpc_share_applied,FALSE
670310,2413,childcare_within_household_operations,childcare,other,CUUR0000SAH3,childcare,0.9322620791509664,weighted_dollar_share_broad,dcpc_share_applied,TRUE
190901,343,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
190902,131,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
190903,8081,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
190904,3319,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
790220,0,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,FALSE
790230,0,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,FALSE
790410,51452,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
790430,3697,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
800700,1177,food_total,food,food_alcohol_tobacco,CPIUFDNS,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580111,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
580112,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
580113,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
580114,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
580311,10670,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580312,3635,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580901,90867,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580903,11547,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580904,464,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,TRUE
580905,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
580906,0,health_insurance,health_insurance,other,CUUR0000SAM2,health_insurance,0.8547377948298633,weighted_dollar_share_broad,dcpc_share_applied,FALSE
330511,1677,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340310,3788,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340410,7214,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340420,561,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340510,1486,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340520,271,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340530,1860,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340620,731,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
