variant,group,replication,n_nonmissing,weight_nonmissing,paper,diff,abs_diff
X7132: <=0 as 0,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
X7132: <=0 as 0,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
X7132: <=0 as 0,Save,9.282843827770275,10776,45523858.83999998,9.8,-0.5171561722297255,0.5171561722297255
"X7132: 0 inapplicable as NA, -1 no-interest as 0",Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
"X7132: 0 inapplicable as NA, -1 no-interest as 0",Borrow and save,13.873208723447254,3028,17583111.492000017,13.7,0.1732087234472548,0.1732087234472548
"X7132: 0 inapplicable as NA, -1 no-interest as 0",Save,14.3563368525967,8021,29435842.60999999,9.8,4.556336852596699,4.556336852596699
X7132: positive rates only,Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
X7132: positive rates only,Borrow and save,13.941246384004328,3011,17497300.38600002,13.7,0.24124638400432907,0.24124638400432907
X7132: positive rates only,Save,14.415661692206355,7999,29314705.149999984,9.8,4.615661692206354,4.615661692206354
X7132: reported/nonmissing-origin J-codes only,Borrow,16.325562108496186,481,2904271.7039999985,14.8,1.5255621084961852,1.5255621084961852
X7132: reported/nonmissing-origin J-codes only,Borrow and save,13.722514422392926,2873,16783870.808000028,13.7,0.022514422392927003,0.022514422392927003
X7132: reported/nonmissing-origin J-codes only,Save,8.501958517343319,8486,39866210.12200027,9.8,-1.2980414826566822,1.2980414826566822
X7132: reported J-code only,Borrow,17.34971707415569,451,2732832.35,14.8,2.5497170741556907,2.5497170741556907
X7132: reported J-code only,Borrow and save,13.99476957404198,2808,16437088.438000025,13.7,0.2947695740419807,0.2947695740419807
X7132: reported J-code only,Save,14.311280729594442,5701,23637407.40400004,9.8,4.511280729594441,4.511280729594441
X7132: cap at 20%,Borrow,15.202264691903412,541,3279593.6739999996,14.8,0.40226469190341163,0.40226469190341163
X7132: cap at 20%,Borrow and save,13.36735023143428,3073,17828104.496000014,13.7,-0.3326497685657195,0.3326497685657195
X7132: cap at 20%,Save,9.186198292697274,10776,45523858.83999998,9.8,-0.6138017073027271,0.6138017073027271
X7132: drop above 22.5%,Borrow,14.74970809005901,468,2870830.2879999983,14.8,-0.05029190994099153,0.05029190994099153
X7132: drop above 22.5%,Borrow and save,13.180560812087139,2931,17046157.062000014,13.7,-0.5194391879128606,0.5194391879128606
X7132: drop above 22.5%,Save,9.077942726464867,10635,44907356.58800003,9.8,-0.7220572735351336,0.7220572735351336
"X7132: positive rates, balance-weighted by raw card balance",Borrow,16.803573305587122,511,16147234454.239998,14.8,2.003573305587121,2.003573305587121
"X7132: positive rates, balance-weighted by raw card balance",Borrow and save,14.083268970508271,3011,106614120915.74,13.7,0.38326897050827213,0.38326897050827213
"X7132: positive rates, balance-weighted by raw card balance",Save,11.92042403660141,1930,13390288688.295982,9.8,2.1204240366014098,2.1204240366014098
