variant,group_chr,rate,n_nonmissing,weight_nonmissing,target,diff,abs
current_all_j,Borrow,16.03732759300963,1,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
current_all_j,Borrow and save,13.68256371791462,1,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
current_all_j,Save,9.282843827770275,1,45523858.83999998,9.8,-0.5171561722297255,0.5171561722297255
j0_reported_only,Borrow,17.34971707415569,1,3279593.6739999996,14.8,2.5497170741556907,2.5497170741556907
j0_reported_only,Borrow and save,13.99476957404198,1,17828104.496000014,13.7,0.2947695740419807,0.2947695740419807
j0_reported_only,Save,14.311280729594442,1,45523858.83999998,9.8,4.511280729594441,4.511280729594441
j_lt_90_nonmissing_origin,Borrow,16.325562108496186,1,3279593.6739999996,14.8,1.5255621084961852,1.5255621084961852
j_lt_90_nonmissing_origin,Borrow and save,13.722514422392926,1,17828104.496000014,13.7,0.022514422392927003,0.022514422392927003
j_lt_90_nonmissing_origin,Save,8.501958517343319,1,45523858.83999998,9.8,-1.2980414826566822,1.2980414826566822
j_not_inapp_or_missing,Borrow,17.34971707415569,1,3279593.6739999996,14.8,2.5497170741556907,2.5497170741556907
j_not_inapp_or_missing,Borrow and save,13.932774317302261,1,17828104.496000014,13.7,0.23277431730226184,0.23277431730226184
j_not_inapp_or_missing,Save,14.254600532405345,1,45523858.83999998,9.8,4.454600532405344,4.454600532405344
j_not_2050plus,Borrow,16.325562108496186,1,3279593.6739999996,14.8,1.5255621084961852,1.5255621084961852
j_not_2050plus,Borrow and save,13.722514422392926,1,17828104.496000014,13.7,0.022514422392927003,0.022514422392927003
j_not_2050plus,Save,8.501958517343319,1,45523858.83999998,9.8,-1.2980414826566822,1.2980414826566822
imputed_2050plus_only,Borrow,13.80694564269712,1,3279593.6739999996,14.8,-0.9930543573028814,0.9930543573028814
imputed_2050plus_only,Borrow and save,13.040439765816096,1,17828104.496000014,13.7,-0.6595602341839033,0.6595602341839033
imputed_2050plus_only,Save,14.785295361676395,1,45523858.83999998,9.8,4.985295361676394,4.985295361676394
reported_or_inapp_zero,Borrow,16.325562108496186,1,3279593.6739999996,14.8,1.5255621084961852,1.5255621084961852
reported_or_inapp_zero,Borrow and save,13.782574233863485,1,17828104.496000014,13.7,0.08257423386348606,0.08257423386348606
reported_or_inapp_zero,Save,8.515521937532313,1,45523858.83999998,9.8,-1.284478062467688,1.284478062467688
