variable,codebook_label,mean_abs_diff,max_abs_diff
X7132,Q86A1 N Q86A1:B9_1. INTEREST ON CARD W/HI BAL X7132,0.5906400157749108,1.2373275930096277
X2219,Q609A1 N Q609A1:G21. CURRENT APR X2219,8.70680740871994,10.034305413658997
X816,Q251A1 N Q251A1:D35. ANNUAL INT RATE ON LOAN X816,8.802652109934176,11.179307236857415
X2319,Q609A2 N Q609A2:G21. CURRENT APR X2319,11.446338110036194,13.423780215676803
X7822,Q695A1 N Q695A1:H14. CURRENT APR X7822,11.511425126339734,13.36245396179527
X2724,Q727A1 N Q727A1:I13. CURRENT APR X2724,11.60589738178945,13.42097046838614
X1111,Q315A1 N Q315A1:D53_7. ANNUAL INTEREST RATE X1111,11.965248675732663,14.09780625168385
X827,Q270A1 N Q270A1:D39_7. MAX RATE CAN BE CHARGED X827,12.024428634423428,13.978915104774044
X916,Q251A2 N Q251A2:D35. ANNUAL INT RATE ON LOAN X916,12.205557851433673,14.283141600254227
X828,Q269A1 N Q269A1:D39_6. ORIGINAL INTEREST RATE X828,12.27080944228148,14.220020547716182
X1726,Q440A1 N Q440A1:E31. ANNUAL INTEREST RATE X1726,12.294562310220602,14.610720974088574
X7845,Q695A2 N Q695A2:H14. CURRENT APR X7845,12.387163145883754,14.40660855650254
X1016,Q251A3 N Q251A3:D35. ANNUAL INT RATE ON LOAN X1016,12.463462892363813,14.303212120429283
X2741,Q727A2 N Q727A2:I13. CURRENT APR X2741,12.5011725845141,14.418538560091148
X826,Q268A1 N Q268A1:D39_5.MAX RATE CAN RISE AT ONCE X826,12.52407176732035,14.427295694375095
X2419,Q609A3 N Q609A3:G21. CURRENT APR X2419,12.56410535463328,14.69433044015562
X2520,Q652A1 N Q652A1:G37. CURRENT APR X2520,12.613865257383033,14.8
X2841,Q727A4 N Q727A4:I13. CURRENT APR X2841,12.62529328884923,14.712375113789783
X2924,Q727A5 N Q727A5:I13. CURRENT APR X2924,12.658914600266572,14.75128989268809
X7868,Q695A3 N Q695A3:H14. CURRENT APR X7868,12.665061136417808,14.749400027413275
X1216,Q350 N Q350:D63.CURRENT INTEREST RATE CHARGED X1216,12.678233741329649,14.8
X1826,Q440A2 N Q440A2:E31. ANNUAL INTEREST RATE X1826,12.679857671698386,14.8
X7170,Q609A4 N Q609A4:G21. CURRENT APR X7170,12.70040228674633,14.689930243474425
X1045,Q297 N Q297:D50. ANNUAL INTEREST RATE X1045,12.705280630202974,14.693524663506837
X4013,Q946 N Q946:N49_9. ANNUAL RATE OF INTEREST X4013,12.710211355365084,14.8
X2824,Q727A3 N Q727A3:I13. CURRENT APR X2824,12.715695545033524,14.734668691338621
X5707,Q1351A4 N Q1351A4:T1. ANY OTHER INTEREST INCOME? X5707,12.724392370729648,14.75141354632946
X1122,Q315A2 N Q315A2:D53_7. ANNUAL INTEREST RATE X1122,12.724625814726988,14.8
X7922,Q695A4 N Q695A4:H14. CURRENT APR X7922,12.73246107370604,14.8
X1926,Q440A3 N Q440A3:E31. ANNUAL INTEREST RATE X1926,12.737701725114848,14.8
X820,Q260A1 N Q260A1:D39. ADJUSTABLE RATE LOAN? X820,12.743891586200835,14.781255982432414
X3023,Q742 N Q742:J7. HOW RATE RETIREMENT INCOME X3023,12.743929942505096,14.78074732435894
X7945,Q695A5 N Q695A5:H14. CURRENT APR X7945,12.744897227687494,14.8
X302,Q33 N Q33:A2. INTEREST RATES HIGHER/LOWER X302,12.750505978043508,14.784358317200487
X2620,Q652A2 N Q652A2:G37. CURRENT APR X2620,12.753249390244301,14.8
X1133,Q315A3 N Q315A3:D53_7. ANNUAL INTEREST RATE X1133,12.75615511567941,14.8
X824,Q264A1 N Q264A1:D39_3F. FREQ RATE CHANGE X824,12.761521424461757,14.794946524238235
X7968,Q695A6 N Q695A6:H14. CURRENT APR X7968,12.761583536252344,14.8
X1727,Q441A1 N Q441A1:E32. ADJUSTABLE RATE? X1727,12.76427816041915,14.799474224928025
X920,Q260A2 N Q260A2:D39. ADJUSTABLE RATE LOAN? X920,12.76427870529511,14.798299418484609
X1020,Q260A3 N Q260A3:D39. ADJUSTABLE RATE LOAN? X1020,12.765256406334156,14.797759141701528
X821,Q261A1 N Q261A1:D39_1.RATE DEPEND ON OTH RATES? X821,12.765419643279017,14.798478774550778
X7809,Q677A1 N Q677A1:H7. ACCUM INTEREST DURING DEFER X7809,12.765599509628808,14.7986678398929
X823,Q263A1 N Q263A1:D39_3.#TIMES RATE CAN CHNG/FREQ X823,12.765750974340651,14.799240253035078
X825,Q267A1 N Q267A1:D39_4.SIZE PMTS CHANGE W/RATE? X825,12.765778271845203,14.799370530362843
X1827,Q441A2 N Q441A2:E32. ADJUSTABLE RATE? X1827,12.766158243490082,14.8
X7832,Q677A2 N Q677A2:H7. ACCUM INTEREST DURING DEFER X7832,12.766295744619795,14.799785383693846
X6833,Q913A2 N Q913A2:N43_2. TRUSTS W/EQUITY INTEREST X6833,12.766364497571725,14.8
X1927,Q441A3 N Q441A3:E32. ADJUSTABLE RATE? X1927,12.766547598745344,14.8
X7855,Q677A3 N Q677A3:H7. ACCUM INTEREST DURING DEFER X7855,12.76662110815523,14.8
X7909,Q677A4 N Q677A4:H7. ACCUM INTEREST DURING DEFER X7909,12.766642793953404,14.8
X2941,Q727A6 N Q727A6:I13. CURRENT APR X2941,12.766653390836906,14.8
X7932,Q677A5 N Q677A5:H7. ACCUM INTEREST DURING DEFER X7932,12.766660257310397,14.8
X7955,Q677A6 N Q677A6:H7. ACCUM INTEREST DURING DEFER X7955,12.766660257310397,14.8
X6820,Q916A1 N Q916A1:N44. VALUE OF INTEREST X6820,14.79727551524969,25.513732000140823
X6835,Q916A2 N Q916A2:N44. VALUE OF INTEREST X6835,64.00788806175463,134.20240206640634
