appendix_window,cohort_rule,truncation_rule,fifth_interview_qyears,n_households,n_complete_12_month_households,n_partial_panel_households,weighted_population,statistic,group,paper,share_pct,diff,n_households_in_group
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Borrow,7,8.453102780469871,1.4531027804698713,241
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Borrow and save,29,28.835823764309282,-0.16417623569071793,902
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Save,64,62.711073455220635,-1.2889265447793647,1822
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Borrow,7,8.723301510961392,1.7233015109613916,241
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Borrow and save,29,29.051634825885767,0.051634825885766844,880
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Save,64,62.225063663152596,-1.7749363368474036,1748
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Borrow,7,8.37692302982852,1.3769230298285198,223
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Borrow and save,29,29.40486101868375,0.40486101868375,864
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Save,64,62.218215951487515,-1.7817840485124847,1687
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Borrow,7,8.65544972059455,1.6554497205945502,223
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Borrow and save,29,29.66488683927747,0.6648868392774716,843
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Save,64,61.67966344012783,-2.3203365598721675,1615
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Borrow,7,8.453102780469871,1.4531027804698713,241
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Borrow and save,29,28.835823764309282,-0.16417623569071793,902
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,Puzzle size (%),Save,64,62.711073455220635,-1.2889265447793647,1822
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Borrow,7,8.723301510961392,1.7233015109613916,241
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Borrow and save,29,29.051634825885767,0.051634825885766844,880
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,Puzzle size (%),Save,64,62.225063663152596,-1.7749363368474036,1748
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Borrow,7,8.37692302982852,1.3769230298285198,223
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Borrow and save,29,29.40486101868375,0.40486101868375,864
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,Puzzle size (%),Save,64,62.218215951487515,-1.7817840485124847,1687
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Borrow,7,8.65544972059455,1.6554497205945502,223
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Borrow and save,29,29.66488683927747,0.6648868392774716,843
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,Puzzle size (%),Save,64,61.67966344012783,-2.3203365598721675,1615
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Borrow,7,7.859077663945065,0.8590776639450652,185
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Borrow and save,29,30.147478692724025,1.1474786927240253,763
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Save,64,61.993443643330956,-2.0065563566690443,1424
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Borrow,7,8.158313379256557,1.1583133792565565,185
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Borrow and save,29,30.4840678103316,1.4840678103315987,743
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Save,64,61.35761881041185,-2.64238118958815,1354
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Borrow,7,7.859077663945065,0.8590776639450652,185
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Borrow and save,29,30.147478692724025,1.1474786927240253,763
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2372,2251,121,8292001.677749997,Puzzle size (%),Save,64,61.993443643330956,-2.0065563566690443,1424
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Borrow,7,8.158313379256557,1.1583133792565565,185
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Borrow and save,29,30.4840678103316,1.4840678103315987,743
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2282,2165,117,7987862.459499996,Puzzle size (%),Save,64,61.35761881041185,-2.64238118958815,1354
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,2805,2251,554,9817856.512000013,Puzzle size (%),Borrow,7,8.228127529798623,1.2281275297986234,224
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,2805,2251,554,9817856.512000013,Puzzle size (%),Borrow and save,29,29.053600378693293,0.05360037869329304,863
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,2805,2251,554,9817856.512000013,Puzzle size (%),Save,64,62.71827209150792,-1.2817279084920798,1718
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,2711,2165,546,9502030.710750012,Puzzle size (%),Borrow,7,8.501611698498046,1.5016116984980457,224
