appendix_window,cohort_rule,truncation_rule,fifth_interview_qyears,n_households,n_complete_12_month_households,n_partial_panel_households,weighted_population,mean_abs_diff,max_abs_diff,household_gap_vs_target,complete_12_month_gap_vs_target,partial_panel_gap_vs_target,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20012;20013;20014;20021,2738,2185,553,9572094.354749978,0.7453280394998135,1.117992059249616,-5,21,-26,7.523776613658451,29.594215445591374,62.882007940750384,26
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,2711,2165,546,9502030.710750012,1.2259236679609369,1.8388855019414763,-32,1,-33,8.501611698498046,29.33727380344329,62.161114498058524,33
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,1.5468910399147298,2.3203365598721675,-62,1,-63,8.65544972059455,29.66488683927747,61.67966344012783,63
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2681,2165,516,9391066.61975001,1.5468910399147298,2.3203365598721675,-62,1,-63,8.65544972059455,29.66488683927747,61.67966344012783,63
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,2718,2251,467,9503450.24725001,1.008283309398374,1.5124249640976117,-25,87,-112,8.18207117436119,29.33035378973632,62.48757503590239,112
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,1.1878560323415848,1.7817840485124847,31,87,-56,8.37692302982852,29.40486101868375,62.218215951487515,118
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude fifth-only panels,20011;20012;20013;20014,2774,2251,523,9703312.85850002,1.1878560323415848,1.7817840485124847,31,87,-56,8.37692302982852,29.40486101868375,62.218215951487515,118
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,2626,2165,461,9193796.352750016,1.3806695910628939,2.0710043865944456,-117,1,-118,8.45764941288278,29.613354973711456,61.928995613405554,118
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,1.1832908912315208,1.7749363368474036,126,1,125,8.723301510961392,29.051634825885767,62.225063663152596,127
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,exclude topcoded liquid assets,20011;20012;20013;20014,2869,2165,704,10079032.524500018,1.1832908912315208,1.7749363368474036,126,1,125,8.723301510961392,29.051634825885767,62.225063663152596,127
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,2805,2251,554,9817856.512000013,0.8544852723279988,1.2817279084920798,62,87,-25,8.228127529798623,29.053600378693293,62.71827209150792,149
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude fifth-only panels,20012;20013;20014;20021,2817,2258,559,9823052.944749992,0.4538348754106843,0.6807523131159954,74,94,-20,7.331559755919946,29.349192557196112,63.319247686884005,168
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20012;20013;20014;20021,2932,2185,747,10289221.582499983,0.4158904520316442,0.6238356780475227,189,21,168,7.623835678047523,28.7909415716969,63.58522275025569,210
2000Q2-2001Q1,appendix as inferred public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,0.9687351869799846,1.4531027804698713,222,87,135,8.453102780469871,28.835823764309282,62.711073455220635,309
2000Q2-2001Q1,fifth interview in 2001Q1-2001Q4,current valid flags,20011;20012;20013;20014,2965,2251,714,10401203.195250016,0.9687351869799846,1.4531027804698713,222,87,135,8.453102780469871,28.835823764309282,62.711073455220635,309
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,current valid flags,20012;20013;20014;20021,3012,2258,754,10543932.697749976,0.2931104771270305,0.4396657156906354,269,94,175,7.439665715690635,28.60713249472528,63.95320178958426,363
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,current valid flags,20011;20012;20013;20014,2372,2251,121,8292001.677749997,1.3377042377793782,2.0065563566690443,-371,87,-458,7.859077663945065,30.147478692724025,61.993443643330956,458
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude fifth-only panels,20011;20012;20013;20014,2372,2251,121,8292001.677749997,1.3377042377793782,2.0065563566690443,-371,87,-458,7.859077663945065,30.147478692724025,61.993443643330956,458
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20011;20012;20013;20014,2282,2165,117,7987862.459499996,1.761587459725435,2.64238118958815,-461,1,-462,8.158313379256557,30.4840678103316,61.35761881041185,462
2000Q2-2001Q1,appendix as actual observed public interview-2 in 2000Q2-2001Q1,exclude topcoded liquid assets,20011;20012;20013;20014,2282,2165,117,7987862.459499996,1.761587459725435,2.64238118958815,-461,1,-462,8.158313379256557,30.4840678103316,61.35761881041185,462
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,3187,2697,490,11095313.783000011,1.6376584081687338,2.4564876122532056,444,533,-89,8.315078895412249,30.141408716840747,61.543512387746794,977
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,3272,2697,575,11403548.141000018,1.5017697112849693,2.252654566927596,529,533,-4,8.355564200007343,29.89709036691997,61.747345433072404,1062
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,3298,2802,496,11463147.502750019,1.2824330153482844,1.9236495230225685,555,638,-83,8.048261566281614,29.87538795674067,62.07635047697743,1193
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,3385,2802,583,11777553.767500022,1.1469072961434257,1.7203609442152938,642,638,4,8.090226585331516,29.630134358883467,62.279639055784706,1280
