valid_liquid_assets,liquid_assets_topcoded,checking_flag,savings_flag,present_full_12_months,n_households
FALSE,FALSE,B,B,FALSE,133
FALSE,FALSE,B,B,TRUE,285
FALSE,FALSE,B,C,FALSE,24
FALSE,FALSE,B,C,TRUE,31
FALSE,FALSE,B,D,FALSE,5
FALSE,FALSE,B,D,TRUE,13
FALSE,FALSE,C,B,FALSE,2
FALSE,FALSE,C,B,TRUE,5
FALSE,FALSE,C,C,FALSE,169
FALSE,FALSE,C,C,TRUE,448
FALSE,FALSE,C,D,FALSE,47
FALSE,FALSE,C,D,TRUE,101
FALSE,FALSE,D,B,TRUE,14
FALSE,FALSE,D,C,FALSE,26
FALSE,FALSE,D,C,TRUE,96
FALSE,TRUE,C,T,TRUE,2
FALSE,TRUE,T,B,TRUE,1
FALSE,TRUE,T,C,TRUE,2
TRUE,FALSE,D,D,FALSE,704
TRUE,FALSE,D,D,TRUE,2165
TRUE,TRUE,D,T,FALSE,3
TRUE,TRUE,D,T,TRUE,23
TRUE,TRUE,T,D,FALSE,7
TRUE,TRUE,T,D,TRUE,58
TRUE,TRUE,T,T,TRUE,5
