liquid_assets_not_topcoded,qyear,present_full_12_months,interviews_observed,n_households
FALSE,20011,FALSE,235,1
FALSE,20011,FALSE,45,1
FALSE,20011,FALSE,5,2
FALSE,20011,TRUE,2345,26
FALSE,20012,TRUE,2345,26
FALSE,20013,FALSE,345,1
FALSE,20013,FALSE,5,1
FALSE,20013,TRUE,2345,20
FALSE,20014,FALSE,235,2
FALSE,20014,FALSE,245,1
FALSE,20014,FALSE,345,1
FALSE,20014,TRUE,2345,14
TRUE,20011,FALSE,235,9
TRUE,20011,FALSE,245,14
TRUE,20011,FALSE,25,2
TRUE,20011,FALSE,345,49
TRUE,20011,FALSE,35,1
TRUE,20011,FALSE,45,48
TRUE,20011,FALSE,5,42
TRUE,20011,TRUE,2345,569
TRUE,20012,FALSE,235,8
TRUE,20012,FALSE,245,15
TRUE,20012,FALSE,25,6
TRUE,20012,FALSE,345,57
TRUE,20012,FALSE,35,6
TRUE,20012,FALSE,45,36
TRUE,20012,FALSE,5,49
TRUE,20012,TRUE,2345,538
TRUE,20013,FALSE,235,7
TRUE,20013,FALSE,245,16
TRUE,20013,FALSE,25,4
TRUE,20013,FALSE,345,51
TRUE,20013,FALSE,35,4
TRUE,20013,FALSE,45,41
TRUE,20013,FALSE,5,43
TRUE,20013,TRUE,2345,512
TRUE,20014,FALSE,235,18
TRUE,20014,FALSE,245,12
TRUE,20014,FALSE,25,6
TRUE,20014,FALSE,345,46
TRUE,20014,FALSE,35,3
TRUE,20014,FALSE,45,57
TRUE,20014,FALSE,5,54
TRUE,20014,TRUE,2345,546
