sample_window,qyears,truncation_rule,n_households,n_cuids,n_complete_12_month_households,n_partial_panel_households,weighted_population,mean_abs_diff,max_abs_diff,household_gap_vs_target,complete_12_month_gap_vs_target,partial_panel_gap_vs_target,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,exclude topcoded assets and fifth-only panels,2734,2734,2169,565,9577983.960000005,0.4932974635440394,0.7399461953161435,-9,5,-14,7.304096866017295,29.43584932929868,63.26005380468386,14
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,exclude topcoded assets and fifth-only panels,2724,1401,2160,564,9622690.238000005,0.9778362795235364,1.4667544192853796,-19,-4,-15,7.363233947321411,30.10352047196382,62.53324558071462,23
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,exclude topcoded assets and fifth-only panels,2738,749,2185,553,9572094.354749978,0.7453280394998135,1.117992059249616,-5,21,-26,7.523776613658451,29.594215445591374,62.882007940750384,26
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,exclude topcoded assets and fifth-only panels,2719,2031,2159,560,9573632.695749996,0.9813957704377284,1.472093655656579,-24,-5,-19,7.749443375651455,29.72265028000515,62.52790634434342,29
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,exclude topcoded assets and fifth-only panels,2681,0,2165,516,9391066.61975001,1.5468910399147298,2.3203365598721675,-62,1,-63,8.65544972059455,29.66488683927747,61.67966344012783,63
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude fifth-only panels,2740,0,2242,498,9538438.10250002,0.8083297643157215,1.2124946464737718,-3,78,-81,7.97560345126744,29.236891195205953,62.78750535352623,81
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude topcoded liquid assets,2823,0,2151,672,9875978.371250024,0.8657665056313567,1.2986497584468193,80,-13,93,8.29864975844682,28.842528169585886,62.85882207196686,93
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude topcoded assets and fifth-only panels,2646,0,2151,495,9226209.22400001,1.1630652322610313,1.7445978483916846,-97,-13,-84,8.245509938372921,29.49908791001849,62.255402151608315,110
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,exclude fifth-only panels,2799,1437,2224,575,9868087.18825001,0.6644973850462034,0.9967460775693979,56,60,-4,7.180127016851492,29.81661906071772,63.0032539224306,116
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,exclude fifth-only panels,2774,0,2251,523,9703312.85850002,1.1878560323415848,1.7817840485124847,31,87,-56,8.37692302982852,29.40486101868375,62.218215951487515,118
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,exclude fifth-only panels,2802,2096,2227,575,9844810.057,0.6368600625472552,0.9552900938208992,59,63,-4,7.535983329840692,29.419306763980174,63.0447099061791,122
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,exclude topcoded liquid assets,2869,0,2165,704,10079032.524500018,1.1832908912315208,1.7749363368474036,126,1,125,8.723301510961392,29.051634825885767,62.225063663152596,127
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,exclude fifth-only panels,2817,763,2258,559,9823052.944749992,0.4538348754106843,0.6807523131159954,74,94,-20,7.331559755919946,29.349192557196112,63.319247686884005,168
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,exclude fifth-only panels,2827,2827,2250,577,9892483.23175001,0.07333229392513137,0.10999844088778588,84,86,-2,7.071886905045993,29.038111535841615,63.890001559112214,170
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,exclude topcoded liquid assets,2914,1494,2160,754,10314251.263000004,0.4410712313152736,0.6616068469729512,171,-4,175,7.4554630640861035,29.206143782886766,63.33839315302705,175
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,exclude topcoded liquid assets,2914,2172,2159,755,10273986.160000013,0.5293122797692306,0.7939684196537664,171,-5,176,7.793968419653766,28.87499518249299,63.33103639785308,176
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,exclude topcoded liquid assets,2929,2929,2169,760,10287686.419000005,0.25554232120431486,0.3833134818065247,186,5,181,7.337157797266636,28.616686518193475,64.04615568453978,191
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,exclude topcoded liquid assets,2932,797,2185,747,10289221.582499983,0.4158904520316442,0.6238356780475227,189,21,168,7.623835678047523,28.7909415716969,63.58522275025569,210
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,current valid flags,2920,0,2242,678,10198131.681750026,0.691000017298475,1.0365000259474915,177,78,99,8.036500025947491,28.62612152992943,63.337378444122635,255
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,income complete via INCLASS,2920,0,2242,678,10198131.681750026,0.691000017298475,1.0365000259474915,177,78,99,8.036500025947491,28.62612152992943,63.337378444122635,255
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,income complete via INC_RANK,2920,0,2242,678,10198131.681750026,0.691000017298475,1.0365000259474915,177,78,99,8.036500025947491,28.62612152992943,63.337378444122635,255
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,current valid flags,2990,1530,2224,766,10563400.738500006,0.18641182125721656,0.27961773188577865,247,60,187,7.279617731885779,28.98412258318581,63.73625968492832,307
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,income complete via INCLASS,2990,1530,2224,766,10563400.738500006,0.18641182125721656,0.27961773188577865,247,60,187,7.279617731885779,28.98412258318581,63.73625968492832,307
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,income complete via INC_RANK,2990,1530,2224,766,10563400.738500006,0.18641182125721656,0.27961773188577865,247,60,187,7.279617731885779,28.98412258318581,63.73625968492832,307
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,current valid flags,2965,0,2251,714,10401203.195250016,0.9687351869799846,1.4531027804698713,222,87,135,8.453102780469871,28.835823764309282,62.711073455220635,309
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,income complete via INCLASS,2965,0,2251,714,10401203.195250016,0.9687351869799846,1.4531027804698713,222,87,135,8.453102780469871,28.835823764309282,62.711073455220635,309
