sample_window,qyears,variant,debt_variable,n_households,n_complete_12_month_households,statistic,group,paper,share_pct,diff,n_households_in_group
collection_2001_4q,20011;20012;20013;20014,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,2965,2251,Puzzle size (%),Borrow,7,8.453102780469871,1.4531027804698713,241
collection_2001_4q,20011;20012;20013;20014,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,2965,2251,Puzzle size (%),Borrow and save,29,28.835823764309282,-0.16417623569071793,902
collection_2001_4q,20011;20012;20013;20014,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,2965,2251,Puzzle size (%),Save,64,62.711073455220635,-1.2889265447793647,1822
collection_2001_4q,20011;20012;20013;20014,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,2965,2251,Puzzle size (%),Borrow,7,7.931822984928904,0.9318229849289041,227
collection_2001_4q,20011;20012;20013;20014,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,2965,2251,Puzzle size (%),Borrow and save,29,26.925291684321177,-2.074708315678823,837
collection_2001_4q,20011;20012;20013;20014,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,2965,2251,Puzzle size (%),Save,64,65.1428853307497,1.1428853307497064,1901
collection_2001_4q,20011;20012;20013;20014,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,2965,2251,Puzzle size (%),Borrow,7,6.452197437181867,-0.5478025628181333,186
collection_2001_4q,20011;20012;20013;20014,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,2965,2251,Puzzle size (%),Borrow and save,29,22.337537791406948,-6.662462208593052,707
collection_2001_4q,20011;20012;20013;20014,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,2965,2251,Puzzle size (%),Save,64,71.21026477141095,7.210264771410948,2072
collection_2001_4q,20011;20012;20013;20014,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,2965,2251,Puzzle size (%),Borrow,7,7.584922842006229,0.5849228420062289,217
collection_2001_4q,20011;20012;20013;20014,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,2965,2251,Puzzle size (%),Borrow and save,29,23.974756152622785,-5.025243847377215,760
collection_2001_4q,20011;20012;20013;20014,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,2965,2251,Puzzle size (%),Save,64,68.44032100537073,4.440321005370734,1988
collection_2001_4q,20011;20012;20013;20014,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,2965,2251,Puzzle size (%),Borrow,7,6.382501276901962,-0.6174987230980378,184
collection_2001_4q,20011;20012;20013;20014,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,2965,2251,Puzzle size (%),Borrow and save,29,21.763493915143975,-7.236506084856025,691
collection_2001_4q,20011;20012;20013;20014,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,2965,2251,Puzzle size (%),Save,64,71.85400480795381,7.854004807953814,2090
collection_2001_4q,20011;20012;20013;20014,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,2965,2251,Puzzle size (%),Borrow,7,2.791055285147922,-4.208944714852079,78
collection_2001_4q,20011;20012;20013;20014,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,2965,2251,Puzzle size (%),Borrow and save,29,8.589552129007554,-20.410447870992446,277
collection_2001_4q,20011;20012;20013;20014,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,2965,2251,Puzzle size (%),Save,64,88.6193925858444,24.619392585844395,2610
collection_2001_4q,20011;20012;20013;20014,fifth-interview balance only,cc_balance_fifth,2965,2251,Puzzle size (%),Borrow,7,9.148441037422957,2.1484410374229572,259
collection_2001_4q,20011;20012;20013;20014,fifth-interview balance only,cc_balance_fifth,2965,2251,Puzzle size (%),Borrow and save,29,31.550293618902064,2.5502936189020637,980
collection_2001_4q,20011;20012;20013;20014,fifth-interview balance only,cc_balance_fifth,2965,2251,Puzzle size (%),Save,64,59.30126534367481,-4.698734656325193,1726
collection_2001_4q,20011;20012;20013;20014,average second/fifth balance only,cc_balance_average_2_5,2965,2251,Puzzle size (%),Borrow,7,11.58235314833729,4.58235314833729,328
collection_2001_4q,20011;20012;20013;20014,average second/fifth balance only,cc_balance_average_2_5,2965,2251,Puzzle size (%),Borrow and save,29,37.46224837747091,8.462248377470907,1161
collection_2001_4q,20011;20012;20013;20014,average second/fifth balance only,cc_balance_average_2_5,2965,2251,Puzzle size (%),Save,64,50.95539847419162,-13.044601525808382,1476
calendar_2001_5q,20011;20012;20013;20014;20021,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3776,2853,Puzzle size (%),Borrow,7,7.96736199855346,0.9673619985534598,298
calendar_2001_5q,20011;20012;20013;20014;20021,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3776,2853,Puzzle size (%),Borrow and save,29,28.640376449161757,-0.3596235508382435,1147
calendar_2001_5q,20011;20012;20013;20014;20021,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3776,2853,Puzzle size (%),Save,64,63.39226155228468,-0.6077384477153203,2331
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3776,2853,Puzzle size (%),Borrow,7,7.429292567851666,0.42929256785166636,279
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3776,2853,Puzzle size (%),Borrow and save,29,26.72143392508788,-2.2785660749121206,1062
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3776,2853,Puzzle size (%),Save,64,65.84927350706026,1.8492735070602606,2435
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3776,2853,Puzzle size (%),Borrow,7,5.989227185905763,-1.0107728140942367,226
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3776,2853,Puzzle size (%),Borrow and save,29,22.036776929436805,-6.9632230705631954,891
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3776,2853,Puzzle size (%),Save,64,71.97399588465724,7.973995884657242,2659
