variant,group,replication,n_nonmissing,weight_nonmissing,paper,diff,abs_diff
Current: X7132 <= 0 as 0,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
Current: X7132 <= 0 as 0,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
Current: X7132 <= 0 as 0,Save,9.282843827770275,10776,45523858.83999998,9.8,-0.5171561722297255,0.5171561722297255
Treat all X7132 == 0 as missing,Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
Treat all X7132 == 0 as missing,Borrow and save,13.873208723447254,3028,17583111.492000017,13.7,0.1732087234472548,0.1732087234472548
Treat all X7132 == 0 as missing,Save,14.3563368525967,8021,29435842.60999999,9.8,4.556336852596699,4.556336852596699
Treat X7132 == 0 and no credit cards as missing,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
Treat X7132 == 0 and no credit cards as missing,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
Treat X7132 == 0 and no credit cards as missing,Save,13.635185261289601,8321,30992675.489999972,9.8,3.8351852612896007,3.8351852612896007
Treat X7132 == 0 and has credit card as missing,Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
Treat X7132 == 0 and has credit card as missing,Borrow and save,13.873208723447254,3028,17583111.492000017,13.7,0.1732087234472548,0.1732087234472548
Treat X7132 == 0 and has credit card as missing,Save,9.611540986048057,10476,43967025.960000016,9.8,-0.18845901395194353,0.18845901395194353
SCF flags: treat original missing APR targets (J>=997) as missing,Borrow,16.325562108496186,481,2904271.7039999985,14.8,1.5255621084961852,1.5255621084961852
SCF flags: treat original missing APR targets (J>=997) as missing,Borrow and save,13.722514422392926,2873,16783870.808000028,13.7,0.022514422392927003,0.022514422392927003
SCF flags: treat original missing APR targets (J>=997) as missing,Save,8.501958517343319,8486,39866210.12200027,9.8,-1.2980414826566822,1.2980414826566822
SCF flags: treat all inapplicable APR targets (J in 1/3/14) as missing,Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
SCF flags: treat all inapplicable APR targets (J in 1/3/14) as missing,Borrow and save,13.873208723447254,3028,17583111.492000017,13.7,0.1732087234472548,0.1732087234472548
SCF flags: treat all inapplicable APR targets (J in 1/3/14) as missing,Save,14.3563368525967,8021,29435842.60999999,9.8,4.556336852596699,4.556336852596699
SCF flags: treat no-card inapplicable APR targets as missing,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
SCF flags: treat no-card inapplicable APR targets as missing,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
SCF flags: treat no-card inapplicable APR targets as missing,Save,13.635185261289601,8321,30992675.489999972,9.8,3.8351852612896007,3.8351852612896007
SCF flags: treat no-bank-card inapplicable APR targets as missing,Borrow,16.921913363008322,511,3108154.3199999984,14.8,2.1219133630083213,2.1219133630083213
SCF flags: treat no-bank-card inapplicable APR targets as missing,Borrow and save,13.873208723447254,3028,17583111.492000017,13.7,0.1732087234472548,0.1732087234472548
SCF flags: treat no-bank-card inapplicable APR targets as missing,Save,9.611540986048057,10476,43967025.960000016,9.8,-0.18845901395194353,0.18845901395194353
SCF flags: keep only reported APR targets (J==0),Borrow,17.34971707415569,451,2732832.35,14.8,2.5497170741556907,2.5497170741556907
SCF flags: keep only reported APR targets (J==0),Borrow and save,13.99476957404198,2808,16437088.438000025,13.7,0.2947695740419807,0.2947695740419807
SCF flags: keep only reported APR targets (J==0),Save,14.311280729594442,5701,23637407.40400004,9.8,4.511280729594441,4.511280729594441
SCF flags: keep only nonmissing-origin non-inapplicable APR targets,Borrow,17.34971707415569,451,2732832.35,14.8,2.5497170741556907,2.5497170741556907
SCF flags: keep only nonmissing-origin non-inapplicable APR targets,Borrow and save,13.925788191666577,2828,16538877.804000026,13.7,0.22578819166657738,0.22578819166657738
SCF flags: keep only nonmissing-origin non-inapplicable APR targets,Save,14.25427289559499,5731,23778193.89200005,9.8,4.45427289559499,4.45427289559499
Treat X7132 == 0 and no primary/store balance as missing,Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
Treat X7132 == 0 and no primary/store balance as missing,Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
Treat X7132 == 0 and no primary/store balance as missing,Save,14.049277905201896,8126,30079188.04799998,9.8,4.249277905201895,4.249277905201895
"Treat X7132 == 0, has card, no primary/store balance as missing",Borrow,16.03732759300963,541,3279593.6739999996,14.8,1.2373275930096277,1.2373275930096277
"Treat X7132 == 0, has card, no primary/store balance as missing",Borrow and save,13.68256371791462,3073,17828104.496000014,13.7,-0.017436282085379062,0.017436282085379062
"Treat X7132 == 0, has card, no primary/store balance as missing",Save,9.47292880121874,10581,44610371.39800002,9.8,-0.32707119878126,0.32707119878126
Cap at 20% plus narrow zero-missing rule,Borrow,15.202264691903412,541,3279593.6739999996,14.8,0.40226469190341163,0.40226469190341163
Cap at 20% plus narrow zero-missing rule,Borrow and save,13.36735023143428,3073,17828104.496000014,13.7,-0.3326497685657195,0.3326497685657195
Cap at 20% plus narrow zero-missing rule,Save,9.374304253646002,10581,44610371.39800002,9.8,-0.4256957463539983,0.4256957463539983
Drop above 22.5% plus narrow zero-missing rule,Borrow,14.74970809005901,468,2870830.2879999983,14.8,-0.05029190994099153,0.05029190994099153
Drop above 22.5% plus narrow zero-missing rule,Borrow and save,13.180560812087139,2931,17046157.062000014,13.7,-0.5194391879128606,0.5194391879128606
Drop above 22.5% plus narrow zero-missing rule,Save,9.26643686987155,10440,43993869.14600002,9.8,-0.5335631301284511,0.5335631301284511
Drop above 23.5% plus narrow zero-missing rule,Borrow,14.998123231738214,484,2959954.0939999986,14.8,0.19812323173821333,0.19812323173821333
Drop above 23.5% plus narrow zero-missing rule,Borrow and save,13.374243492008032,2989,17389538.82800001,13.7,-0.32575650799196687,0.32575650799196687
Drop above 23.5% plus narrow zero-missing rule,Save,9.339469493555773,10491,44227833.41600004,9.8,-0.46053050644422733,0.46053050644422733
Drop above 23.5% plus SCF no-bank-card inapplicable target missing,Borrow,15.92021574255692,454,2788514.74,14.8,1.120215742556919,1.120215742556919
Drop above 23.5% plus SCF no-bank-card inapplicable target missing,Borrow and save,13.565359437742085,2944,17144545.824000005,13.7,-0.1346405622579141,0.1346405622579141
Drop above 23.5% plus SCF no-bank-card inapplicable target missing,Save,9.47732829081989,10386,43584487.978000015,9.8,-0.3226717091801099,0.3226717091801099
Drop above 23.5% plus original missing APR target missing,Borrow,15.352084728081817,431,2631071.768,14.8,0.552084728081816,0.552084728081816
Drop above 23.5% plus original missing APR target missing,Borrow and save,13.44586236526475,2803,16416946.26200002,13.7,-0.2541376347352493,0.2541376347352493
Drop above 23.5% plus original missing APR target missing,Save,8.35915694585432,8411,39519664.56000023,9.8,-1.440843054145681,1.440843054145681
