group,cc_rate_shadow,cc_rate_shadow_class,cc_rate_shadow_definition,n_rows,shadow_weight,rate,zero_rate_share_within_code,group_weight,share_of_group_weight
Borrow,0,reported target,Originally reported value,451,2732832.35,17.34971707415569,0,3279593.6739999996,83.32838216103963
Borrow,1,inapplicable target,Question is inapplicable,30,171439.354,0,100,3279593.6739999996,5.22745714992497
Borrow,2050,missing/imputed target,Original response was don't know,60,375321.97000000003,13.80694564269712,0,3279593.6739999996,11.444160689035408
Borrow and save,0,reported target,Originally reported value,2808,16437088.438000025,13.99476957404198,0,17828104.496000014,92.19762225248297
Borrow and save,1,inapplicable target,Question is inapplicable,45,244993.0039999999,0,100,17828104.496000014,1.3741954679195847
Borrow and save,5,coded nonmissing target,FRB-coded verbatim/comment response,15,73138.45,0,0,17828104.496000014,0.4102424350070959
Borrow and save,13,coded nonmissing target,Judgmental override of nonmissing reported value,5,28650.916000000005,9.899999999999999,0,17828104.496000014,0.16070646212797463
Borrow and save,2050,missing/imputed target,Original response was don't know,200,1044233.688,13.040439765816096,0,17828104.496000014,5.85723338246244
Save,0,reported target,Originally reported value,5701,23637407.40400004,14.311280729594442,0,45523858.83999998,51.92311901123549
Save,1,inapplicable target,Question is inapplicable,2745,16043300.335999979,0,100,45523858.83999998,35.2415211381496
Save,5,coded nonmissing target,FRB-coded verbatim/comment response,25,139229.798,4.631855028619663,0,45523858.83999998,0.30583918311789593
Save,13,coded nonmissing target,Judgmental override of nonmissing reported value,5,1556.69,9.25,0,45523858.83999998,0.0034195036178088648
Save,14,inapplicable target,Inapplicable code generated by data adjustment,10,44715.89400000001,0,100,45523858.83999998,0.09822518375948822
Save,2050,missing/imputed target,Original response was don't know,2280,5642384.656000014,14.790533937720218,0,45523858.83999998,12.39434617313741
Save,2053,missing/imputed target,Original response was refused,5,165.05400000000003,15.976916645461483,0,45523858.83999998,3.6256592522199306e-4
Save,2098,missing/imputed target,Override of reported/inapplicable/other information with missing value,5,15099.008000000002,12.814653121582555,0,45523858.83999998,0.033167241057195075
