educ_years,has_college_degree,highest_degree,n_implicate_rows,weighted_population,weighted_share_pct
12,FALSE,0,3393,19404407.293999977,29.12194786486498
16,TRUE,2,2957,11386779.993999993,17.089169914326153
14,FALSE,0,1070,5710585.894000004,8.5703923940168
17,TRUE,3,1616,5053805.430000004,7.584702589557582
13,FALSE,0,862,4913144.829999997,7.373600513736516
11,FALSE,0,516,3046276.459999998,4.571822416730885
14,TRUE,1,514,3044111.2919999976,4.568572953417765
17,TRUE,4,1261,2541018.285999999,3.8135358079935706
10,FALSE,0,332,1925284.1720000005,2.889447970893216
15,FALSE,0,311,1583961.1900000006,2.377193721831057
9,FALSE,0,249,1512885.2240000006,2.2705235955584064
17,TRUE,2,315,1304805.5079999997,1.9582395587786976
8,FALSE,0,206,1125070.1780000008,1.6884945039347525
6,FALSE,0,121,630778.2399999996,0.9466659167297161
15,TRUE,1,103,613323.1680000002,0.9204695125283558
16,FALSE,0,125,476425.8400000001,0.7150153191354943
16,TRUE,1,66,361481.146,0.5425074277429078
7,FALSE,0,55,344753.96600000013,0.5174034368553927
16,TRUE,3,72,213313.3,0.3201385493182851
2,FALSE,0,35,208049.15200000003,0.3122381666224253
3,FALSE,0,31,204803.336,0.30736687718292915
5,FALSE,0,25,168798.092,0.25333055323120696
15,TRUE,2,26,132402.61,0.19870856384179825
17,TRUE,11,16,111152.86200000002,0.16681714639103867
1,FALSE,0,20,109433.16600000001,0.1642362431716498
4,FALSE,0,26,88530.76400000002,0.1328661192574465
14,TRUE,2,10,77904.43799999998,0.11691823138442975
17,TRUE,1,10,76064.85800000001,0.11415740741070227
16,TRUE,4,17,76046.374,0.11412966680125314
13,TRUE,1,10,59041.534,0.08860896645584784
14,TRUE,3,5,44069.83,0.06613957706764388
13,TRUE,11,5,28925.028,0.043410403865632274
14,TRUE,11,5,27633.15,0.04147156578654294
15,TRUE,11,5,26490.404000000002,0.039756543578929666
