candidate,less_than_hs_variable,college_variable,characteristic,group,paper,replication,diff
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,Education: less than HS,Borrow,13,13.712796849357508,0.7127968493575079
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,HS/some college,Borrow,73,73.21204687748761,0.21204687748760875
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,College degree or more,Borrow,14,13.075156273154828,-0.9248437268451717
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,Education: less than HS,Borrow and save,5,4.181296223427742,-0.8187037765722582
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,HS/some college,Borrow and save,61,63.744154161480026,2.7441541614800258
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,College degree or more,Borrow and save,33,32.0745496150922,-0.9254503849077977
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,Education: less than HS,Save,13,14.881662329660303,1.881662329660303
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,HS/some college,Save,51,52.620647911665586,1.6206479116655856
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,College degree or more,Save,36,32.49768975867425,-3.502310241325752
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,Education: less than HS,Population,11,11.961114504354011,0.9611145043540112
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,HS/some college,Population,55,56.610385890185945,1.6103858901859454
primary fork: summary EDCL,less_than_hs_summary,college_degree_or_more_summary,College degree or more,Population,34,31.42849960546044,-2.5715003945395587
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,Education: less than HS,Borrow,13,16.555658839827366,3.555658839827366
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,HS/some college,Borrow,73,70.36918488701772,-2.630815112982276
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,College degree or more,Borrow,14,13.075156273154828,-0.9248437268451717
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,Education: less than HS,Borrow and save,5,6.332948240534026,1.3329482405340256
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,HS/some college,Borrow and save,61,61.59250214437378,0.5925021443737819
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,College degree or more,Borrow and save,33,32.0745496150922,-0.9254503849077977
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,Education: less than HS,Save,13,17.875448697353907,4.875448697353907
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,HS/some college,Save,51,49.87102551607868,-1.1289744839213185
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,College degree or more,Save,36,32.25352578656753,-3.746474213432471
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,Education: less than HS,Population,11,14.722148846871159,3.7221488468711588
raw questions: diploma/GED + bachelor degree codes 2/3/4,less_than_hs_raw,college_degree_or_more_raw,HS/some college,Population,55,54.01616869405975,-0.9838313059402495
