code,n_implicate_rows,weighted_population,full_time_weighted_population,weighted_share_pct,full_time_weighted_share_pct
0,12495,57047228.60599988,53145206.685999855,85.61593209871772,98.50469983075008
1,1700,8537724.031999998,0,12.81333412442798,0
16,80,436267.02200000006,436267.02200000006,0.6547453512673076,0.8086214115615824
14,45,232577.74800000008,0,0.34905044762063037,0
2,15,96003.38199999998,96003.38199999998,0.14408095249161304,0.17794237554706988
5,25,71481.87199999999,71433.086,0.1072793060940662,0.13240130452381502
2050,10,67119.274,67119.274,0.10073196096847464,0.12440564917342896
2053,10,66735.166,59500.93199999999,0.10015549537583907,0.11028504378465195
3000,5,44906.436,44906.436,0.06739514730724448,0.08323412918091219
2098,5,31513.472,31513.472,0.04729511572912899,0.058410255478458795
