group,head_work_status_recode,full_time_weighted_population,group_weight,share_of_group_weight_pct
Borrow,11,2324255.931999998,3279593.6739999996,70.87024073824331
Borrow,14,41114.704,3279593.6739999996,1.2536523754741211
Borrow,16,34042.522000000004,3279593.6739999996,1.038010356889108
Borrow,15,30447.968,3279593.6739999996,0.9284067182281072
Borrow,22,21404.002,3279593.6739999996,0.6526418857825863
Borrow and save,11,15545600.832000013,17828104.496000014,87.19716016634234
Borrow and save,14,109038.116,17828104.496000014,0.6116080148871925
Borrow and save,22,96444.44599999998,17828104.496000014,0.5409685927162848
Borrow and save,96,90948.79800000001,17828104.496000014,0.5101428366678333
Borrow and save,15,70123.06199999999,17828104.496000014,0.39332875806136924
Borrow and save,13,68471.66399999999,17828104.496000014,0.38406586642658824
Borrow and save,17,28927.93,17828104.496000014,0.16226026724540676
Save,11,34138020.65599998,45523858.83999998,74.9892946816808
Save,22,362462.24200000014,45523858.83999998,0.7962028071344409
Save,17,310202.31000000006,45523858.83999998,0.6814060097371135
Save,14,252208.474,45523858.83999998,0.5540138301685326
Save,15,132747.732,45523858.83999998,0.2916003506349508
Save,16,74505.848,45523858.83999998,0.16366329634282828
Save,13,71801.46800000001,45523858.83999998,0.15772271909627958
Save,12,70888.576,45523858.83999998,0.15571741457407617
Save,96,50684.71400000001,45523858.83999998,0.1113365942420184
Save,20,22677.192000000003,45523858.83999998,0.04981386151754444
Save,24,4931.102,45523858.83999998,0.01083190688498322
