flag,code,n_implicate_rows,weighted_population,weighted_share_pct
J7019,8,14315,66312696.08199991,99.52145658557528
J7019,5,45,116901.33000000002,0.1754443918854481
J7019,16,15,100475.23999999999,0.15079227397450864
J7019,12,10,73913.09,0.11092805468872248
J7019,15,5,27571.268000000004,0.0413786938760296
J7020,8,14315,66312696.08199991,99.52145658557528
J7020,5,45,116901.33000000002,0.1754443918854481
J7020,16,15,100475.23999999999,0.15079227397450864
J7020,12,10,73913.09,0.11092805468872248
J7020,15,5,27571.268000000004,0.0413786938760296
J7372,0,14390,66631557.0099999,100
J8023,0,14350,66442792.18799993,99.71670357039433
J8023,5,25,83242.578,0.12492966056234756
J8023,16,5,44047.492,0.06610605241205672
J8023,2,5,33903.484,0.05088202275524168
J8023,15,5,27571.268000000004,0.04137869387602959
