characteristic,candidate,variable,group,paper,replication,diff
Marital status: married,primary fork: raw X8023 == 1,married,Borrow,48,47.981181890766145,-0.018818109233855296
Marital status: married,primary fork: raw X8023 == 1,married,Borrow and save,62,62.46512227084268,0.4651222708426772
Marital status: married,primary fork: raw X8023 == 1,married,Save,58,56.63909381808466,-1.3609061819153396
Marital status: married,primary fork: raw X8023 == 1,married,Population,59,57.771779504151375,-1.2282204958486247
Marital status: married,raw X8023 == 1,married_raw,Borrow,48,46.36217480397543,-1.637825196024572
Marital status: married,raw X8023 == 1,married_raw,Borrow and save,62,58.8467547649492,-3.1532452350507967
Marital status: married,raw X8023 == 1,married_raw,Save,58,53.47284452655163,-4.527155473448367
Marital status: married,raw X8023 == 1,married_raw,Population,59,54.560715335743915,-4.4392846642560855
Marital status: married,raw X7372 == 1 legal marital status,married_legal,Borrow,48,46.36217480397543,-1.637825196024572
Marital status: married,raw X7372 == 1 legal marital status,married_legal,Borrow and save,62,59.0666007054349,-2.933399294565099
Marital status: married,raw X7372 == 1 legal marital status,married_legal,Save,58,53.69318904161692,-4.306810958383082
Marital status: married,raw X7372 == 1 legal marital status,married_legal,Population,59,54.77008113216235,-4.229918867837647
Marital status: married,hybrid: legal married + partner/divorced,married_legal_plus_partner_divorced,Borrow,48,47.981181890766145,-0.018818109233855296
Marital status: married,hybrid: legal married + partner/divorced,married_legal_plus_partner_divorced,Borrow and save,62,62.46512227084268,0.4651222708426772
Marital status: married,hybrid: legal married + partner/divorced,married_legal_plus_partner_divorced,Save,58,56.44994715478743,-1.5500528452125693
Marital status: married,hybrid: legal married + partner/divorced,married_legal_plus_partner_divorced,Population,59,57.64255115670771,-1.357448843292289
Marital status: married,hybrid: legal married + partner/divorced/widowed,married_legal_plus_partner_divorced_widowed,Borrow,48,47.981181890766145,-0.018818109233855296
Marital status: married,hybrid: legal married + partner/divorced/widowed,married_legal_plus_partner_divorced_widowed,Borrow and save,62,62.46512227084268,0.4651222708426772
Marital status: married,hybrid: legal married + partner/divorced/widowed,married_legal_plus_partner_divorced_widowed,Save,58,56.63909381808466,-1.3609061819153396
Marital status: married,hybrid: legal married + partner/divorced/widowed,married_legal_plus_partner_divorced_widowed,Population,59,57.771779504151375,-1.2282204958486247
Marital status: married,hybrid: legal married + partner/separated/divorced,married_legal_plus_partner_separated_divorced,Borrow,48,49.18451870388625,1.1845187038862477
Marital status: married,hybrid: legal married + partner/separated/divorced,married_legal_plus_partner_separated_divorced,Borrow and save,62,62.466140113205235,0.46614011320523474
Marital status: married,hybrid: legal married + partner/separated/divorced,married_legal_plus_partner_separated_divorced,Save,58,56.964139822027484,-1.0358601779725163
Marital status: married,hybrid: legal married + partner/separated/divorced,married_legal_plus_partner_separated_divorced,Population,59,58.0533570515166,-0.9466429484834009
Marital status: married,hybrid: legal married + partner/separated/divorced/widowed,married_legal_plus_partner_separated_divorced_widowed,Borrow,48,49.18451870388625,1.1845187038862477
Marital status: married,hybrid: legal married + partner/separated/divorced/widowed,married_legal_plus_partner_separated_divorced_widowed,Borrow and save,62,62.466140113205235,0.46614011320523474
Marital status: married,hybrid: legal married + partner/separated/divorced/widowed,married_legal_plus_partner_separated_divorced_widowed,Save,58,57.15328648532471,-0.8467135146752867
Marital status: married,hybrid: legal married + partner/separated/divorced/widowed,married_legal_plus_partner_separated_divorced_widowed,Population,59,58.18258539896027,-0.8174146010397294
Marital status: married,diagnostic: legal married + partner/never married,married_legal_plus_partner_never_married,Borrow,48,50.794372278692244,2.7943722786922436
Marital status: married,diagnostic: legal married + partner/never married,married_legal_plus_partner_never_married,Borrow and save,62,63.116743625351056,1.1167436253510559
Marital status: married,diagnostic: legal married + partner/never married,married_legal_plus_partner_never_married,Save,58,57.79017578115309,-0.2098242188469115
Marital status: married,diagnostic: legal married + partner/never married,married_legal_plus_partner_never_married,Population,59,58.87103323746891,-0.12896676253109263
Marital status: married,diagnostic: legal married + partner/widowed/never married,married_legal_plus_partner_widowed_never_married,Borrow,48,50.794372278692244,2.7943722786922436
Marital status: married,diagnostic: legal married + partner/widowed/never married,married_legal_plus_partner_widowed_never_married,Borrow and save,62,63.116743625351056,1.1167436253510559
Marital status: married,diagnostic: legal married + partner/widowed/never married,married_legal_plus_partner_widowed_never_married,Save,58,57.97932244445033,-0.02067755554966766
Marital status: married,diagnostic: legal married + partner/widowed/never married,married_legal_plus_partner_widowed_never_married,Population,59,59.00026158491255,2.61584912550461e-4
Marital status: married,diagnostic: partner/separated only,current_partner_legal_separated,Borrow,48,1.2033368131201003,-46.7966631868799
Marital status: married,diagnostic: partner/separated only,current_partner_legal_separated,Borrow and save,62,0.0010178423625501723,-61.99898215763745
Marital status: married,diagnostic: partner/separated only,current_partner_legal_separated,Save,58,0.5141926672400694,-57.48580733275993
Marital status: married,diagnostic: partner/separated only,current_partner_legal_separated,Population,59,0.4108058948088513,-58.58919410519115
Marital status: married,diagnostic: partner/divorced only,current_partner_legal_divorced,Borrow,48,1.6190070867907156,-46.38099291320928
Marital status: married,diagnostic: partner/divorced only,current_partner_legal_divorced,Borrow and save,62,3.398521565407811,-58.60147843459219
