group,head_occupation_public,weighted_population,group_weight,share_of_group_weight_pct,occupation_public_label
Borrow,0,590812.2199999997,3279593.6739999996,18.01479935407388,0 no current job/inapplicable
Borrow,1,539279.8460000003,3279593.6739999996,16.443495737758894,1 managerial/professional
Borrow,2,737033.0100000004,3279593.6739999996,22.473302587544886,2 technical/sales/admin
Borrow,3,363101.05199999997,3279593.6739999996,11.07152556362688,3 service/protective/military
Borrow,4,351851.422,3279593.6739999996,10.728506546082576,4 precision/craft/repair
Borrow,5,633254.934,3279593.6739999996,19.308944855587622,5 operators/laborers/transport
Borrow,6,64261.19,3279593.6739999996,1.9594253553252832,6 farming/forestry/fishing
Borrow and save,0,1029489.9399999997,17828104.496000014,5.774533912065527,0 no current job/inapplicable
Borrow and save,1,6287193.326000005,17828104.496000014,35.26562976681355,1 managerial/professional
Borrow and save,2,3785917.8339999984,17828104.496000014,21.23567222106771,2 technical/sales/admin
Borrow and save,3,1857661.1120000007,17828104.496000014,10.419846441985984,3 service/protective/military
Borrow and save,4,2506866.2619999987,17828104.496000014,14.061316852626982,4 precision/craft/repair
Borrow and save,5,2319357.0299999984,17828104.496000014,13.00955483248586,5 operators/laborers/transport
Borrow and save,6,41618.992000000006,17828104.496000014,0.23344597295431946,6 farming/forestry/fishing
Save,0,7149999.620000004,45523858.83999998,15.70604909643026,0 no current job/inapplicable
Save,1,14793015.957999991,45523858.83999998,32.49508353409172,1 managerial/professional
Save,2,7342213.333999989,45523858.83999998,16.12827541664522,2 technical/sales/admin
Save,3,4082271.6559999976,45523858.83999998,8.967323421214614,3 service/protective/military
Save,4,5704737.886000002,45523858.83999998,12.531314417018352,4 precision/craft/repair
Save,5,5401057.109999991,45523858.83999998,11.86423393715978,5 operators/laborers/transport
Save,6,1050563.2760000003,45523858.83999998,2.3077201774400384,6 farming/forestry/fishing
