characteristic,candidate,variable,group,paper,replication,diff
Head works full-time,primary fork: raw X4511 == 1,head_full_time,Borrow,76,74.74295207461724,-1.2570479253827642
Head works full-time,primary fork: raw X4511 == 1,head_full_time,Borrow and save,85,89.79953450234706,4.799534502347058
Head works full-time,primary fork: raw X4511 == 1,head_full_time,Save,80,77.96160347201362,-2.0383965279863787
Head works full-time,primary fork: raw X4511 == 1,head_full_time,Population,81,80.97056816772704,-0.02943183227296231
Head works full-time,"raw X4511 == 1, drop missing/imputed J4511 >= 997",head_full_time_drop_missing_imputed,Borrow,76,74.74295207461724,-1.2570479253827642
Head works full-time,"raw X4511 == 1, drop missing/imputed J4511 >= 997",head_full_time_drop_missing_imputed,Borrow and save,85,89.79929937920036,4.799299379200363
Head works full-time,"raw X4511 == 1, drop missing/imputed J4511 >= 997",head_full_time_drop_missing_imputed,Save,80,77.89413364529103,-2.105866354708965
Head works full-time,"raw X4511 == 1, drop missing/imputed J4511 >= 997",head_full_time_drop_missing_imputed,Population,81,80.9212168477891,-0.07878315221090304
Head works full-time,"raw X4511 == 1, J4511 < 90",head_full_time_reported_edited,Borrow,76,74.74295207461724,-1.2570479253827642
Head works full-time,"raw X4511 == 1, J4511 < 90",head_full_time_reported_edited,Borrow and save,85,89.44001400472834,4.44001400472834
Head works full-time,"raw X4511 == 1, J4511 < 90",head_full_time_reported_edited,Save,80,77.65639115578983,-2.3436088442101664
Head works full-time,"raw X4511 == 1, J4511 < 90",head_full_time_reported_edited,Population,81,80.66584751716573,-0.3341524828342699
Head works full-time,"raw X4511 == 1, J4511 == 0",head_full_time_reported_only,Borrow,76,72.90951671716144,-3.090483282838562
Head works full-time,"raw X4511 == 1, J4511 == 0",head_full_time_reported_only,Borrow and save,85,88.21024674568409,3.2102467456840884
Head works full-time,"raw X4511 == 1, J4511 == 0",head_full_time_reported_only,Save,80,76.94395140163833,-3.05604859836167
Head works full-time,"raw X4511 == 1, J4511 == 0",head_full_time_reported_only,Population,81,79.75981512487238,-1.2401848751276248
Head works full-time,raw X4511 == 1 & X4100 in 11:17,head_full_time_worker_recode,Borrow,76,74.09031018883466,-1.909689811165336
Head works full-time,raw X4511 == 1 & X4100 in 11:17,head_full_time_worker_recode,Borrow and save,85,88.74842307296291,3.7484230729629076
Head works full-time,raw X4511 == 1 & X4100 in 11:17,head_full_time_worker_recode,Save,80,76.99341830223463,-3.0065816977653697
Head works full-time,raw X4511 == 1 & X4100 in 11:17,head_full_time_worker_recode,Population,81,79.99572602813465,-1.004273971865345
Head works full-time,raw X4511 == 1 & X4100 in 11:17 or 96,head_full_time_current_worker_recode,Borrow,76,74.09031018883466,-1.909689811165336
Head works full-time,raw X4511 == 1 & X4100 in 11:17 or 96,head_full_time_current_worker_recode,Borrow and save,85,89.25856590963078,4.258565909630775
Head works full-time,raw X4511 == 1 & X4100 in 11:17 or 96,head_full_time_current_worker_recode,Save,80,77.10475489647663,-2.895245103523365
Head works full-time,raw X4511 == 1 & X4100 in 11:17 or 96,head_full_time_current_worker_recode,Population,81,80.20828824092935,-0.79171175907065106
Head works full-time,raw X4511 == 1 & active worker recode,head_full_time_active_worker_recode,Borrow,76,74.09031018883466,-1.909689811165336
Head works full-time,raw X4511 == 1 & active worker recode,head_full_time_active_worker_recode,Borrow and save,85,89.09630564238536,4.09630564238536
Head works full-time,raw X4511 == 1 & active worker recode,head_full_time_active_worker_recode,Save,80,76.42334888673956,-3.5766511132604393
Head works full-time,raw X4511 == 1 & active worker recode,head_full_time_active_worker_recode,Population,81,79.69932483797433,-1.3006751620256694
Head works full-time,raw X4511 == 1 & X4100 == 11,head_full_time_worker_only,Borrow,76,70.87024073824331,-5.129759261756689
Head works full-time,raw X4511 == 1 & X4100 == 11,head_full_time_worker_only,Borrow and save,85,87.19716016634234,2.197160166342343
Head works full-time,raw X4511 == 1 & X4100 == 11,head_full_time_worker_only,Save,80,74.98929468168079,-5.010705318319211
Head works full-time,raw X4511 == 1 & X4100 == 11,head_full_time_worker_only,Population,81,78.05292229955643,-2.9470777004435718
Head works full-time,raw X4511 == 1 & employee,head_full_time_employee,Borrow,76,67.78217782353241,-8.2178221764675925
Head works full-time,raw X4511 == 1 & employee,head_full_time_employee,Borrow and save,85,80.38486012472825,-4.615139875271751
Head works full-time,raw X4511 == 1 & employee,head_full_time_employee,Save,80,66.48299034221333,-13.517009657786673
Head works full-time,raw X4511 == 1 & employee,head_full_time_employee,Population,81,70.26655485023907,-10.733445149760925
Head works full-time,raw X4511 == 1 & self-employed,head_full_time_self_employed,Borrow,76,6.960774251084863,-69.03922574891514
Head works full-time,raw X4511 == 1 & self-employed,head_full_time_self_employed,Borrow and save,85,9.414674377618697,-75.5853256223813
Head works full-time,raw X4511 == 1 & self-employed,head_full_time_self_employed,Save,80,11.478613129800328,-68.52138687019968
Head works full-time,raw X4511 == 1 & self-employed,head_full_time_self_employed,Population,81,10.70401331748801,-70.295986682512
Head works full-time,main-job hours >= 30,head_full_time_main_hours30,Borrow,76,75.51193489709111,-0.48806510290889094
Head works full-time,main-job hours >= 30,head_full_time_main_hours30,Borrow and save,85,91.29179469220456,6.2917946922045616
Head works full-time,main-job hours >= 30,head_full_time_main_hours30,Save,80,79.0185490215794,-0.9814509784205967
Head works full-time,main-job hours >= 30,head_full_time_main_hours30,Population,81,82.129814105630075,1.129814105630075
Head works full-time,main-job hours >= 35,head_full_time_main_hours35,Borrow,76,72.9462160195641,-3.0537839804358953
Head works full-time,main-job hours >= 35,head_full_time_main_hours35,Borrow and save,85,87.99425150059989,2.994251500599887
Head works full-time,main-job hours >= 35,head_full_time_main_hours35,Save,80,75.89291499964605,-4.107085000353948
Head works full-time,main-job hours >= 35,head_full_time_main_hours35,Population,81,78.98574256654597,-2.014257433454034
Head works full-time,main + other job hours >= 30,head_full_time_total_hours30,Borrow,76,76.51754319123614,0.5175431912361432
Head works full-time,main + other job hours >= 30,head_full_time_total_hours30,Borrow and save,85,91.93266912742921,6.932669127429207
Head works full-time,main + other job hours >= 30,head_full_time_total_hours30,Save,80,79.52876837889785,-0.4712316211021488
Head works full-time,main + other job hours >= 30,head_full_time_total_hours30,Population,81,82.69937481684535,1.6993748168453493
