characteristic,group,paper,raw_variable_constructions_replication,summary_variable_constructions_replication,raw_variable_constructions_diff,summary_variable_constructions_diff,raw_abs_diff,summary_abs_diff,abs_diff_improvement
Head white-collar/prof.,Save,58,48.62335895073707,57.59068237195153,-9.376641049262927,-0.40931762804846983,9.376641049262927,0.40931762804846983,8.967323421214457
Head white-collar/prof.,Borrow,48,38.91679832530378,49.98832388893062,-9.08320167469622,1.9883238889306227,9.08320167469622,1.9883238889306227,7.094877785765597
Head white-collar/prof.,Population,58,50.2534456803622,59.71297822446013,-7.746554319637802,1.7129782244601301,7.746554319637802,1.7129782244601301,6.033576095177672
Marital status: married,Population,59,54.560715335743915,57.771779504151375,-4.4392846642560855,-1.2282204958486247,4.4392846642560855,1.2282204958486247,3.211064168407461
Marital status: married,Save,58,53.47284452655163,56.63909381808466,-4.527155473448367,-1.3609061819153396,4.527155473448367,1.3609061819153396,3.1662492915330276
Education: less than HS,Save,13,17.875448697353907,14.881662329660303,4.875448697353907,1.881662329660303,4.875448697353907,1.881662329660303,2.9937863676936036
Education: less than HS,Borrow,13,16.555658839827366,13.712796849357508,3.555658839827366,0.7127968493575079,3.555658839827366,0.7127968493575079,2.842861990469858
Education: less than HS,Population,11,14.72214884687116,11.961114504354011,3.7221488468711583,0.9611145043540112,3.7221488468711583,0.9611145043540112,2.761034342517147
Marital status: married,Borrow and save,62,58.8467547649492,62.46512227084268,-3.1532452350507967,0.4651222708426772,3.1532452350507967,0.4651222708426772,2.6881229642081195
HS/some college,Borrow,73,70.36918488701772,73.21204687748761,-2.630815112982276,0.21204687748760875,2.630815112982276,0.21204687748760875,2.4187682354946674
Marital status: married,Borrow,48,46.36217480397543,47.981181890766145,-1.637825196024572,-0.018818109233855296,1.637825196024572,0.018818109233855296,1.6190070867907167
Education: less than HS,Borrow and save,5,6.332948240534026,4.181296223427742,1.3329482405340256,-0.8187037765722582,1.3329482405340256,0.8187037765722582,0.5142444639617674
College degree or more,Save,36,32.25352578656753,32.49768975867425,-3.746474213432471,-3.502310241325752,3.746474213432471,3.502310241325752,0.24416397210671903
College degree or more,Population,34,31.261682459069405,31.42849960546044,-2.738317540930595,-2.5715003945395587,2.738317540930595,2.5715003945395587,0.16681714639103618
Have dependent children,Borrow,45,42.54138038686803,42.54138038686803,-2.4586196131319724,-2.4586196131319724,2.4586196131319724,2.4586196131319724,0
Have dependent children,Borrow and save,41,43.825917061194225,43.825917061194225,2.8259170611942253,2.8259170611942253,2.8259170611942253,2.8259170611942253,0
Have dependent children,Population,40,39.16748048688596,39.16748048688596,-0.8325195131140433,-0.8325195131140433,0.8325195131140433,0.8325195131140433,0
Have dependent children,Save,39,37.100078531040495,37.100078531040495,-1.899921468959505,-1.899921468959505,1.899921468959505,1.899921468959505,0
Head works full-time,Borrow,76,74.74295207461724,74.74295207461724,-1.2570479253827642,-1.2570479253827642,1.2570479253827642,1.2570479253827642,0
Head works full-time,Borrow and save,85,89.79953450234706,89.79953450234706,4.799534502347058,4.799534502347058,4.799534502347058,4.799534502347058,0
Head works full-time,Population,81,80.97056816772704,80.97056816772704,-0.02943183227296231,-0.02943183227296231,0.02943183227296231,0.02943183227296231,0
Head works full-time,Save,80,77.96160347201362,77.96160347201362,-2.0383965279863787,-2.0383965279863787,2.0383965279863787,2.0383965279863787,0
Race: white,Borrow,70,70.62104377019234,70.62104377019234,0.6210437701923439,0.6210437701923439,0.6210437701923439,0.6210437701923439,0
Race: white,Borrow and save,78,79.75257159385691,79.75257159385691,1.7525715938569135,1.7525715938569135,1.7525715938569135,1.7525715938569135,0
Race: white,Population,75,75.48948356775001,75.48948356775001,0.489483567750014,0.489483567750014,0.489483567750014,0.489483567750014,0
Race: white,Save,74,74.17069654106679,74.17069654106679,0.1706965410667891,0.1706965410667891,0.1706965410667891,0.1706965410667891,0
College degree or more,Borrow,14,13.075156273154828,13.075156273154828,-0.9248437268451716,-0.9248437268451717,0.9248437268451716,0.9248437268451717,-1.1102230246251565e-16
College degree or more,Borrow and save,33,32.0745496150922,32.0745496150922,-0.9254503849077976,-0.9254503849077977,0.9254503849077976,0.9254503849077977,-1.1102230246251565e-16
HS/some college,Save,51,49.87102551607868,52.620647911665586,-1.1289744839213185,1.6206479116655856,1.1289744839213185,1.6206479116655856,-0.49167342774426714
HS/some college,Population,55,54.01616869405975,56.610385890185945,-0.9838313059402496,1.6103858901859454,0.9838313059402496,1.6103858901859454,-0.6265545842456958
Head white-collar/prof.,Borrow and save,61,56.50130198788115,66.92114842986726,-4.498698012118844,5.921148429867259,4.498698012118844,5.921148429867259,-1.422450417748415
HS/some college,Borrow and save,61,61.59250214437378,63.744154161480026,0.5925021443737819,2.7441541614800258,0.5925021443737819,2.7441541614800258,-2.151652017106244
