case_id,newid,qyear
108367,1083675,20011
108372,1083725,20011
108374,1083745,20011
108379,1083795,20011
108382,1083825,20011
108386,1083865,20011
108390,1083905,20011
108391,1083915,20011
108396,1083965,20011
108397,1083975,20011
108398,1083985,20011
108399,1083995,20011
108403,1084035,20011
108405,1084055,20011
108411,1084115,20011
108412,1084125,20011
108413,1084135,20011
108421,1084215,20011
108431,1084315,20011
108434,1084345,20011
108437,1084375,20011
108441,1084415,20011
108444,1084445,20011
108447,1084475,20011
108448,1084485,20011
108451,1084515,20011
108453,1084535,20011
108455,1084555,20011
108460,1084605,20011
108463,1084635,20011
108471,1084715,20011
108472,1084725,20011
108475,1084755,20011
108479,1084795,20011
108481,1084815,20011
108482,1084825,20011
108494,1084945,20011
108496,1084965,20011
108500,1085005,20011
108501,1085015,20011
108502,1085025,20011
108509,1085095,20011
108519,1085195,20011
108526,1085265,20011
108527,1085275,20011
108532,1085325,20011
108533,1085335,20011
108534,1085345,20011
108535,1085355,20011
108537,1085375,20011
108543,1085435,20011
108545,1085455,20011
108546,1085465,20011
108550,1085505,20011
108552,1085525,20011
108562,1085625,20011
108567,1085675,20011
108570,1085705,20011
108571,1085715,20011
108579,1085795,20011
108581,1085815,20011
108584,1085845,20011
108587,1085875,20011
108588,1085885,20011
108589,1085895,20011
108593,1085935,20011
108594,1085945,20011
108598,1085985,20011
108600,1086005,20011
108601,1086015,20011
108602,1086025,20011
108605,1086055,20011
108608,1086085,20011
108610,1086105,20011
108612,1086125,20011
108613,1086135,20011
108619,1086195,20011
108622,1086225,20011
108625,1086255,20011
108626,1086265,20011
108627,1086275,20011
108630,1086305,20011
108632,1086325,20011
108633,1086335,20011
108636,1086365,20011
108647,1086475,20011
108651,1086515,20011
108657,1086575,20011
108658,1086585,20011
108664,1086645,20011
108669,1086695,20011
108673,1086735,20011
108675,1086755,20011
108699,1086995,20011
108708,1087085,20011
108709,1087095,20011
108713,1087135,20011
108714,1087145,20011
108715,1087155,20011
108716,1087165,20011
108719,1087195,20011
108721,1087215,20011
108724,1087245,20011
108729,1087295,20011
108732,1087325,20011
108733,1087335,20011
108734,1087345,20011
108739,1087395,20011
108742,1087425,20011
108744,1087445,20011
108746,1087465,20011
108757,1087575,20011
108761,1087615,20011
108765,1087655,20011
108766,1087665,20011
108768,1087685,20011
108769,1087695,20011
108775,1087755,20011
108780,1087805,20011
108783,1087835,20011
108785,1087855,20011
108790,1087905,20011
108795,1087955,20011
108796,1087965,20011
108798,1087985,20011
108799,1087995,20011
108801,1088015,20011
108805,1088055,20011
108808,1088085,20011
108809,1088095,20011
108810,1088105,20011
108815,1088155,20011
108825,1088255,20011
108827,1088275,20011
108830,1088305,20011
108833,1088335,20011
108838,1088385,20011
108844,1088445,20011
108845,1088455,20011
108846,1088465,20011
108853,1088535,20011
108857,1088575,20011
108858,1088585,20011
108863,1088635,20011
108871,1088715,20011
108876,1088765,20011
108880,1088805,20011
108881,1088815,20011
108887,1088875,20011
108891,1088915,20011
108892,1088925,20011
108894,1088945,20011
108896,1088965,20011
108901,1089015,20011
108903,1089035,20011
108907,1089075,20011
108909,1089095,20011
108915,1089155,20011
108924,1089245,20011
108932,1089325,20011
108934,1089345,20011
108943,1089435,20011
108962,1089625,20011
108964,1089645,20011
108968,1089685,20011
108971,1089715,20011
108973,1089735,20011
108984,1089845,20011
108985,1089855,20011
108987,1089875,20011
108992,1089925,20011
109005,1090055,20011
109009,1090095,20011
109011,1090115,20011
109014,1090145,20011
109015,1090155,20011
109018,1090185,20011
109036,1090365,20011
109037,1090375,20011
109050,1090505,20011
109056,1090565,20011
109058,1090585,20011
109061,1090615,20011
109064,1090645,20011
109070,1090705,20011
109091,1090915,20011
109099,1090995,20011
109104,1091045,20011
109106,1091065,20011
109108,1091085,20011
109109,1091095,20011
109115,1091155,20011
109118,1091185,20011
109126,1091265,20011
109130,1091305,20011
109134,1091345,20011
109148,1091485,20011
109153,1091535,20011
109154,1091545,20011
109159,1091595,20011
109165,1091655,20011
109166,1091665,20011
109173,1091735,20011
109182,1091825,20011
109187,1091875,20011
109188,1091885,20011
109195,1091955,20011
109199,1091995,20011
