case_id,keep_age_only,keep_after_income_floor,keep_after_income_complete,keep_final,present_full_12_months
108366,TRUE,FALSE,FALSE,FALSE,TRUE
108367,TRUE,TRUE,TRUE,TRUE,TRUE
108368,TRUE,TRUE,TRUE,FALSE,TRUE
108369,FALSE,FALSE,FALSE,FALSE,TRUE
108370,TRUE,FALSE,FALSE,FALSE,TRUE
108371,FALSE,FALSE,FALSE,FALSE,TRUE
108372,TRUE,TRUE,TRUE,TRUE,TRUE
108374,TRUE,TRUE,TRUE,TRUE,TRUE
108376,TRUE,TRUE,TRUE,FALSE,TRUE
108378,FALSE,FALSE,FALSE,FALSE,TRUE
108379,TRUE,TRUE,TRUE,TRUE,TRUE
108380,FALSE,FALSE,FALSE,FALSE,TRUE
108381,TRUE,TRUE,TRUE,FALSE,TRUE
108382,TRUE,TRUE,TRUE,TRUE,TRUE
108383,TRUE,TRUE,TRUE,FALSE,FALSE
108384,FALSE,FALSE,FALSE,FALSE,TRUE
108385,FALSE,FALSE,FALSE,FALSE,TRUE
108386,TRUE,TRUE,TRUE,TRUE,TRUE
108388,TRUE,FALSE,FALSE,FALSE,TRUE
108390,TRUE,TRUE,TRUE,TRUE,TRUE
108391,TRUE,TRUE,TRUE,TRUE,TRUE
108392,TRUE,TRUE,TRUE,FALSE,TRUE
108394,FALSE,FALSE,FALSE,FALSE,TRUE
108395,FALSE,FALSE,FALSE,FALSE,TRUE
108396,TRUE,TRUE,TRUE,TRUE,TRUE
108397,TRUE,TRUE,TRUE,TRUE,TRUE
108398,TRUE,TRUE,TRUE,TRUE,TRUE
108399,TRUE,TRUE,TRUE,TRUE,TRUE
108401,TRUE,FALSE,FALSE,FALSE,TRUE
108402,FALSE,FALSE,FALSE,FALSE,TRUE
108403,TRUE,TRUE,TRUE,TRUE,TRUE
108405,TRUE,TRUE,TRUE,TRUE,TRUE
108408,TRUE,TRUE,TRUE,FALSE,TRUE
108411,TRUE,TRUE,TRUE,TRUE,TRUE
108412,TRUE,TRUE,TRUE,TRUE,TRUE
108413,TRUE,TRUE,TRUE,TRUE,TRUE
108414,TRUE,TRUE,TRUE,FALSE,TRUE
108415,FALSE,FALSE,FALSE,FALSE,TRUE
108421,TRUE,TRUE,TRUE,TRUE,TRUE
108423,TRUE,TRUE,TRUE,FALSE,TRUE
108426,TRUE,FALSE,FALSE,FALSE,TRUE
108429,FALSE,FALSE,FALSE,FALSE,FALSE
108430,TRUE,FALSE,FALSE,FALSE,TRUE
108431,TRUE,TRUE,TRUE,TRUE,TRUE
108432,FALSE,FALSE,FALSE,FALSE,TRUE
108433,FALSE,FALSE,FALSE,FALSE,TRUE
108434,TRUE,TRUE,TRUE,TRUE,TRUE
108437,TRUE,TRUE,TRUE,TRUE,TRUE
108438,FALSE,FALSE,FALSE,FALSE,TRUE
108441,TRUE,TRUE,TRUE,TRUE,TRUE
108442,TRUE,TRUE,TRUE,FALSE,TRUE
108444,TRUE,TRUE,TRUE,TRUE,TRUE
108445,TRUE,FALSE,FALSE,FALSE,TRUE
108446,TRUE,FALSE,FALSE,FALSE,TRUE
108447,TRUE,TRUE,TRUE,TRUE,TRUE
108448,TRUE,TRUE,TRUE,TRUE,TRUE
108450,TRUE,TRUE,TRUE,FALSE,TRUE
108451,TRUE,TRUE,TRUE,TRUE,TRUE
108453,TRUE,TRUE,TRUE,TRUE,TRUE
108454,TRUE,FALSE,FALSE,FALSE,FALSE
108455,TRUE,TRUE,TRUE,TRUE,TRUE
108456,TRUE,TRUE,TRUE,FALSE,TRUE
108457,TRUE,FALSE,FALSE,FALSE,TRUE
108460,TRUE,TRUE,TRUE,TRUE,TRUE
108461,FALSE,FALSE,FALSE,FALSE,TRUE
108463,TRUE,TRUE,TRUE,TRUE,TRUE
108467,FALSE,FALSE,FALSE,FALSE,FALSE
108470,TRUE,FALSE,FALSE,FALSE,FALSE
108471,TRUE,TRUE,TRUE,TRUE,TRUE
108472,TRUE,TRUE,TRUE,TRUE,TRUE
108473,TRUE,FALSE,FALSE,FALSE,TRUE
108474,TRUE,FALSE,FALSE,FALSE,TRUE
108475,TRUE,TRUE,TRUE,TRUE,TRUE
108479,TRUE,TRUE,TRUE,TRUE,TRUE
108480,TRUE,TRUE,TRUE,FALSE,TRUE
108481,TRUE,TRUE,TRUE,TRUE,TRUE
108482,TRUE,TRUE,TRUE,TRUE,TRUE
108487,TRUE,FALSE,FALSE,FALSE,FALSE
108488,TRUE,TRUE,TRUE,FALSE,TRUE
108490,FALSE,FALSE,FALSE,FALSE,TRUE
108491,TRUE,FALSE,FALSE,FALSE,TRUE
108493,TRUE,TRUE,FALSE,FALSE,TRUE
108494,TRUE,TRUE,TRUE,TRUE,TRUE
108496,TRUE,TRUE,TRUE,TRUE,TRUE
108499,FALSE,FALSE,FALSE,FALSE,TRUE
108500,TRUE,TRUE,TRUE,TRUE,TRUE
108501,TRUE,TRUE,TRUE,TRUE,TRUE
108502,TRUE,TRUE,TRUE,TRUE,TRUE
108508,FALSE,FALSE,FALSE,FALSE,TRUE
108509,TRUE,TRUE,TRUE,TRUE,TRUE
108513,FALSE,FALSE,FALSE,FALSE,TRUE
108516,TRUE,TRUE,TRUE,FALSE,FALSE
108517,TRUE,TRUE,TRUE,FALSE,TRUE
108519,TRUE,TRUE,TRUE,TRUE,TRUE
108520,FALSE,FALSE,FALSE,FALSE,TRUE
108521,TRUE,FALSE,FALSE,FALSE,TRUE
108525,TRUE,FALSE,FALSE,FALSE,TRUE
108526,TRUE,TRUE,TRUE,TRUE,TRUE
108527,TRUE,TRUE,TRUE,TRUE,TRUE
108528,TRUE,TRUE,TRUE,FALSE,TRUE
108530,TRUE,TRUE,TRUE,FALSE,TRUE
108531,FALSE,FALSE,FALSE,FALSE,TRUE
108532,TRUE,TRUE,TRUE,TRUE,TRUE
108533,TRUE,TRUE,TRUE,TRUE,TRUE
108534,TRUE,TRUE,TRUE,TRUE,TRUE
108535,TRUE,TRUE,TRUE,TRUE,TRUE
108537,TRUE,TRUE,TRUE,TRUE,TRUE
108539,TRUE,TRUE,TRUE,FALSE,TRUE
108541,TRUE,TRUE,TRUE,FALSE,TRUE
108543,TRUE,TRUE,TRUE,TRUE,TRUE
108545,TRUE,TRUE,TRUE,TRUE,TRUE
108546,TRUE,TRUE,TRUE,TRUE,TRUE
108547,TRUE,FALSE,FALSE,FALSE,TRUE
108549,TRUE,TRUE,TRUE,FALSE,TRUE
108550,TRUE,TRUE,TRUE,TRUE,TRUE
108552,TRUE,TRUE,TRUE,TRUE,TRUE
108554,TRUE,FALSE,FALSE,FALSE,TRUE
108555,TRUE,FALSE,FALSE,FALSE,FALSE
108556,FALSE,FALSE,FALSE,FALSE,TRUE
108558,TRUE,FALSE,FALSE,FALSE,TRUE
108561,TRUE,TRUE,TRUE,FALSE,TRUE
108562,TRUE,TRUE,TRUE,TRUE,TRUE
108563,FALSE,FALSE,FALSE,FALSE,TRUE
108564,FALSE,FALSE,FALSE,FALSE,TRUE
108565,FALSE,FALSE,FALSE,FALSE,TRUE
108567,TRUE,TRUE,TRUE,TRUE,TRUE
108569,TRUE,TRUE,TRUE,FALSE,TRUE
108570,TRUE,TRUE,TRUE,TRUE,TRUE
108571,TRUE,TRUE,TRUE,TRUE,TRUE
108576,FALSE,FALSE,FALSE,FALSE,TRUE
108577,TRUE,FALSE,FALSE,FALSE,TRUE
108579,TRUE,TRUE,TRUE,TRUE,TRUE
108581,TRUE,TRUE,TRUE,TRUE,TRUE
108583,TRUE,FALSE,FALSE,FALSE,TRUE
108584,TRUE,TRUE,TRUE,TRUE,TRUE
108587,TRUE,TRUE,TRUE,TRUE,TRUE
108588,TRUE,TRUE,TRUE,TRUE,TRUE
108589,TRUE,TRUE,TRUE,TRUE,TRUE
108592,FALSE,FALSE,FALSE,FALSE,TRUE
108593,TRUE,TRUE,TRUE,TRUE,TRUE
108594,TRUE,TRUE,TRUE,TRUE,TRUE
108596,FALSE,FALSE,FALSE,FALSE,TRUE
108597,TRUE,FALSE,FALSE,FALSE,TRUE
108598,TRUE,TRUE,TRUE,TRUE,TRUE
108600,TRUE,TRUE,TRUE,TRUE,TRUE
108601,TRUE,TRUE,TRUE,TRUE,TRUE
108602,TRUE,TRUE,TRUE,TRUE,TRUE
108603,FALSE,FALSE,FALSE,FALSE,TRUE
108604,FALSE,FALSE,FALSE,FALSE,TRUE
108605,TRUE,TRUE,TRUE,TRUE,TRUE
108606,FALSE,FALSE,FALSE,FALSE,TRUE
108607,TRUE,FALSE,FALSE,FALSE,FALSE
108608,TRUE,TRUE,TRUE,TRUE,TRUE
108610,TRUE,TRUE,TRUE,TRUE,TRUE
108611,FALSE,FALSE,FALSE,FALSE,TRUE
108612,TRUE,TRUE,TRUE,TRUE,TRUE
108613,TRUE,TRUE,TRUE,TRUE,TRUE
108615,TRUE,FALSE,FALSE,FALSE,TRUE
108616,TRUE,FALSE,FALSE,FALSE,FALSE
108617,FALSE,FALSE,FALSE,FALSE,TRUE
108618,TRUE,TRUE,TRUE,FALSE,FALSE
108619,TRUE,TRUE,TRUE,TRUE,TRUE
108622,TRUE,TRUE,TRUE,TRUE,TRUE
108625,TRUE,TRUE,TRUE,TRUE,TRUE
108626,TRUE,TRUE,TRUE,TRUE,TRUE
108627,TRUE,TRUE,TRUE,TRUE,TRUE
108628,FALSE,FALSE,FALSE,FALSE,TRUE
108629,FALSE,FALSE,FALSE,FALSE,TRUE
108630,TRUE,TRUE,TRUE,TRUE,TRUE
108632,TRUE,TRUE,TRUE,TRUE,TRUE
108633,TRUE,TRUE,TRUE,TRUE,TRUE
108634,TRUE,TRUE,TRUE,FALSE,TRUE
108636,TRUE,TRUE,TRUE,TRUE,TRUE
108637,TRUE,TRUE,TRUE,FALSE,TRUE
108641,FALSE,FALSE,FALSE,FALSE,TRUE
108645,TRUE,FALSE,FALSE,FALSE,FALSE
