table,source,statistic,characteristic,group,paper,baseline_summary_vars_replication,scf_implicate_relaxed_replication,baseline_summary_vars_diff,scf_implicate_relaxed_diff,baseline_abs_diff,relaxed_abs_diff,abs_diff_improvement
Table 2,SCF 2001,Share (%),Education: less than HS,Save,13,14.881662329660305,14.889989436354464,1.881662329660303,1.8899894363544636,1.881662329660303,1.8899894363544636,-0.008327106694160591
Table 2,SCF 2001,Share (%),Head works full-time,Save,80,77.96160347201362,77.95397650692092,-2.0383965279863787,-2.046023493079076,2.0383965279863787,2.046023493079076,-0.007626965092697446
Table 2,SCF 2001,Share (%),Race: white,Save,74,74.17069654106679,74.16344043949594,0.1706965410667891,0.16344043949594322,0.1706965410667891,0.16344043949594322,0.007256101570845885
Table 2,SCF 2001,Share (%),Have dependent children,Save,39,37.100078531040495,37.10623201537138,-1.899921468959505,-1.8937679846286173,1.899921468959505,1.8937679846286173,0.006153484330887693
Table 2,SCF 2001,Share (%),Education: less than HS,Population,11,11.961114504354011,11.96699911993718,0.9611145043540112,0.9669991199371816,0.9611145043540112,0.9669991199371816,-0.005884615583170327
Table 2,SCF 2001,Share (%),Head white-collar/prof.,Save,58,57.59068237195153,57.58504828921652,-0.40931762804846983,-0.4149517107834768,0.40931762804846983,0.4149517107834768,-0.005634082735006984
Table 2,SCF 2001,Share (%),Head works full-time,Population,81,80.97056816772704,80.96515600621981,-0.02943183227296231,-0.03484399378018565,0.02943183227296231,0.03484399378018565,-0.005412161507223338
Table 2,SCF 2001,Share (%),HS/some college,Save,51,52.620647911665586,52.61550004621767,1.6206479116655856,1.6155000462176687,1.6206479116655856,1.6155000462176687,0.0051478654479168995
Table 2,SCF 2001,Share (%),Race: white,Population,75,75.48948356775001,75.48443776794387,0.489483567750014,0.4844377679438736,0.489483567750014,0.4844377679438736,0.005045799806140394
Table 2,SCF 2001,Share (%),Have dependent children,Population,40,39.16748048688596,39.17154659915301,-0.8325195131140433,-0.8284534008469961,0.8325195131140433,0.8284534008469961,0.004066112267047117
Table 2,SCF 2001,Share (%),Head white-collar/prof.,Population,58,59.71297822446013,59.70898694355967,1.71297822446013,1.7089869435596723,1.71297822446013,1.7089869435596723,0.003991280900457639
Table 2,SCF 2001,Share (%),Marital status: married,Save,58,61.25027322486092,61.254064101398896,3.250273224860919,3.254064101398896,3.250273224860919,3.254064101398896,-0.0037908765379768283
Table 2,SCF 2001,Share (%),HS/some college,Population,55,56.610385890185945,56.60660198995705,1.6103858901859454,1.6066019899570492,1.6103858901859454,1.6066019899570492,0.0037839002288961865
Table 2,SCF 2001,Share (%),College degree or more,Save,36,32.49768975867425,32.49451051742799,-3.502310241325752,-3.5054894825720098,3.502310241325752,3.5054894825720098,-0.0031792412462579023
Table 2,SCF 2001,Share (%),Marital status: married,Population,59,62.28353750426654,62.28605851395101,3.2835375042665405,3.286058513951012,3.2835375042665405,3.286058513951012,-0.0025210096844716645
Table 1,SCF 2001,Puzzle size (%),NA,Save,68,68.321769568086,68.32388697572239,0.32176956808599755,0.3238869757223881,0.32176956808599755,0.3238869757223881,-0.002117407636390567
Table 2,SCF 2001,Share (%),College degree or more,Population,34,31.42849960546044,31.42639889010617,-2.5715003945395587,-2.573601109893829,2.5715003945395587,2.573601109893829,-0.002100715354270477
Table 1,SCF 2001,Puzzle size (%),NA,Borrow and save,27,26.75624778410088,26.754459367178395,-0.24375221589911789,-0.245540632821605,0.24375221589911789,0.245540632821605,-0.0017884169224871016
Table 1,SCF 2001,Credit-card interest rate (%),NA,Save,9.8,9.282843827770275,9.281935689370314,-0.5171561722297255,-0.5180643106296863,0.5171561722297255,0.5180643106296863,-9.08138399960734e-4
Table 1,SCF 2001,Puzzle size (%),NA,Borrow,5,4.921982647813267,4.921653657099376,-0.07801735218673311,-0.07834634290062414,0.07801735218673311,0.07834634290062414,-3.2899071389103085e-4
Table 1,SCF 2001,Credit-card interest rate (%),NA,Borrow,14.8,16.03732759300963,16.03732759300963,1.2373275930096277,1.2373275930096277,1.2373275930096277,1.2373275930096277,0
Table 1,SCF 2001,Credit-card interest rate (%),NA,Borrow and save,13.7,13.68256371791462,13.68256371791462,-0.01743628208537906,-0.01743628208537906,0.01743628208537906,0.01743628208537906,0
Table 2,SCF 2001,Share (%),College degree or more,Borrow,14,13.075156273154828,13.075156273154828,-0.9248437268451716,-0.9248437268451716,0.9248437268451716,0.9248437268451716,0
Table 2,SCF 2001,Share (%),College degree or more,Borrow and save,33,32.0745496150922,32.0745496150922,-0.9254503849077976,-0.9254503849077976,0.9254503849077976,0.9254503849077976,0
Table 2,SCF 2001,Share (%),Education: less than HS,Borrow,13,13.712796849357508,13.712796849357508,0.7127968493575079,0.7127968493575079,0.7127968493575079,0.7127968493575079,0
Table 2,SCF 2001,Share (%),Education: less than HS,Borrow and save,5,4.181296223427742,4.181296223427742,-0.8187037765722582,-0.8187037765722582,0.8187037765722582,0.8187037765722582,0
Table 2,SCF 2001,Share (%),HS/some college,Borrow,73,73.21204687748761,73.21204687748761,0.21204687748760875,0.21204687748760875,0.21204687748760875,0.21204687748760875,0
Table 2,SCF 2001,Share (%),HS/some college,Borrow and save,61,63.744154161480026,63.744154161480026,2.7441541614800258,2.7441541614800258,2.7441541614800258,2.7441541614800258,0
Table 2,SCF 2001,Share (%),Have dependent children,Borrow,45,42.54138038686803,42.54138038686803,-2.4586196131319724,-2.4586196131319724,2.4586196131319724,2.4586196131319724,0
Table 2,SCF 2001,Share (%),Have dependent children,Borrow and save,41,43.825917061194225,43.825917061194225,2.8259170611942253,2.8259170611942253,2.8259170611942253,2.8259170611942253,0
Table 2,SCF 2001,Share (%),Head white-collar/prof.,Borrow,48,49.98832388893062,49.98832388893062,1.9883238889306227,1.9883238889306227,1.9883238889306227,1.9883238889306227,0
Table 2,SCF 2001,Share (%),Head white-collar/prof.,Borrow and save,61,66.92114842986726,66.92114842986726,5.921148429867259,5.921148429867259,5.921148429867259,5.921148429867259,0
