variable,codebook_label,mean_abs_diff,max_abs_diff
X7132,Q86A1 N Q86A1:B9_1. INTEREST ON CARD W/HI BAL X7132,0.5909427285748977,1.2373275930096277
X2219,Q609A1 N Q609A1:G21. CURRENT APR X2219,8.706897481185548,10.034305413658997
X816,Q251A1 N Q251A1:D35. ANNUAL INT RATE ON LOAN X816,8.802767826548695,11.179307236857415
X2319,Q609A2 N Q609A2:G21. CURRENT APR X2319,11.446361748712807,13.423780215676803
X7822,Q695A1 N Q695A1:H14. CURRENT APR X7822,11.511451285095829,13.36245396179527
X2724,Q727A1 N Q727A1:I13. CURRENT APR X2724,11.605922381869085,13.42097046838614
X1111,Q315A1 N Q315A1:D53_7. ANNUAL INTEREST RATE X1111,11.965271778279973,14.09780625168385
X827,Q270A1 N Q270A1:D39_7. MAX RATE CAN BE CHARGED X827,12.024449420010052,13.978915104774044
X916,Q251A2 N Q251A2:D35. ANNUAL INT RATE ON LOAN X916,12.205572322875813,14.283141600254227
X828,Q269A1 N Q269A1:D39_6. ORIGINAL INTEREST RATE X828,12.270822146122462,14.220020547716182
X1726,Q440A1 N Q440A1:E31. ANNUAL INTEREST RATE X1726,12.294580432001894,14.610720974088574
X7845,Q695A2 N Q695A2:H14. CURRENT APR X7845,12.387170179448825,14.40660855650254
X1016,Q251A3 N Q251A3:D35. ANNUAL INT RATE ON LOAN X1016,12.463468408651245,14.303212120429283
X2741,Q727A2 N Q727A2:I13. CURRENT APR X2741,12.501181038602763,14.418538560091148
X826,Q268A1 N Q268A1:D39_5.MAX RATE CAN RISE AT ONCE X826,12.524076468158924,14.427295694375095
X2419,Q609A3 N Q609A3:G21. CURRENT APR X2419,12.564107921685347,14.69433044015562
X2520,Q652A1 N Q652A1:G37. CURRENT APR X2520,12.613871110130862,14.8
X2841,Q727A4 N Q727A4:I13. CURRENT APR X2841,12.625304261932518,14.712375113789783
X2924,Q727A5 N Q727A5:I13. CURRENT APR X2924,12.658923553192825,14.75128989268809
X7868,Q695A3 N Q695A3:H14. CURRENT APR X7868,12.66506244193909,14.749400027413275
X1216,Q350 N Q350:D63.CURRENT INTEREST RATE CHARGED X1216,12.67823560906301,14.8
X1826,Q440A2 N Q440A2:E31. ANNUAL INTEREST RATE X1826,12.679862524072735,14.8
X7170,Q609A4 N Q609A4:G21. CURRENT APR X7170,12.700402883895949,14.689930243474425
X1045,Q297 N Q297:D50. ANNUAL INTEREST RATE X1045,12.705282174976768,14.693524663506837
X4013,Q946 N Q946:N49_9. ANNUAL RATE OF INTEREST X4013,12.710213401056977,14.8
X2824,Q727A3 N Q727A3:I13. CURRENT APR X2824,12.71569817217682,14.734668691338621
X5707,Q1351A4 N Q1351A4:T1. ANY OTHER INTEREST INCOME? X5707,12.724391994391134,14.75141354632946
X1122,Q315A2 N Q315A2:D53_7. ANNUAL INTEREST RATE X1122,12.724627803375332,14.8
X7922,Q695A4 N Q695A4:H14. CURRENT APR X7922,12.732461381357435,14.8
X1926,Q440A3 N Q440A3:E31. ANNUAL INTEREST RATE X1926,12.737703481772105,14.8
