case_id,implicate,pass_age_25_64,pass_income_floor_implicate,pass_complete_income_candidate,pass_valid_core_data,keep_age_only,keep_after_income_floor,keep_after_income_complete,keep_final
1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
13,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
19,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
