characteristic,group,paper,raw_variable_constructions_replication,summary_variable_constructions_replication,raw_variable_constructions_diff,summary_variable_constructions_diff,raw_abs_diff,summary_abs_diff,abs_diff_improvement
Head white-collar/prof.,Save,58,48.62335895073707,57.58504828921652,-9.376641049262927,-0.4149517107834768,9.376641049262927,0.4149517107834768,8.96168933847945
Head white-collar/prof.,Borrow,48,38.91679832530378,49.98832388893062,-9.08320167469622,1.9883238889306227,9.08320167469622,1.9883238889306227,7.094877785765597
Head white-collar/prof.,Population,58,50.2534456803622,59.70898694355967,-7.746554319637802,1.7089869435596725,7.746554319637802,1.7089869435596725,6.03756737607813
Education: less than HS,Save,13,17.875448697353907,14.889989436354464,4.875448697353907,1.8899894363544636,4.875448697353907,1.8899894363544636,2.985459260999443
Education: less than HS,Borrow,13,16.555658839827366,13.712796849357508,3.555658839827366,0.7127968493575079,3.555658839827366,0.7127968493575079,2.842861990469858
Education: less than HS,Population,11,14.72214884687116,11.966999119937181,3.7221488468711583,0.9669991199371815,3.7221488468711583,0.9669991199371815,2.755149726933977
HS/some college,Borrow,73,70.36918488701772,73.21204687748761,-2.630815112982276,0.21204687748760875,2.630815112982276,0.21204687748760875,2.4187682354946674
Marital status: married,Save,58,53.47284452655163,61.254064101398896,-4.527155473448367,3.254064101398896,4.527155473448367,3.254064101398896,1.2730913720494712
Marital status: married,Population,59,54.560715335743915,62.28605851395101,-4.4392846642560855,3.286058513951012,4.4392846642560855,3.286058513951012,1.1532261503050734
Education: less than HS,Borrow and save,5,6.332948240534026,4.181296223427742,1.3329482405340256,-0.8187037765722582,1.3329482405340256,0.8187037765722582,0.5142444639617674
College degree or more,Save,36,32.25352578656753,32.49451051742799,-3.746474213432471,-3.5054894825720098,3.746474213432471,3.5054894825720098,0.24098473086046113
College degree or more,Population,34,31.261682459069405,31.42639889010617,-2.738317540930595,-2.573601109893829,2.738317540930595,2.573601109893829,0.1647164310367657
Race: white,Save,74,74.17069654106679,74.16344043949594,0.1706965410667891,0.16344043949594322,0.1706965410667891,0.16344043949594322,0.007256101570845885
Have dependent children,Save,39,37.100078531040495,37.10623201537138,-1.899921468959505,-1.8937679846286173,1.899921468959505,1.8937679846286173,0.006153484330887693
Race: white,Population,75,75.48948356775001,75.48443776794387,0.489483567750014,0.4844377679438736,0.489483567750014,0.4844377679438736,0.005045799806140394
Have dependent children,Population,40,39.16748048688596,39.171546599153004,-0.8325195131140433,-0.8284534008469961,0.8325195131140433,0.8284534008469961,0.004066112267047117
Have dependent children,Borrow,45,42.54138038686803,42.54138038686803,-2.4586196131319724,-2.4586196131319724,2.4586196131319724,2.4586196131319724,0
Have dependent children,Borrow and save,41,43.825917061194225,43.825917061194225,2.8259170611942253,2.8259170611942253,2.8259170611942253,2.8259170611942253,0
Head works full-time,Borrow,76,74.74295207461724,74.74295207461724,-1.2570479253827642,-1.2570479253827642,1.2570479253827642,1.2570479253827642,0
Head works full-time,Borrow and save,85,89.79953450234706,89.79953450234706,4.799534502347058,4.799534502347058,4.799534502347058,4.799534502347058,0
Race: white,Borrow,70,70.62104377019234,70.62104377019234,0.6210437701923439,0.6210437701923439,0.6210437701923439,0.6210437701923439,0
Race: white,Borrow and save,78,79.75257159385691,79.75257159385691,1.7525715938569135,1.7525715938569135,1.7525715938569135,1.7525715938569135,0
College degree or more,Borrow,14,13.075156273154828,13.075156273154828,-0.9248437268451716,-0.9248437268451717,0.9248437268451716,0.9248437268451717,-1.1102230246251565e-16
College degree or more,Borrow and save,33,32.0745496150922,32.0745496150922,-0.9254503849077976,-0.9254503849077977,0.9254503849077976,0.9254503849077977,-1.1102230246251565e-16
Head works full-time,Population,81,80.97056816772704,80.96515600621981,-0.02943183227296231,-0.034843993780185656,0.02943183227296231,0.034843993780185656,-0.005412161507223345
Head works full-time,Save,80,77.96160347201362,77.95397650692092,-2.0383965279863787,-2.046023493079076,2.0383965279863787,2.046023493079076,-0.007626965092697446
HS/some college,Save,51,49.87102551607868,52.61550004621767,-1.1289744839213185,1.6155000462176687,1.1289744839213185,1.6155000462176687,-0.48652556229635024
HS/some college,Population,55,54.01616869405975,56.60660198995705,-0.9838313059402496,1.6066019899570492,0.9838313059402496,1.6066019899570492,-0.6227706840167996
Marital status: married,Borrow and save,62,58.8467547649492,66.51628303312143,-3.1532452350507967,4.516283033121425,3.1532452350507967,4.516283033121425,-1.3630377980706285
Head white-collar/prof.,Borrow and save,61,56.50130198788115,66.92114842986726,-4.498698012118844,5.921148429867259,4.498698012118844,5.921148429867259,-1.422450417748415
HS/some college,Borrow and save,61,61.59250214437378,63.744154161480026,0.5925021443737819,2.7441541614800258,0.5925021443737819,2.7441541614800258,-2.151652017106244
Marital status: married,Borrow,48,46.36217480397543,53.61671617860305,-1.637825196024572,5.616716178603049,1.637825196024572,5.616716178603049,-3.978890982578477
