variable,component,n_nonmissing,n_positive,n_zero,n_negative,mean,p50,p95
FOODCQ,food,92649,61475,31174,0,447.69028993836616,313,1456.6667
ALCBEVCQ,alcohol,92649,25472,67177,0,27.36223813640794,0,150
TOBACCCQ,tobacco,92649,15628,77021,0,26.150604196483997,0,173.3334
RNTXRPCQ,rents,92649,19734,72915,0,177.7151628015487,0,1130
RNTAPYCQ,rents,92649,415,92234,0,2.2918254228325323,0,0
MRTINTCQ,mortgages,92649,25537,67112,0,244.665925477881,0,1422
MRTPRNOC,mortgages,92649,862,91787,0,3.405064566267312,0,0
MRPINSCQ,mortgages,92649,15643,77006,0,81.58109184664349,0,350
UTILCQ,utilities,92649,60139,32510,0,223.13509774525096,163.3333,710
HOUSEQCQ,household_repairs_operations,92649,25765,66884,0,110.71283733121928,0,520.5999999999913
DOMSRVCQ,household_repairs_operations,92649,17663,74986,0,45.88456431154179,0,230
HOUSOPCQ,household_repairs_operations,92649,30860,61789,0,59.64011124027253,0,285.8666799999971
BBYDAYCQ,childcare,92649,4740,87909,0,22.839501772280673,0,16.66666
PROPTXCQ,property_taxes,92649,40251,52398,0,103.84276665155565,0,450
PERINSCQ,insurance,92649,43901,48748,0,310.23157984653454,0,1445.6999799999971
LIFINSCQ,insurance,92649,15037,77612,0,34.765707131216026,0,190
VEHINSCQ,insurance,92649,18207,74442,0,70.49215857699764,0,441
PUBTRACQ,public_transportation,92649,10590,82059,0,38.16449538581381,0,140
HLTHINCQ,health_insurance,92649,39202,53447,0,89.83733774461035,0,428
