measure,sample,weighting,n_stage1,n_ar,n_households_stage1,n_households_ar,rho,eta_sd,eta_sd_pct,paper_eta_sd_pct,diff_from_paper_pct
benchmark,all_usable,finlwt21,55318,37221,17272,16966,-0.41738104903874695,0.22932020935779554,22.932020935779555,19.6,3.3320209357795534
benchmark,all_usable,unweighted,55318,37221,17272,16966,-0.4138898207925268,0.22882093575779733,22.882093575779734,19.6,3.282093575779733
benchmark,complete_public_panel_2_5,finlwt21,33120,24840,8280,8280,-0.30533538458272724,0.24164753056560817,24.164753056560816,19.6,4.564753056560814
benchmark,complete_public_panel_2_5,unweighted,33120,24840,8280,8280,-0.30025350821745384,0.24161154906643037,24.161154906643038,19.6,4.561154906643036
excluding_food,all_usable,finlwt21,55271,37195,17252,16947,-0.4161580321462922,0.2771932769594007,27.71932769594007,27.5,0.21932769594006984
excluding_food,all_usable,unweighted,55271,37195,17252,16947,-0.41367806823413034,0.27615866491717045,27.615866491717046,27.5,0.11586649171704622
excluding_food,complete_public_panel_2_5,finlwt21,33115,24836,8279,8279,-0.3121791369965381,0.2912928901237952,29.129289012379523,27.5,1.6292890123795232
excluding_food,complete_public_panel_2_5,unweighted,33115,24836,8279,8279,-0.30649094513437597,0.29070798457491914,29.070798457491914,27.5,1.5707984574919145
excluding_food_property_taxes,all_usable,finlwt21,55246,37176,17244,16938,-0.4350418353368817,0.38223362258293303,38.22336225829331,29.4,8.823362258293308
excluding_food_property_taxes,all_usable,unweighted,55246,37176,17244,16938,-0.4395102370746834,0.3413494185376022,34.13494185376022,29.4,4.734941853760219
excluding_food_property_taxes,complete_public_panel_2_5,finlwt21,33108,24826,8279,8278,-0.30190873537064444,0.4206693153431835,42.06693153431835,29.4,12.666931534318351
excluding_food_property_taxes,complete_public_panel_2_5,unweighted,33108,24826,8279,8278,-0.30176651590938447,0.3686609381452351,36.86609381452351,29.4,7.466093814523511
