QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYB,VEHICYB_,VEHICYR,VEHICYR_,VEHBSNZ,VEHBSNZ_,VEHNEWU,VEHNEWU_,VEHGFTC,VEHGFTC_,VEHPURMO,VEHP_RMO,VEHPURYR,VEHP_RYR,VFINSTAT,VFIN_TAT,TRADEX,TRADEX_,NETPURX,NETPURX_,DNPAYMTX,DNPA_MTX,PRINCIPX,PRIN_IPX,VEHQPMT,VEHQPMT_,PMT1MO,PMT1MO_,PMT1YR,PMT1YR_,PAYMENTX,PAYM_NTX,QINTRSTZ,QINT_STZ,QLOANM1Q,QLOA_M1Q,QBALNM1X,QBAL_M1X,QVINTM1X,QVIN_M1X,QVPRIM1X,QVPR_M1X,QLOANM2Q,QLOA_M2Q,QBALNM2X,QBAL_M2X,QVINTM2X,QVIN_M2X,QVPRIM2X,QVPR_M2X,QLOANM3Q,QLOA_M3Q,QBALNM3X,QBAL_M3X,QVINTM3X,QVIN_M3X,QVPRIM3X,QVPR_M3X,QTRADEX,QTRADEX_,QREIMBRZ,QREI_BRZ,QADITR1X,QADI_R1X,QADITR2X,QADI_R2X,QADITR3X,QADI_R3X,QDNPYMTX,QDNP_MTX,VEHEQTLN,VEHE_TLN,VEHICIB,VEHICIB_,MAKE,MAKE_,OVBPURCH,VFINANCE,FUELTYPE,FUEL_YPE,VPURINDV,VPUR_NDV,VINTRATE,VINT_ATE
20181,03639434,25,0,5,100,D,23,D,,A,2,D,1,D,08,D,2006,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,BMW,D,,1,1,D,1,D,,A
20181,03639434,26,0,5,110,D,33,D,,A,2,D,1,D,04,D,2016,D,2,D,,A,45000,D,3000,D,24129,D,52,D,05,D,2016,D,514,D,.0470,D,18,D,16770,D,66,D,448,D,19,D,16321,D,64,D,450,D,20,D,15871,D,62,D,452,D,45000,D,,A,66,D,64,D,62,D,3000,D,2,D,02,D,GMC,D,,1,1,D,2,D,,C
20181,03639444,14,0,5,100,D,20,D,,A,2,D,1,D,07,D,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,2,1,D,1,D,,A
20181,03639444,15,0,5,110,D,33,D,,A,2,D,1,D,,C,2015,D,2,D,,C,,C,,C,,B,,B,,B,,B,,B,,B,,B,,B,,B,193,F,,B,,B,,B,194,F,,B,,B,,B,194,F,,B,0.50,D,28,F,27,F,27,F,,C,1,D,02,D,CHR,D,,1,1,D,2,D,,C
20181,03639504,21,0,5,100,D,26,D,,A,2,D,1,D,06,D,2014,D,2,D,,A,11759,D,1000,D,10000,D,72,D,07,D,2014,D,182,D,.0945,D,40,D,5308,D,42,D,140,D,41,D,5168,D,41,D,141,D,42,D,5026,D,40,D,142,D,11759,D,,A,42,D,41,D,40,D,1000,D,2,D,01,D,SUB,D,,1,1,D,2,D,,C
20181,03639504,22,0,5,110,D,10,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,JEE,D,,2,1,D,2,D,,A
20181,03639504,23,0,1,110,D,29,D,,A,2,D,1,D,10,D,2017,D,2,D,,A,17000,D,1500,D,4885,D,17,D,11,D,2017,D,300,D,.0580,D,,A,,A,,A,,A,1,D,4885,D,24,D,276,D,2,D,4609,D,22,D,278,D,17000,D,,A,,A,24,D,22,D,1500,D,1,D,03,D,FOR,D,,1,1,D,2,D,.0580,D
20181,03639544,26,0,5,100,D,16,D,,A,2,D,1,D,09,D,1997,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,1,1,D,2,D,,A
20181,03639564,27,0,5,100,D,34,D,,A,2,D,1,D,,C,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,2,1,D,2,D,,A
20181,03639564,28,0,5,110,D,34,D,,A,2,D,1,D,,C,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,DOD,D,,2,1,D,2,D,,A
20181,03639564,29,0,5,150,D,,A,,A,1,D,1,D,,C,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,,2,,A,2,D,,A
20181,03639594,14,0,1,110,D,33,D,,A,1,D,1,D,06,D,2013,D,2,D,,A,30000,D,2000,D,28000,D,60,D,12,D,2013,D,500,D,.0275,D,47,D,6882,D,16,D,484,D,48,D,6398,D,15,D,485,D,49,D,5913,D,14,D,486,D,30000,D,,A,16,D,15,D,14,D,2000,D,2,D,01,D,HON,D,,1,1,D,2,D,.0500,D
20181,03639614,35,0,5,110,D,33,D,,A,1,D,1,D,01,D,2014,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HYU,D,,1,1,D,2,D,,A
20181,03639624,22,0,5,100,D,32,D,,A,1,D,1,D,09,D,2012,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,01,D,JEE,D,,1,1,D,2,D,,C
20181,03639634,25,0,5,110,D,27,D,,A,2,D,1,D,09,D,2012,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,1,1,D,2,D,,A
20181,03639634,26,0,5,110,D,18,D,,A,2,D,1,D,10,D,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,GMC,D,,2,1,D,2,D,,A
20181,03639634,27,0,5,100,D,02,D,,A,1,D,1,D,11,D,,B,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,CHE,D,,1,1,D,2,D,,A
20181,03639734,15,0,5,100,D,32,D,,A,2,D,1,D,11,D,2016,D,2,D,,A,16000,D,2000,D,11567,D,42,D,12,D,2016,D,292,D,.0330,D,11,D,8933,D,25,D,267,D,12,D,8665,D,24,D,268,D,13,D,8397,D,23,D,269,D,16000,D,,A,25,D,24,D,23,D,2000,D,2,D,01,D,ACU,D,,1,1,D,2,D,.0330,D
20181,03639734,16,0,5,110,D,28,D,,A,2,D,1,D,,C,2010,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,MEC,D,,1,1,D,2,D,,A
