QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20181,03639434,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,140,D,140,D,140,D,,A,1,D
20181,03639434,37,0,1,,A,,A,,A,1,D,2,D,,A,40,D,40,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639434,38,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639444,17,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,49,D,49,D,49,D,,A,,A,,A,,A,1,D
20181,03639444,18,0,1,,A,,A,,A,1,D,2,D,,A,15,D,15,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639444,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
20181,03639454,6,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,65,D,52,D,65,D,,A,,A,,A,,A,1,D
20181,03639504,28,0,1,,A,,A,2,D,1,D,2,D,,A,19,E,18,E,18,E,,A,,A,,A,,A,,A,,A,29,E,30,E,30,E,2,D,1,D
20181,03639504,29,0,1,,A,,A,2,D,1,D,2,D,,A,18,E,18,E,18,E,,A,,A,,A,,A,,A,,A,30,E,30,E,30,E,2,D,1,D
20181,03639504,30,0,1,,A,,A,,A,1,D,2,D,,A,30,D,30,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639544,28,0,1,,A,1,D,,A,2,D,1,D,,A,,A,,A,,A,71,E,71,E,71,E,47,E,47,E,47,E,,A,,A,,A,1,D,1,D
20181,03639564,38,0,1,,A,1,D,,A,1,D,1,D,,A,50,E,50,E,52,E,84,E,86,E,83,E,44,E,42,E,43,E,,A,,A,,A,2,D,1,D
20181,03639564,39,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,110,D,110,D,100,D,,A,1,D
20181,03639594,16,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,25,D,25,D,25,D,,A,,A,,A,,A,1,D
20181,03639594,17,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,86,D,86,D,86,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639594,18,0,1,,A,,A,,A,1,D,2,D,,A,29,D,29,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639594,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,217,D,217,D,217,D,,A,1,D
20181,03639614,39,0,1,,A,1,D,,A,1,D,2,D,,A,40,D,40,D,40,D,,A,,A,,A,29,D,29,D,29,D,,A,,A,,A,1,D,1,D
20181,03639614,40,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,101,D,101,D,101,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639634,36,0,1,,A,1,D,,A,1,D,1,D,,A,55,D,55,D,55,D,70,D,70,D,70,D,42,D,42,D,42,D,,A,,A,,A,1,D,1,D
20181,03639634,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,143,D,143,D,143,D,,A,1,D
20181,03639734,18,0,1,,A,,A,2,D,1,D,2,D,,A,47,E,48,E,48,E,,A,,A,,A,,A,,A,,A,103,E,102,E,102,E,2,D,1,D
20181,03639734,19,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,174,D,174,D,174,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639754,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D
20181,03639754,21,0,1,,A,,A,,A,1,D,2,D,,A,15,D,15,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639774,10,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20181,03639794,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D
20181,03639794,22,0,1,,A,1,D,,A,1,D,1,D,,A,39,E,39,E,39,E,68,E,68,E,68,E,23,E,23,E,23,E,,A,,A,,A,2,D,1,D
20181,03639814,46,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20181,03639814,47,0,1,,A,,A,,A,1,D,2,D,,A,54,D,54,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639854,6,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
20181,03639874,29,0,1,,A,1,D,,A,1,D,1,D,,A,56,E,57,E,56,E,98,E,98,E,98,E,34,E,33,E,34,E,,A,,A,,A,2,D,1,D
20181,03639874,30,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,171,D,171,D,171,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639874,31,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,190,D,190,D,190,D,,A,,A,,A,,A,1,D
20181,03639914,36,0,1,,A,1,D,,A,1,D,2,D,,A,44,E,44,E,44,E,,A,,A,,A,36,E,36,E,36,E,,A,,A,,A,2,D,1,D
20181,03639914,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,225,D,225,D,225,D,,A,1,D
20181,03639914,38,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,140,D,140,D,140,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03639944,33,0,1,,A,1,D,,A,1,D,1,D,,A,47,E,47,E,47,E,66,E,66,E,65,E,37,E,37,E,38,E,,A,,A,,A,2,D,1,D
20181,03639944,34,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20181,03639974,37,0,1,,A,1,D,2,D,1,D,2,D,,A,41,E,41,E,40,E,,A,,A,,A,37,E,36,E,37,E,77,E,78,E,78,E,2,D,1,D
20181,03639974,38,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,115,D,115,D,115,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03640004,10,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,79,D,79,D,79,D,,A,,A,,A,,A,1,D
20181,03640044,28,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03640044,29,0,1,,A,,A,,A,1,D,2,D,,A,170,D,170,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03640054,57,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,66,D,66,D,66,D,,A,1,D
20181,03640054,58,0,1,,A,,A,,A,1,D,2,D,,A,40,D,40,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03640064,22,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,52,D,52,D,52,D,,A,1,D
20181,03640104,21,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03640114,31,0,1,,A,1,D,,A,1,D,2,D,,A,36,E,36,E,37,E,,A,,A,,A,39,E,39,E,38,E,,A,,A,,A,2,D,1,D
20181,03640114,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D
20181,03640114,33,0,1,,A,,A,,A,1,D,2,D,,A,90,D,90,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
