NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03818534,07,2018,800940,2,T,1,1219.2927
03818534,07,2018,800940,2,T,2,1219.2927
03818534,07,2018,800940,2,T,3,1219.2927
03818534,07,2018,800940,2,T,4,1219.2927
03818534,07,2018,800940,2,T,5,1219.2927
03818534,08,2018,800940,2,T,1,1219.2927
03818534,08,2018,800940,2,T,2,1219.2927
03818534,08,2018,800940,2,T,3,1219.2927
03818534,08,2018,800940,2,T,4,1219.2927
03818534,08,2018,800940,2,T,5,1219.2927
03818534,09,2018,800940,2,T,1,1219.2927
03818534,09,2018,800940,2,T,2,1219.2927
03818534,09,2018,800940,2,T,3,1219.2927
03818534,09,2018,800940,2,T,4,1219.2927
03818534,09,2018,800940,2,T,5,1219.2927
03818534,07,2018,900000,2,T,1,22083.9491
03818534,07,2018,900000,2,T,2,22083.9491
03818534,07,2018,900000,2,T,3,22083.9491
03818534,07,2018,900000,2,T,4,22083.9491
03818534,07,2018,900000,2,T,5,22083.9491
03818534,08,2018,900000,2,T,1,22083.9491
03818534,08,2018,900000,2,T,2,22083.9491
03818534,08,2018,900000,2,T,3,22083.9491
03818534,08,2018,900000,2,T,4,22083.9491
03818534,08,2018,900000,2,T,5,22083.9491
03818534,09,2018,900000,2,T,1,22083.9491
03818534,09,2018,900000,2,T,2,22083.9491
03818534,09,2018,900000,2,T,3,22083.9491
03818534,09,2018,900000,2,T,4,22083.9491
03818534,09,2018,900000,2,T,5,22083.9491
03818534,07,2018,980000,2,T,1,22083.9491
03818534,07,2018,980000,2,T,2,22083.9491
03818534,07,2018,980000,2,T,3,22083.9491
03818534,07,2018,980000,2,T,4,22083.9491
03818534,07,2018,980000,2,T,5,22083.9491
03818534,08,2018,980000,2,T,1,22083.9491
03818534,08,2018,980000,2,T,2,22083.9491
03818534,08,2018,980000,2,T,3,22083.9491
03818534,08,2018,980000,2,T,4,22083.9491
03818534,08,2018,980000,2,T,5,22083.9491
03818534,09,2018,980000,2,T,1,22083.9491
03818534,09,2018,980000,2,T,2,22083.9491
03818534,09,2018,980000,2,T,3,22083.9491
03818534,09,2018,980000,2,T,4,22083.9491
03818534,09,2018,980000,2,T,5,22083.9491
03818554,07,2018,800940,2,,1,373.5
03818554,07,2018,800940,2,,2,255
03818554,07,2018,800940,2,,3,201.9167
03818554,07,2018,800940,2,,4,462.75
03818554,07,2018,800940,2,,5,337.0833
03818554,08,2018,800940,2,,1,373.5
03818554,08,2018,800940,2,,2,255
03818554,08,2018,800940,2,,3,201.9167
03818554,08,2018,800940,2,,4,462.75
03818554,08,2018,800940,2,,5,337.0833
03818554,09,2018,800940,2,,1,373.5
03818554,09,2018,800940,2,,2,255
03818554,09,2018,800940,2,,3,201.9167
03818554,09,2018,800940,2,,4,462.75
03818554,09,2018,800940,2,,5,337.0833
03818554,07,2018,900000,2,,1,4882.6667
03818554,07,2018,900000,2,,2,3333.3333
03818554,07,2018,900000,2,,3,2639.8333
03818554,07,2018,900000,2,,4,6049.0833
03818554,07,2018,900000,2,,5,4406.3333
03818554,08,2018,900000,2,,1,4882.6667
03818554,08,2018,900000,2,,2,3333.3333
03818554,08,2018,900000,2,,3,2639.8333
03818554,08,2018,900000,2,,4,6049.0833
03818554,08,2018,900000,2,,5,4406.3333
03818554,09,2018,900000,2,,1,4882.6667
03818554,09,2018,900000,2,,2,3333.3333
03818554,09,2018,900000,2,,3,2639.8333
03818554,09,2018,900000,2,,4,6049.0833
03818554,09,2018,900000,2,,5,4406.3333
03818554,07,2018,900030,2,,1,1550
03818554,07,2018,900030,2,,2,1549
03818554,07,2018,900030,2,,3,1740
03818554,07,2018,900030,2,,4,1819
03818554,07,2018,900030,2,,5,1802
03818554,08,2018,900030,2,,1,1550
03818554,08,2018,900030,2,,2,1549
03818554,08,2018,900030,2,,3,1740
03818554,08,2018,900030,2,,4,1819
03818554,08,2018,900030,2,,5,1802
03818554,09,2018,900030,2,,1,1550
03818554,09,2018,900030,2,,2,1549
03818554,09,2018,900030,2,,3,1740
03818554,09,2018,900030,2,,4,1819
03818554,09,2018,900030,2,,5,1802
03818554,07,2018,900180,2,,1,583.3333
03818554,07,2018,900180,2,,2,583.3333
03818554,07,2018,900180,2,,3,583.3333
03818554,07,2018,900180,2,,4,583.3333
03818554,07,2018,900180,2,,5,583.3333
03818554,08,2018,900180,2,,1,583.3333
03818554,08,2018,900180,2,,2,583.3333
03818554,08,2018,900180,2,,3,583.3333
03818554,08,2018,900180,2,,4,583.3333
03818554,08,2018,900180,2,,5,583.3333
03818554,09,2018,900180,2,,1,583.3333
03818554,09,2018,900180,2,,2,583.3333
03818554,09,2018,900180,2,,3,583.3333
03818554,09,2018,900180,2,,4,583.3333
03818554,09,2018,900180,2,,5,583.3333
03818554,07,2018,980000,2,,1,7016
03818554,07,2018,980000,2,,2,5465.6667
