QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_,CLOGFTA,CLOGFTA_,CLOTHA1,CLOTHA1_,CLOTHA2,CLOTHA2_,CLOTHA3,CLOTHA3_,CLOTHA4,CLOTHA4_,CLOTHA5,CLOTHA5_,CLOTHA6,CLOTHA6_,CLOTHA7,CLOTHA7_,CLOTHA8,CLOTHA8_,CLOTHA9,CLAPURCH,AGESEX1,CLOTHA9_,AGESEX1_,AGESEX2,AGESEX2_,AGESEX3,AGESEX3_,AGESEX4,AGESEX4_,AGESEX5,AGESEX5_,AGESEX6,AGESEX6_
20191,03891134,2,0,1,900,D,11,D,,H,2,D,280,D,150,D,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,2,1,1,280,D,11,D,167,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,2,2,1,150,D,11,D,83,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,3,0,1,270,D,12,D,,H,2,D,210,D,200,D,145,D,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,3,1,1,210,D,12,D,79,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,3,2,1,200,D,12,D,23,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,3,3,1,145,D,12,D,148,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,1,A,D,,A,,A,,A,,A,,A
20191,03891134,4,0,1,275,D,11,D,,H,2,D,150,D,145,D,,A,,A,,A,,A,,A,,A,,2,2,A,D,,A,,A,,A,,A,,A
20191,03891134,4,1,1,150,D,11,D,221,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,2,A,D,,A,,A,,A,,A,,A
20191,03891134,4,2,1,145,D,11,D,29,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,2,A,D,,A,,A,,A,,A,,A
20191,03891134,5,0,1,900,D,12,D,,H,2,D,280,D,150,D,,A,,A,,A,,A,,A,,A,,2,2,A,D,,A,,A,,A,,A,,A
20191,03891134,5,1,1,280,D,12,D,29,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,2,A,D,,A,,A,,A,,A,,A
20191,03891134,5,2,1,150,D,12,D,221,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,2,A,D,,A,,A,,A,,A,,A
20191,03891134,6,0,1,275,D,11,D,,H,2,D,145,D,150,D,,A,,A,,A,,A,,A,,A,,2,3,A,D,,A,,A,,A,,A,,A
20191,03891134,6,1,1,145,D,11,D,89,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,3,A,D,,A,,A,,A,,A,,A
20191,03891134,6,2,1,150,D,11,D,111,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,3,A,D,,A,,A,,A,,A,,A
20191,03891134,7,0,1,900,D,12,D,,H,2,D,280,D,145,D,100,D,,A,,A,,A,,A,,A,,2,3,A,D,,A,,A,,A,,A,,A
20191,03891134,7,1,1,145,D,12,D,48,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,3,A,D,,A,,A,,A,,A,,A
20191,03891134,7,2,1,100,D,12,D,202,E,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,3,A,D,,A,,A,,A,,A,,A
20191,03891134,8,0,1,270,D,11,D,,H,2,D,145,D,100,D,,A,,A,,A,,A,,A,,A,,2,4,A,D,,A,,A,,A,,A,,A
