NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03891134,10,2018,005100,2,520.8333,
03891134,10,2018,005110,2,520.8333,
03891134,10,2018,005200,2,10416.6667,
03891134,10,2018,005210,2,10416.6667,
03891134,10,2018,800940,2,350.6667,
03891134,10,2018,900000,2,4583.3333,
03891134,10,2018,900210,2,1560.0000,
03891134,10,2018,950004,2,195.2500,
03891134,10,2018,950014,2,184.0833,
03891134,10,2018,980000,2,6143.3333,
03891134,10,2018,980010,2,0.5000,
03891134,10,2018,980020,2,5.2500,
03891134,10,2018,980030,2,0.0833,
03891134,10,2018,980040,2,0.0833,
03891134,10,2018,980050,2,0.2500,
03891134,10,2018,980071,2,5764.0000,
03891134,10,2018,980210,2,8.3333,
03891134,10,2018,980260,2,8.3333,
03891134,10,2018,980281,2,8.3333,
03891134,10,2018,980286,2,8.3333,
03891134,10,2018,980310,2,8.3333,
03891134,10,2018,980330,2,8.3333,
03891134,10,2018,980350,2,8.3333,
03891134,11,2018,005100,2,520.8333,
03891134,11,2018,005110,2,520.8333,
03891134,11,2018,005200,2,10416.6667,
03891134,11,2018,005210,2,10416.6667,
03891134,11,2018,800940,2,350.6667,
03891134,11,2018,900000,2,4583.3333,
03891134,11,2018,900210,2,1560.0000,
03891134,11,2018,950004,2,195.2500,
03891134,11,2018,950014,2,184.0833,
03891134,11,2018,980000,2,6143.3333,
03891134,11,2018,980010,2,0.5000,
03891134,11,2018,980020,2,5.2500,
03891134,11,2018,980030,2,0.0833,
03891134,11,2018,980040,2,0.0833,
03891134,11,2018,980050,2,0.2500,
03891134,11,2018,980071,2,5764.0000,
03891134,11,2018,980210,2,8.3333,
03891134,11,2018,980260,2,8.3333,
03891134,11,2018,980281,2,8.3333,
03891134,11,2018,980286,2,8.3333,
03891134,11,2018,980310,2,8.3333,
03891134,11,2018,980330,2,8.3333,
03891134,11,2018,980350,2,8.3333,
03891134,12,2018,005100,2,520.8333,
03891134,12,2018,005110,2,520.8333,
03891134,12,2018,005200,2,10416.6667,
03891134,12,2018,005210,2,10416.6667,
03891134,12,2018,800940,2,350.6667,
03891134,12,2018,900000,2,4583.3333,
03891134,12,2018,900210,2,1560.0000,
03891134,12,2018,950004,2,195.2500,
03891134,12,2018,950014,2,184.0833,
03891134,12,2018,980000,2,6143.3333,
03891134,12,2018,980010,2,0.5000,
03891134,12,2018,980020,2,5.2500,
03891134,12,2018,980030,2,0.0833,
03891134,12,2018,980040,2,0.0833,
03891134,12,2018,980050,2,0.2500,
03891134,12,2018,980071,2,5764.0000,
03891134,12,2018,980210,2,8.3333,
03891134,12,2018,980260,2,8.3333,
03891134,12,2018,980281,2,8.3333,
03891134,12,2018,980286,2,8.3333,
03891134,12,2018,980310,2,8.3333,
03891134,12,2018,980330,2,8.3333,
03891134,12,2018,980350,2,8.3333,
03891154,10,2018,800940,2,76.5000,
03891154,10,2018,900000,2,1000.0000,
03891154,10,2018,950004,2,-512.5000,
03891154,10,2018,980000,2,1000.0000,
03891154,10,2018,980010,2,0.3333,
03891154,10,2018,980020,2,2.7500,
03891154,10,2018,980030,2,0.0833,
03891154,10,2018,980040,2,0.1667,
03891154,10,2018,980050,2,0.1667,
03891154,10,2018,980071,2,1512.5000,
03891154,10,2018,980090,1,8.3333,
03891154,10,2018,980220,2,8.3333,
03891154,10,2018,980240,2,8.3333,
03891154,10,2018,980281,2,8.3333,
03891154,10,2018,980285,2,8.3333,
03891154,10,2018,980300,2,8.3333,
03891154,10,2018,980330,2,8.3333,
03891154,10,2018,980350,2,8.3333,
03891154,11,2018,800940,2,76.5000,
03891154,11,2018,900000,2,1000.0000,
03891154,11,2018,950004,2,-512.5000,
03891154,11,2018,980000,2,1000.0000,
03891154,11,2018,980010,2,0.3333,
03891154,11,2018,980020,2,2.7500,
03891154,11,2018,980030,2,0.0833,
03891154,11,2018,980040,2,0.1667,
03891154,11,2018,980050,2,0.1667,
03891154,11,2018,980071,2,1512.5000,
03891154,11,2018,980090,1,8.3333,
03891154,11,2018,980220,2,8.3333,
03891154,11,2018,980240,2,8.3333,
03891154,11,2018,980281,2,8.3333,
03891154,11,2018,980285,2,8.3333,
03891154,11,2018,980300,2,8.3333,
03891154,11,2018,980330,2,8.3333,
03891154,11,2018,980350,2,8.3333,
03891154,12,2018,800940,2,76.5000,
03891154,12,2018,900000,2,1000.0000,
03891154,12,2018,950004,2,-512.5000,
03891154,12,2018,980000,2,1000.0000,
03891154,12,2018,980010,2,0.3333,
03891154,12,2018,980020,2,2.7500,
03891154,12,2018,980030,2,0.0833,
03891154,12,2018,980040,2,0.1667,
03891154,12,2018,980050,2,0.1667,
03891154,12,2018,980071,2,1512.5000,
03891154,12,2018,980090,1,8.3333,
03891154,12,2018,980220,2,8.3333,
03891154,12,2018,980240,2,8.3333,
03891154,12,2018,980281,2,8.3333,
03891154,12,2018,980285,2,8.3333,
03891154,12,2018,980300,2,8.3333,
03891154,12,2018,980330,2,8.3333,
03891154,12,2018,980350,2,8.3333,
03891174,10,2018,005100,2,0.4167,
03891174,10,2018,005110,2,66.6667,
03891174,10,2018,005400,2,1666.6667,
03891174,10,2018,005410,2,833.3333,
03891174,10,2018,800940,2,121.1667,
03891174,10,2018,900000,2,1583.3333,
03891174,10,2018,900090,2,83.3333,
03891174,10,2018,950004,2,-357.9167,
03891174,10,2018,950014,2,-56.5833,
03891174,10,2018,980000,2,1666.6667,
03891174,10,2018,980010,2,0.2500,
03891174,10,2018,980020,2,4.1667,
03891174,10,2018,980030,2,0.0833,
03891174,10,2018,980050,2,0.0833,
03891174,10,2018,980071,2,2081.1667,
03891174,10,2018,980090,1,8.3333,
03891174,10,2018,980220,2,8.3333,
03891174,10,2018,980230,2,8.3333,
03891174,10,2018,980281,2,8.3333,
03891174,10,2018,980286,2,8.3333,
03891174,10,2018,980310,2,8.3333,
03891174,10,2018,980340,2,8.3333,
03891174,10,2018,980350,2,8.3333,
03891174,10,2018,980360,2,0.0833,
03891174,11,2018,005100,2,0.4167,
03891174,11,2018,005110,2,66.6667,
03891174,11,2018,005400,2,1666.6667,
03891174,11,2018,005410,2,833.3333,
03891174,11,2018,800940,2,121.1667,
03891174,11,2018,900000,2,1583.3333,
03891174,11,2018,900090,2,83.3333,
03891174,11,2018,950004,2,-357.9167,
03891174,11,2018,950014,2,-56.5833,
03891174,11,2018,980000,2,1666.6667,
03891174,11,2018,980010,2,0.2500,
03891174,11,2018,980020,2,4.1667,
03891174,11,2018,980030,2,0.0833,
03891174,11,2018,980050,2,0.0833,
03891174,11,2018,980071,2,2081.1667,
03891174,11,2018,980090,1,8.3333,
03891174,11,2018,980220,2,8.3333,
03891174,11,2018,980230,2,8.3333,
03891174,11,2018,980281,2,8.3333,
03891174,11,2018,980286,2,8.3333,
03891174,11,2018,980310,2,8.3333,
03891174,11,2018,980340,2,8.3333,
03891174,11,2018,980350,2,8.3333,
03891174,11,2018,980360,2,0.0833,
03891174,12,2018,005100,2,0.4167,
03891174,12,2018,005110,2,66.6667,
03891174,12,2018,005400,2,1666.6667,
03891174,12,2018,005410,2,833.3333,
03891174,12,2018,800940,2,121.1667,
03891174,12,2018,900000,2,1583.3333,
03891174,12,2018,900090,2,83.3333,
03891174,12,2018,950004,2,-357.9167,
03891174,12,2018,950014,2,-56.5833,
03891174,12,2018,980000,2,1666.6667,
03891174,12,2018,980010,2,0.2500,
03891174,12,2018,980020,2,4.1667,
03891174,12,2018,980030,2,0.0833,
03891174,12,2018,980050,2,0.0833,
03891174,12,2018,980071,2,2081.1667,
03891174,12,2018,980090,1,8.3333,
03891174,12,2018,980220,2,8.3333,
03891174,12,2018,980230,2,8.3333,
03891174,12,2018,980281,2,8.3333,
03891174,12,2018,980286,2,8.3333,
03891174,12,2018,980310,2,8.3333,
03891174,12,2018,980340,2,8.3333,
03891174,12,2018,980350,2,8.3333,
03891174,12,2018,980360,2,0.0833,
03891224,10,2018,005400,2,83.3333,
03891224,10,2018,005410,2,83.3333,
03891224,10,2018,800910,2,226.7500,
03891224,10,2018,800940,2,832.0000,
03891224,10,2018,900000,2,10875.0000,
03891224,10,2018,950004,2,1406.5000,
03891224,10,2018,980000,2,10875.0000,
03891224,10,2018,980010,2,0.3333,
03891224,10,2018,980020,2,4.6667,
03891224,10,2018,980030,2,0.1667,
03891224,10,2018,980040,2,0.4167,
03891224,10,2018,980050,2,0.0833,
03891224,10,2018,980071,2,9468.5000,
03891224,10,2018,980090,1,8.3333,
03891224,10,2018,980210,2,8.3333,
03891224,10,2018,980230,2,8.3333,
