NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03944014,01,2019,005100,2,35164.9673,T
03944014,01,2019,005110,2,30292.2115,T
03944014,01,2019,005200,2,25000.0000,
03944014,01,2019,005210,2,24583.3333,
03944014,01,2019,005300,2,0.0833,
03944014,01,2019,005310,2,0.0833,
03944014,01,2019,005400,2,125.0000,
03944014,01,2019,005410,2,125.0000,
03944014,01,2019,005500,2,583.3333,
03944014,01,2019,005510,2,803.3333,
03944014,01,2019,005800,2,5000.0000,
03944014,01,2019,005810,2,833.3333,
03944014,01,2019,800940,2,1657.0833,
03944014,01,2019,900000,2,24166.6667,
03944014,01,2019,900180,2,10.8333,
03944014,01,2019,950004,2,4027.7500,
03944014,01,2019,950014,2,1348.5000,
03944014,01,2019,980000,2,24177.5000,
03944014,01,2019,980010,2,0.3333,
03944014,01,2019,980020,2,3.0000,
03944014,01,2019,980030,2,0.1667,
03944014,01,2019,980040,2,0.2500,
03944014,01,2019,980050,2,0.1667,
03944014,01,2019,980071,2,18801.2500,
03944014,01,2019,980090,1,8.3333,
03944014,01,2019,980220,2,8.3333,
03944014,01,2019,980230,2,8.3333,
03944014,01,2019,980281,2,8.3333,
03944014,01,2019,980286,2,8.3333,
03944014,01,2019,980310,2,8.3333,
03944014,01,2019,980330,2,8.3333,
03944014,01,2019,980350,2,8.3333,
03944014,02,2019,005100,2,35164.9673,T
03944014,02,2019,005110,2,30292.2115,T
03944014,02,2019,005200,2,25000.0000,
03944014,02,2019,005210,2,24583.3333,
03944014,02,2019,005300,2,0.0833,
03944014,02,2019,005310,2,0.0833,
03944014,02,2019,005400,2,125.0000,
03944014,02,2019,005410,2,125.0000,
03944014,02,2019,005500,2,583.3333,
03944014,02,2019,005510,2,803.3333,
03944014,02,2019,005800,2,5000.0000,
03944014,02,2019,005810,2,833.3333,
03944014,02,2019,800940,2,1657.0833,
03944014,02,2019,900000,2,24166.6667,
03944014,02,2019,900180,2,10.8333,
03944014,02,2019,950004,2,4027.7500,
03944014,02,2019,950014,2,1348.5000,
03944014,02,2019,980000,2,24177.5000,
03944014,02,2019,980010,2,0.3333,
03944014,02,2019,980020,2,3.0000,
03944014,02,2019,980030,2,0.1667,
03944014,02,2019,980040,2,0.2500,
03944014,02,2019,980050,2,0.1667,
03944014,02,2019,980071,2,18801.2500,
03944014,02,2019,980090,1,8.3333,
03944014,02,2019,980220,2,8.3333,
03944014,02,2019,980230,2,8.3333,
03944014,02,2019,980281,2,8.3333,
03944014,02,2019,980286,2,8.3333,
03944014,02,2019,980310,2,8.3333,
03944014,02,2019,980330,2,8.3333,
03944014,02,2019,980350,2,8.3333,
03944014,03,2019,005100,2,35164.9673,T
03944014,03,2019,005110,2,30292.2115,T
03944014,03,2019,005200,2,25000.0000,
03944014,03,2019,005210,2,24583.3333,
03944014,03,2019,005300,2,0.0833,
03944014,03,2019,005310,2,0.0833,
03944014,03,2019,005400,2,125.0000,
03944014,03,2019,005410,2,125.0000,
03944014,03,2019,005500,2,583.3333,
03944014,03,2019,005510,2,803.3333,
03944014,03,2019,005800,2,5000.0000,
03944014,03,2019,005810,2,833.3333,
03944014,03,2019,800940,2,1657.0833,
03944014,03,2019,900000,2,24166.6667,
03944014,03,2019,900180,2,10.8333,
03944014,03,2019,950004,2,4027.7500,
03944014,03,2019,950014,2,1348.5000,
03944014,03,2019,980000,2,24177.5000,
03944014,03,2019,980010,2,0.3333,
03944014,03,2019,980020,2,3.0000,
03944014,03,2019,980030,2,0.1667,
03944014,03,2019,980040,2,0.2500,
03944014,03,2019,980050,2,0.1667,
03944014,03,2019,980071,2,18801.2500,
03944014,03,2019,980090,1,8.3333,
03944014,03,2019,980220,2,8.3333,
03944014,03,2019,980230,2,8.3333,
03944014,03,2019,980281,2,8.3333,
03944014,03,2019,980286,2,8.3333,
03944014,03,2019,980310,2,8.3333,
03944014,03,2019,980330,2,8.3333,
03944014,03,2019,980350,2,8.3333,
03944034,01,2019,005100,2,35164.9673,T
03944034,01,2019,005110,2,30292.2115,T
03944034,01,2019,005200,2,27083.3333,
03944034,01,2019,005210,2,27083.3333,
03944034,01,2019,900030,2,3171.0000,
03944034,01,2019,900180,2,362.0833,
03944034,01,2019,950014,2,-92.3333,
03944034,01,2019,980000,2,3533.0833,
03944034,01,2019,980010,2,0.1667,
03944034,01,2019,980020,2,6.2500,
03944034,01,2019,980040,2,0.1667,
03944034,01,2019,980060,2,0.1667,
03944034,01,2019,980071,2,3625.4167,
03944034,01,2019,980090,1,8.3333,
03944034,01,2019,980210,2,8.3333,
03944034,01,2019,980240,2,8.3333,
03944034,01,2019,980281,2,8.3333,
03944034,01,2019,980286,2,8.3333,
03944034,01,2019,980310,2,8.3333,
03944034,01,2019,980330,2,8.3333,
03944034,01,2019,980350,2,8.3333,
03944034,02,2019,005100,2,35164.9673,T
03944034,02,2019,005110,2,30292.2115,T
03944034,02,2019,005200,2,27083.3333,
03944034,02,2019,005210,2,27083.3333,
03944034,02,2019,900030,2,3171.0000,
03944034,02,2019,900180,2,362.0833,
03944034,02,2019,950014,2,-92.3333,
03944034,02,2019,980000,2,3533.0833,
03944034,02,2019,980010,2,0.1667,
03944034,02,2019,980020,2,6.2500,
03944034,02,2019,980040,2,0.1667,
03944034,02,2019,980060,2,0.1667,
03944034,02,2019,980071,2,3625.4167,
03944034,02,2019,980090,1,8.3333,
03944034,02,2019,980210,2,8.3333,
03944034,02,2019,980240,2,8.3333,
03944034,02,2019,980281,2,8.3333,
03944034,02,2019,980286,2,8.3333,
03944034,02,2019,980310,2,8.3333,
03944034,02,2019,980330,2,8.3333,
03944034,02,2019,980350,2,8.3333,
03944034,03,2019,005100,2,35164.9673,T
03944034,03,2019,005110,2,30292.2115,T
03944034,03,2019,005200,2,27083.3333,
03944034,03,2019,005210,2,27083.3333,
03944034,03,2019,900030,2,3171.0000,
03944034,03,2019,900180,2,362.0833,
03944034,03,2019,950014,2,-92.3333,
03944034,03,2019,980000,2,3533.0833,
03944034,03,2019,980010,2,0.1667,
03944034,03,2019,980020,2,6.2500,
03944034,03,2019,980040,2,0.1667,
03944034,03,2019,980060,2,0.1667,
03944034,03,2019,980071,2,3625.4167,
03944034,03,2019,980090,1,8.3333,
03944034,03,2019,980210,2,8.3333,
03944034,03,2019,980240,2,8.3333,
03944034,03,2019,980281,2,8.3333,
03944034,03,2019,980286,2,8.3333,
03944034,03,2019,980310,2,8.3333,
03944034,03,2019,980330,2,8.3333,
03944034,03,2019,980350,2,8.3333,
03944064,01,2019,900030,2,1554.3000,
03944064,01,2019,950014,2,-2.0833,
03944064,01,2019,980000,2,1554.3000,
03944064,01,2019,980010,2,0.0833,
03944064,01,2019,980020,2,6.6667,
03944064,01,2019,980060,2,0.0833,
03944064,01,2019,980071,2,1556.3833,
03944064,01,2019,980090,1,8.3333,
03944064,01,2019,980210,2,8.3333,
03944064,01,2019,980230,2,8.3333,
03944064,01,2019,980281,2,8.3333,
03944064,01,2019,980286,2,8.3333,
03944064,01,2019,980300,2,8.3333,
03944064,02,2019,900030,2,1554.3000,
03944064,02,2019,950014,2,-2.0833,
03944064,02,2019,980000,2,1554.3000,
03944064,02,2019,980010,2,0.0833,
03944064,02,2019,980020,2,6.6667,
03944064,02,2019,980060,2,0.0833,
03944064,02,2019,980071,2,1556.3833,
03944064,02,2019,980090,1,8.3333,
03944064,02,2019,980210,2,8.3333,
03944064,02,2019,980230,2,8.3333,
03944064,02,2019,980281,2,8.3333,
03944064,02,2019,980286,2,8.3333,
03944064,02,2019,980300,2,8.3333,
03944064,03,2019,900030,2,1554.3000,
03944064,03,2019,950014,2,-2.0833,
03944064,03,2019,980000,2,1554.3000,
03944064,03,2019,980010,2,0.0833,
03944064,03,2019,980020,2,6.6667,
03944064,03,2019,980060,2,0.0833,
03944064,03,2019,980071,2,1556.3833,
03944064,03,2019,980090,1,8.3333,
03944064,03,2019,980210,2,8.3333,
03944064,03,2019,980230,2,8.3333,
03944064,03,2019,980281,2,8.3333,
03944064,03,2019,980286,2,8.3333,
03944064,03,2019,980300,2,8.3333,
03944104,01,2019,005100,2,41.6667,
03944104,01,2019,005110,2,41.6667,
03944104,01,2019,005400,2,416.6667,
03944104,01,2019,005410,2,416.6667,
03944104,01,2019,800940,2,599.2500,
03944104,01,2019,900160,2,3916.6667,
03944104,01,2019,950004,2,-446.0000,
03944104,01,2019,950014,2,123.6667,
03944104,01,2019,980000,2,3916.6667,
03944104,01,2019,980010,2,0.4167,
03944104,01,2019,980020,2,3.5000,
03944104,01,2019,980030,2,0.0833,
03944104,01,2019,980040,2,0.1667,
03944104,01,2019,980050,2,0.2500,
03944104,01,2019,980071,2,4239.0000,
03944104,01,2019,980220,2,8.3333,
03944104,01,2019,980260,2,8.3333,
03944104,01,2019,980281,2,8.3333,
03944104,01,2019,980285,2,8.3333,
03944104,01,2019,980310,2,8.3333,
03944104,01,2019,980330,2,8.3333,
03944104,01,2019,980350,2,8.3333,
03944104,02,2019,005100,2,41.6667,
