NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03891134,10,2018,800940,2,,1,350.6667
03891134,10,2018,800940,2,,2,350.6667
03891134,10,2018,800940,2,,3,350.6667
03891134,10,2018,800940,2,,4,350.6667
03891134,10,2018,800940,2,,5,350.6667
03891134,10,2018,900000,2,,1,4583.3333
03891134,10,2018,900000,2,,2,4583.3333
03891134,10,2018,900000,2,,3,4583.3333
03891134,10,2018,900000,2,,4,4583.3333
03891134,10,2018,900000,2,,5,4583.3333
03891134,10,2018,900210,2,,1,1560
03891134,10,2018,900210,2,,2,1560
03891134,10,2018,900210,2,,3,1560
03891134,10,2018,900210,2,,4,1560
03891134,10,2018,900210,2,,5,1560
03891134,10,2018,980000,2,,1,6143.3333
03891134,10,2018,980000,2,,2,6143.3333
03891134,10,2018,980000,2,,3,6143.3333
03891134,10,2018,980000,2,,4,6143.3333
03891134,10,2018,980000,2,,5,6143.3333
03891134,10,2018,980071,2,,1,5764
03891134,10,2018,980071,2,,2,5764
03891134,10,2018,980071,2,,3,5764
03891134,10,2018,980071,2,,4,5764
03891134,10,2018,980071,2,,5,5764
03891134,11,2018,800940,2,,1,350.6667
03891134,11,2018,800940,2,,2,350.6667
03891134,11,2018,800940,2,,3,350.6667
03891134,11,2018,800940,2,,4,350.6667
03891134,11,2018,800940,2,,5,350.6667
03891134,11,2018,900000,2,,1,4583.3333
03891134,11,2018,900000,2,,2,4583.3333
03891134,11,2018,900000,2,,3,4583.3333
03891134,11,2018,900000,2,,4,4583.3333
03891134,11,2018,900000,2,,5,4583.3333
03891134,11,2018,900210,2,,1,1560
03891134,11,2018,900210,2,,2,1560
03891134,11,2018,900210,2,,3,1560
03891134,11,2018,900210,2,,4,1560
03891134,11,2018,900210,2,,5,1560
03891134,11,2018,980000,2,,1,6143.3333
03891134,11,2018,980000,2,,2,6143.3333
03891134,11,2018,980000,2,,3,6143.3333
03891134,11,2018,980000,2,,4,6143.3333
03891134,11,2018,980000,2,,5,6143.3333
03891134,11,2018,980071,2,,1,5764
03891134,11,2018,980071,2,,2,5764
03891134,11,2018,980071,2,,3,5764
03891134,11,2018,980071,2,,4,5764
03891134,11,2018,980071,2,,5,5764
03891134,12,2018,800940,2,,1,350.6667
03891134,12,2018,800940,2,,2,350.6667
03891134,12,2018,800940,2,,3,350.6667
03891134,12,2018,800940,2,,4,350.6667
03891134,12,2018,800940,2,,5,350.6667
03891134,12,2018,900000,2,,1,4583.3333
03891134,12,2018,900000,2,,2,4583.3333
03891134,12,2018,900000,2,,3,4583.3333
03891134,12,2018,900000,2,,4,4583.3333
03891134,12,2018,900000,2,,5,4583.3333
03891134,12,2018,900210,2,,1,1560
03891134,12,2018,900210,2,,2,1560
03891134,12,2018,900210,2,,3,1560
03891134,12,2018,900210,2,,4,1560
03891134,12,2018,900210,2,,5,1560
03891134,12,2018,980000,2,,1,6143.3333
03891134,12,2018,980000,2,,2,6143.3333
03891134,12,2018,980000,2,,3,6143.3333
03891134,12,2018,980000,2,,4,6143.3333
03891134,12,2018,980000,2,,5,6143.3333
03891134,12,2018,980071,2,,1,5764
03891134,12,2018,980071,2,,2,5764
03891134,12,2018,980071,2,,3,5764
03891134,12,2018,980071,2,,4,5764
03891134,12,2018,980071,2,,5,5764
03891154,10,2018,800940,2,,1,76.5
03891154,10,2018,800940,2,,2,76.5
03891154,10,2018,800940,2,,3,76.5
03891154,10,2018,800940,2,,4,76.5
03891154,10,2018,800940,2,,5,76.5
03891154,10,2018,900000,2,,1,1000
03891154,10,2018,900000,2,,2,1000
03891154,10,2018,900000,2,,3,1000
03891154,10,2018,900000,2,,4,1000
03891154,10,2018,900000,2,,5,1000
03891154,10,2018,980000,2,,1,1000
03891154,10,2018,980000,2,,2,1000
03891154,10,2018,980000,2,,3,1000
03891154,10,2018,980000,2,,4,1000
03891154,10,2018,980000,2,,5,1000
03891154,10,2018,980071,2,,1,1512.5
03891154,10,2018,980071,2,,2,1512.5
03891154,10,2018,980071,2,,3,1512.5
03891154,10,2018,980071,2,,4,1512.5
03891154,10,2018,980071,2,,5,1512.5
03891154,11,2018,800940,2,,1,76.5
03891154,11,2018,800940,2,,2,76.5
03891154,11,2018,800940,2,,3,76.5
03891154,11,2018,800940,2,,4,76.5
03891154,11,2018,800940,2,,5,76.5
03891154,11,2018,900000,2,,1,1000
03891154,11,2018,900000,2,,2,1000
03891154,11,2018,900000,2,,3,1000
03891154,11,2018,900000,2,,4,1000
03891154,11,2018,900000,2,,5,1000
03891154,11,2018,980000,2,,1,1000
03891154,11,2018,980000,2,,2,1000
03891154,11,2018,980000,2,,3,1000
03891154,11,2018,980000,2,,4,1000
03891154,11,2018,980000,2,,5,1000
03891154,11,2018,980071,2,,1,1512.5
03891154,11,2018,980071,2,,2,1512.5
03891154,11,2018,980071,2,,3,1512.5
03891154,11,2018,980071,2,,4,1512.5
03891154,11,2018,980071,2,,5,1512.5
03891154,12,2018,800940,2,,1,76.5
03891154,12,2018,800940,2,,2,76.5
03891154,12,2018,800940,2,,3,76.5
03891154,12,2018,800940,2,,4,76.5
03891154,12,2018,800940,2,,5,76.5
03891154,12,2018,900000,2,,1,1000
03891154,12,2018,900000,2,,2,1000
03891154,12,2018,900000,2,,3,1000
03891154,12,2018,900000,2,,4,1000
03891154,12,2018,900000,2,,5,1000
03891154,12,2018,980000,2,,1,1000
03891154,12,2018,980000,2,,2,1000
03891154,12,2018,980000,2,,3,1000
03891154,12,2018,980000,2,,4,1000
03891154,12,2018,980000,2,,5,1000
03891154,12,2018,980071,2,,1,1512.5
03891154,12,2018,980071,2,,2,1512.5
03891154,12,2018,980071,2,,3,1512.5
03891154,12,2018,980071,2,,4,1512.5
03891154,12,2018,980071,2,,5,1512.5
03891174,10,2018,800940,2,,1,121.1667
03891174,10,2018,800940,2,,2,121.1667
03891174,10,2018,800940,2,,3,121.1667
03891174,10,2018,800940,2,,4,121.1667
03891174,10,2018,800940,2,,5,121.1667
03891174,10,2018,900000,2,,1,1583.3333
03891174,10,2018,900000,2,,2,1583.3333
03891174,10,2018,900000,2,,3,1583.3333
03891174,10,2018,900000,2,,4,1583.3333
03891174,10,2018,900000,2,,5,1583.3333
03891174,10,2018,900090,2,,1,83.3333
03891174,10,2018,900090,2,,2,83.3333
03891174,10,2018,900090,2,,3,83.3333
03891174,10,2018,900090,2,,4,83.3333
03891174,10,2018,900090,2,,5,83.3333
03891174,10,2018,980000,2,,1,1666.6667
03891174,10,2018,980000,2,,2,1666.6667
03891174,10,2018,980000,2,,3,1666.6667
03891174,10,2018,980000,2,,4,1666.6667
03891174,10,2018,980000,2,,5,1666.6667
03891174,10,2018,980071,2,,1,2081.1666667
03891174,10,2018,980071,2,,2,2081.1666667
03891174,10,2018,980071,2,,3,2081.1666667
03891174,10,2018,980071,2,,4,2081.1666667
03891174,10,2018,980071,2,,5,2081.1666667
03891174,11,2018,800940,2,,1,121.1667
03891174,11,2018,800940,2,,2,121.1667
03891174,11,2018,800940,2,,3,121.1667
03891174,11,2018,800940,2,,4,121.1667
03891174,11,2018,800940,2,,5,121.1667
03891174,11,2018,900000,2,,1,1583.3333
03891174,11,2018,900000,2,,2,1583.3333
03891174,11,2018,900000,2,,3,1583.3333
03891174,11,2018,900000,2,,4,1583.3333
03891174,11,2018,900000,2,,5,1583.3333
03891174,11,2018,900090,2,,1,83.3333
03891174,11,2018,900090,2,,2,83.3333
03891174,11,2018,900090,2,,3,83.3333
03891174,11,2018,900090,2,,4,83.3333
03891174,11,2018,900090,2,,5,83.3333
03891174,11,2018,980000,2,,1,1666.6667
03891174,11,2018,980000,2,,2,1666.6667
03891174,11,2018,980000,2,,3,1666.6667
03891174,11,2018,980000,2,,4,1666.6667
03891174,11,2018,980000,2,,5,1666.6667
03891174,11,2018,980071,2,,1,2081.1666667
03891174,11,2018,980071,2,,2,2081.1666667
03891174,11,2018,980071,2,,3,2081.1666667
03891174,11,2018,980071,2,,4,2081.1666667
03891174,11,2018,980071,2,,5,2081.1666667
03891174,12,2018,800940,2,,1,121.1667
03891174,12,2018,800940,2,,2,121.1667
03891174,12,2018,800940,2,,3,121.1667
03891174,12,2018,800940,2,,4,121.1667
03891174,12,2018,800940,2,,5,121.1667
03891174,12,2018,900000,2,,1,1583.3333
03891174,12,2018,900000,2,,2,1583.3333
03891174,12,2018,900000,2,,3,1583.3333
03891174,12,2018,900000,2,,4,1583.3333
03891174,12,2018,900000,2,,5,1583.3333
03891174,12,2018,900090,2,,1,83.3333
03891174,12,2018,900090,2,,2,83.3333
03891174,12,2018,900090,2,,3,83.3333
03891174,12,2018,900090,2,,4,83.3333
03891174,12,2018,900090,2,,5,83.3333
03891174,12,2018,980000,2,,1,1666.6667
03891174,12,2018,980000,2,,2,1666.6667
03891174,12,2018,980000,2,,3,1666.6667
03891174,12,2018,980000,2,,4,1666.6667
03891174,12,2018,980000,2,,5,1666.6667
03891174,12,2018,980071,2,,1,2081.1666667
03891174,12,2018,980071,2,,2,2081.1666667
03891174,12,2018,980071,2,,3,2081.1666667
03891174,12,2018,980071,2,,4,2081.1666667
03891174,12,2018,980071,2,,5,2081.1666667
03891224,10,2018,800940,2,,1,832
03891224,10,2018,800940,2,,2,832
03891224,10,2018,800940,2,,3,832
03891224,10,2018,800940,2,,4,832
03891224,10,2018,800940,2,,5,832
03891224,10,2018,900000,2,,1,10875
03891224,10,2018,900000,2,,2,10875
03891224,10,2018,900000,2,,3,10875
03891224,10,2018,900000,2,,4,10875
03891224,10,2018,900000,2,,5,10875
03891224,10,2018,980000,2,,1,10875
03891224,10,2018,980000,2,,2,10875
03891224,10,2018,980000,2,,3,10875
03891224,10,2018,980000,2,,4,10875
03891224,10,2018,980000,2,,5,10875
03891224,10,2018,980071,2,,1,9468.5
03891224,10,2018,980071,2,,2,9468.5
03891224,10,2018,980071,2,,3,9468.5
03891224,10,2018,980071,2,,4,9468.5
03891224,10,2018,980071,2,,5,9468.5
03891224,11,2018,800940,2,,1,832
03891224,11,2018,800940,2,,2,832
03891224,11,2018,800940,2,,3,832
03891224,11,2018,800940,2,,4,832
03891224,11,2018,800940,2,,5,832
03891224,11,2018,900000,2,,1,10875
03891224,11,2018,900000,2,,2,10875
03891224,11,2018,900000,2,,3,10875
03891224,11,2018,900000,2,,4,10875
03891224,11,2018,900000,2,,5,10875
03891224,11,2018,980000,2,,1,10875
03891224,11,2018,980000,2,,2,10875
03891224,11,2018,980000,2,,3,10875
03891224,11,2018,980000,2,,4,10875
03891224,11,2018,980000,2,,5,10875
03891224,11,2018,980071,2,,1,9468.5
03891224,11,2018,980071,2,,2,9468.5
03891224,11,2018,980071,2,,3,9468.5
03891224,11,2018,980071,2,,4,9468.5
03891224,11,2018,980071,2,,5,9468.5
03891224,12,2018,800940,2,,1,832
03891224,12,2018,800940,2,,2,832
03891224,12,2018,800940,2,,3,832
03891224,12,2018,800940,2,,4,832
03891224,12,2018,800940,2,,5,832
03891224,12,2018,900000,2,,1,10875
03891224,12,2018,900000,2,,2,10875
03891224,12,2018,900000,2,,3,10875
03891224,12,2018,900000,2,,4,10875
03891224,12,2018,900000,2,,5,10875
03891224,12,2018,980000,2,,1,10875
03891224,12,2018,980000,2,,2,10875
03891224,12,2018,980000,2,,3,10875
03891224,12,2018,980000,2,,4,10875
03891224,12,2018,980000,2,,5,10875
03891224,12,2018,980071,2,,1,9468.5
03891224,12,2018,980071,2,,2,9468.5
03891224,12,2018,980071,2,,3,9468.5
03891224,12,2018,980071,2,,4,9468.5
03891224,12,2018,980071,2,,5,9468.5
03891234,10,2018,800940,2,,1,120.5833
03891234,10,2018,800940,2,,2,272.5833
03891234,10,2018,800940,2,,3,272
03891234,10,2018,800940,2,,4,109
03891234,10,2018,800940,2,,5,87.3333
03891234,10,2018,900000,2,,1,1576.5833
03891234,10,2018,900000,2,,2,3562.9167
03891234,10,2018,900000,2,,3,3555.8333
03891234,10,2018,900000,2,,4,1425.1667
03891234,10,2018,900000,2,,5,1141.3333
03891234,10,2018,980000,2,,1,1576.5833
03891234,10,2018,980000,2,,2,3562.9167
03891234,10,2018,980000,2,,3,3555.8333
03891234,10,2018,980000,2,,4,1425.1667
03891234,10,2018,980000,2,,5,1141.3333
03891234,10,2018,980071,2,,1,1459.1666667
03891234,10,2018,980071,2,,2,3445.5
03891234,10,2018,980071,2,,3,3438.4166667
03891234,10,2018,980071,2,,4,1307.75
03891234,10,2018,980071,2,,5,1023.9166667
03891234,11,2018,800940,2,,1,120.5833
03891234,11,2018,800940,2,,2,272.5833
03891234,11,2018,800940,2,,3,272
03891234,11,2018,800940,2,,4,109
03891234,11,2018,800940,2,,5,87.3333
03891234,11,2018,900000,2,,1,1576.5833
03891234,11,2018,900000,2,,2,3562.9167
03891234,11,2018,900000,2,,3,3555.8333
03891234,11,2018,900000,2,,4,1425.1667
03891234,11,2018,900000,2,,5,1141.3333
03891234,11,2018,980000,2,,1,1576.5833
03891234,11,2018,980000,2,,2,3562.9167
03891234,11,2018,980000,2,,3,3555.8333
03891234,11,2018,980000,2,,4,1425.1667
03891234,11,2018,980000,2,,5,1141.3333
03891234,11,2018,980071,2,,1,1459.1666667
03891234,11,2018,980071,2,,2,3445.5
03891234,11,2018,980071,2,,3,3438.4166667
03891234,11,2018,980071,2,,4,1307.75
03891234,11,2018,980071,2,,5,1023.9166667
03891234,12,2018,800940,2,,1,120.5833
03891234,12,2018,800940,2,,2,272.5833
03891234,12,2018,800940,2,,3,272
03891234,12,2018,800940,2,,4,109
03891234,12,2018,800940,2,,5,87.3333
03891234,12,2018,900000,2,,1,1576.5833
03891234,12,2018,900000,2,,2,3562.9167
03891234,12,2018,900000,2,,3,3555.8333
03891234,12,2018,900000,2,,4,1425.1667
03891234,12,2018,900000,2,,5,1141.3333
03891234,12,2018,980000,2,,1,1576.5833
03891234,12,2018,980000,2,,2,3562.9167
03891234,12,2018,980000,2,,3,3555.8333
03891234,12,2018,980000,2,,4,1425.1667
03891234,12,2018,980000,2,,5,1141.3333
03891234,12,2018,980071,2,,1,1459.1666667
03891234,12,2018,980071,2,,2,3445.5
03891234,12,2018,980071,2,,3,3438.4166667
03891234,12,2018,980071,2,,4,1307.75
03891234,12,2018,980071,2,,5,1023.9166667
03891244,10,2018,800940,2,,1,674.5
03891244,10,2018,800940,2,,2,645.8333
03891244,10,2018,800940,2,,3,843.6667
03891244,10,2018,800940,2,,4,823.4167
03891244,10,2018,800940,2,,5,807
03891244,10,2018,900000,2,,1,8817.1667
03891244,10,2018,900000,2,,2,8442.0833
03891244,10,2018,900000,2,,3,11029
03891244,10,2018,900000,2,,4,10763.8333
03891244,10,2018,900000,2,,5,10548.5833
03891244,10,2018,980000,2,,1,8817.1667
03891244,10,2018,980000,2,,2,8442.0833
03891244,10,2018,980000,2,,3,11029
03891244,10,2018,980000,2,,4,10763.8333
03891244,10,2018,980000,2,,5,10548.5833
03891244,10,2018,980071,2,,1,7409
03891244,10,2018,980071,2,,2,7033.9166667
03891244,10,2018,980071,2,,3,9620.8333333
03891244,10,2018,980071,2,,4,9355.6666667
03891244,10,2018,980071,2,,5,9140.4166667
03891244,11,2018,800940,2,,1,674.5
03891244,11,2018,800940,2,,2,645.8333
03891244,11,2018,800940,2,,3,843.6667
03891244,11,2018,800940,2,,4,823.4167
03891244,11,2018,800940,2,,5,807
03891244,11,2018,900000,2,,1,8817.1667
03891244,11,2018,900000,2,,2,8442.0833
03891244,11,2018,900000,2,,3,11029
03891244,11,2018,900000,2,,4,10763.8333
03891244,11,2018,900000,2,,5,10548.5833
03891244,11,2018,980000,2,,1,8817.1667
03891244,11,2018,980000,2,,2,8442.0833
03891244,11,2018,980000,2,,3,11029
03891244,11,2018,980000,2,,4,10763.8333
03891244,11,2018,980000,2,,5,10548.5833
03891244,11,2018,980071,2,,1,7409
03891244,11,2018,980071,2,,2,7033.9166667
03891244,11,2018,980071,2,,3,9620.8333333
03891244,11,2018,980071,2,,4,9355.6666667
03891244,11,2018,980071,2,,5,9140.4166667
03891244,12,2018,800940,2,,1,674.5
03891244,12,2018,800940,2,,2,645.8333
03891244,12,2018,800940,2,,3,843.6667
03891244,12,2018,800940,2,,4,823.4167
03891244,12,2018,800940,2,,5,807
03891244,12,2018,900000,2,,1,8817.1667
03891244,12,2018,900000,2,,2,8442.0833
03891244,12,2018,900000,2,,3,11029
03891244,12,2018,900000,2,,4,10763.8333
03891244,12,2018,900000,2,,5,10548.5833
03891244,12,2018,980000,2,,1,8817.1667
03891244,12,2018,980000,2,,2,8442.0833
03891244,12,2018,980000,2,,3,11029
03891244,12,2018,980000,2,,4,10763.8333
03891244,12,2018,980000,2,,5,10548.5833
03891244,12,2018,980071,2,,1,7409
03891244,12,2018,980071,2,,2,7033.9166667
03891244,12,2018,980071,2,,3,9620.8333333
03891244,12,2018,980071,2,,4,9355.6666667
