QYEAR,NEWID,OUTCOME,HSG_UNIT,CONVREF,TELPV,HOW_INTV,SNGL_INT,TELSCT01,TELSCT02,TELSCT03,TELSCT04,TELSCT05,TELSCT06,TELSCT07,TELSCT08,TELSCT09,TELSCT10,TEL_RESN,INFOBOOK,LANGUAGE,RESPON,RECORDS,TYPEREC1,TYPEREC2,TYPEREC3,TYPEREC4,TYPEREC5,TYPEREC6,TYPEREC7,TYPEREC8,TYPEREC9,SECTNO,GENINTRO,EXPNSUM,NUMEXPN,NUMDK,NUMRF,SECT_01,SECT_02,SECT_03,SECT_04,SECT_05,SECT_06,SECT_07,SECT_08,SECT_09,SECT_10,SECT_11,SECT_12,SECT_13,SECT_14,SECT_15,SECT_16,SECT_17,SECT_18,SECT_19,SECT_20,SECT_21,SECT_22,BACK,FRONT,COVERAGE,CONTROL,TOT_TIME,CUID
20181,03639434,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,3,,2,,,,,,,,22,1,12093,45,0,0,0,0,393,347,61,121,71,34,1092,15,93,148,44,27,24,32,131,72,154,58,128,71,264,521,0,41,3942,363943
20181,03639444,201,01,2,,6,1,,,,,,,,,,,7,5,1,3,4,,,,,,,,,,22,1,2530,18,8,0,0,0,36,113,31,72,14,44,617,7,7,59,22,121,13,34,24,9,62,81,148,70,190,70,0,49,1893,363944
20181,03639454,201,01,2,,1,1,,,,,,,,,,,,4,1,1,1,1,,3,,,,,,,22,1,2228,20,0,0,0,119,27,332,113,125,15,367,22,32,7,41,31,38,7,9,47,36,96,428,240,65,389,206,0,138,2930,363945
20181,03639474,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,835,71,4,937,363947
20181,03639484,219,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,784,52,0,854,363948
20181,03639504,201,01,1,,6,1,,,,,,,,,,,7,5,1,2,4,,,,,,,,,,22,1,5622,30,6,0,0,0,71,304,42,98,44,30,116,19,273,143,330,30,151,10,90,206,102,144,421,181,136,311,0,94,3346,363950
20181,03639514,321,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,36,0,96,363951
20181,03639534,322,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,358,88,0,470,363953
20181,03639544,201,01,2,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,9,22,1,2066,29,0,0,0,0,92,293,38,239,18,69,100,16,14,154,110,138,102,14,86,97,335,183,231,264,503,85,0,105,3286,363954
20181,03639554,219,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,54,0,71,363955
