id,date,diary_day,tran,time,amnt,pi,merch,device,in_person,tran_report,amnt_orig,pi_orig,in_person_orig,device_orig,bill_orig,pay030,past_service,why_not_billpref,fee_flag,from_bill_section,regularity,late_fee,receipt_timing,cc_num_used,automatic,merch_orig,report_date,pay010,pay020,pay040,pay041,pay050,pay082,durable_type,why_not_pref,debit_auth,prepaid_logo,pay_timing,monord_source,monord_date,mobile_funding,otherpi_type,otherpi_funding,mobile_method,unexpected,can_postpone,used_heloc,borrowed_for_purchase,prior_goods,prior_goods_time,mobile_whichapp,frequency,fixed_amount,pay011,loan_amnt_due,inconsistency_explain,paypref_tran,dc_num_used,authorization_method,cc_debt_amnt,pay016,pay042,cc_debt_canpay,module,due_date,draft_date,discount,tran_min,from_account,date_authorized,ind_payee,enough_cash,accept_cash,accept_card,payee_orig,p2p_purpose,to_account,multipi_breakdown,checker,hh_income,home_value,home_debt,other_assets,other_debts,hh_income_gt500k,bill,payee,cw_location,cw_source,cd_location,cd_account,tran_account,fee_amnt,tran_inst,tran_days,check_dep_src,income_type,income_howpaid,split_income_deposit,ppload_gpr,ppload_loc,ow_type,coin2cash_coin_amnt,coin2cash_loc,coin2cash_reimburse,cash_move,payment,income
103316,2019-10-08,2,1,700,2,1,4,7,1,1,2,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,NA,NA,NA,NA,NA,NA,0,7,NA,NA,,0,140000,330000,230000,100000,0,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
103316,2019-10-08,2,2,715,10,3,2,7,1,2,10,3,1,7,0,NA,NA,NA,0,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,1,1,NA,7,NA,NA,,0,140000,330000,230000,100000,0,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
105052,2019-10-24,2,2,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Income/Checking Deposits duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1
105052,2019-10-25,3,1,0,1200,4,15,3,0,1,1200,4,0,3,1,NA,NA,8,NA,2,3,NA,1,NA,1,15,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1200,,NA,1,NA,NA,NA,NA,NA,Purchases,2019-11-01,2019-10-25,0,0,NA,NA,NA,NA,NA,NA,1,NA,7,,0,50000,NA,NA,5000,8000,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104565,2019-10-01,1,1,930,3.95,1,4,7,1,1,3.95,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,1,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,61000,220000,184000,0,24000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104565,2019-10-02,2,2,1205,36,1,3,7,1,2,36,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,61000,220000,184000,0,24000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104565,2019-10-03,3,1,900,4,1,4,7,1,1,4,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,61000,220000,184000,0,24000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104565,2019-10-03,3,2,1205,31,1,3,7,1,2,31,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,61000,220000,184000,0,24000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104565,2019-10-03,3,3,1400,20,1,2,7,1,3,20,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,61000,220000,184000,0,24000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
103476,2019-10-21,1,1,2030,8.11,4,5,7,1,1,8.11,4,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,2,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,1,1,NA,7,NA,NA,,0,50000,183000,0,5000,500,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
